 	m	w	á	s	í	á	m	i	s	á	á	o	t	ó	n	á	w	a	t	s	í	n	a	w	a	a	d	í	l	i	b	h	é	m	b	a	</S>
son	0.00171781	0.00424427	0.00347387	0.00292158	0.00267509	0.00436851	0.00755418	0.0123558	0.0122259	0.013855	0.012226	0.0447125	0.0435324	0.0367668	0.0569701	0.0637929	0.0350042	0.0621234	0.0552187	0.0640973	0.0469946	0.0602024	0.0839434	0.0680102	0.0302426	0.0444932	0.0112888	0.00714899	0.010727	0.00849778	0.00581282	0.00938939	0.0181098	0.0112787	0.0110696	0.0180057	0.0149487
épouse	0.0658138	0.117901	0.302925	0.078952	0.0770491	0.0604888	0.0219407	0.0454812	0.0355535	0.0152783	0.0303507	0.00882666	0.00506928	0.00154089	0.00171091	0.00310763	0.00358882	0.00546072	0.00263525	0.00447086	0.00176088	0.00331873	0.0054454	0.00444016	0.00629175	0.00830787	0.0106319	0.0107353	0.0153579	0.0101879	0.00804474	0.00930347	0.00775726	0.00256175	0.00436781	0.00262141	0.000720664
l'	0.0460363	0.0450234	0.0426407	0.0376385	0.0358741	0.0338816	0.0295935	0.0212076	0.0174857	0.018514	0.022498	0.0182477	0.0220827	0.0437308	0.0352202	0.0402231	0.0449616	0.0236008	0.0250551	0.0534895	0.028482	0.0220527	0.0218859	0.0112211	0.0131244	0.0159674	0.0148585	0.0180504	0.0446751	0.0251948	0.00904654	0.0188991	0.0264634	0.0156533	0.0193092	0.0231525	0.0149589
a	0.0157776	0.0101158	0.0172036	0.0136251	0.0243535	0.0270808	0.0330968	0.0470197	0.0378411	0.0519335	0.0602848	0.0637928	0.0698052	0.0576979	0.0670757	0.0417512	0.0454033	0.0424937	0.0336968	0.0361243	0.0216063	0.0366718	0.0218363	0.00523493	0.0127343	0.0104634	0.0130817	0.013447	0.00760814	0.00473652	0.00693665	0.00692485	0.00511093	0.00286194	0.00490364	0.00592996	0.023738
quitté	0.0357306	0.00877586	0.0116017	0.0116215	0.00763176	0.00982469	0.0117377	0.0135193	0.0139429	0.015371	0.0265932	0.0293815	0.054356	0.0375855	0.0513406	0.0353571	0.0389589	0.0269986	0.0293301	0.0330811	0.0324587	0.0458957	0.0372325	0.00993243	0.0265773	0.0241894	0.0299052	0.0298558	0.025459	0.0248675	0.0296376	0.0256025	0.0249053	0.0204737	0.0261766	0.0315495	0.0525413
du	0.0670423	0.0393328	0.0277272	0.0429992	0.0302125	0.02975	0.0374514	0.0397827	0.0242943	0.0295339	0.0307256	0.0227546	0.0303964	0.0310494	0.0248715	0.00994738	0.0226231	0.0192175	0.0165205	0.008511	0.0291684	0.0242093	0.0156837	0.0278562	0.025267	0.0236171	0.0195594	0.0166814	0.0291034	0.0187871	0.0207843	0.0192973	0.0178541	0.0208164	0.0177513	0.0195301	0.06929
fait	0.0756835	0.0784339	0.0627205	0.0684456	0.0305461	0.0338389	0.0353815	0.0357884	0.0337203	0.0327583	0.0239874	0.0464427	0.0565125	0.0314601	0.0292218	0.0273451	0.0253852	0.0401724	0.023002	0.0167281	0.00575292	0.00609873	0.00446817	0.00351558	0.00321534	0.00241081	0.00249615	0.00299811	0.00362168	0.00510894	0.00739643	0.00663956	0.00753206	0.00841289	0.0132434	0.0252181	0.0842969
qu'	0.0414306	0.0337713	0.0350222	0.0452703	0.0257563	0.0290491	0.0216196	0.0223712	0.0243031	0.0238719	0.0240242	0.0399347	0.0285371	0.0210201	0.0247332	0.0223168	0.0225104	0.0224507	0.0220339	0.0189804	0.0141748	0.0252686	0.0180888	0.00606542	0.00931963	0.00941227	0.0108243	0.0183173	0.0267574	0.0320669	0.0242709	0.0213264	0.028131	0.0342879	0.0341318	0.0410006	0.0975488
il	0.0839407	0.0566216	0.0752146	0.0454774	0.048972	0.0429935	0.0242165	0.0248493	0.01624	0.0144714	0.0173077	0.00905466	0.00940941	0.0185746	0.0148938	0.0148261	0.0246935	0.0149707	0.0158723	0.0129826	0.0167963	0.0200275	0.0197475	0.0119512	0.0151257	0.0132565	0.009096	0.00952246	0.0150614	0.0133088	0.0188388	0.0150815	0.0254904	0.0274849	0.024635	0.0510261	0.107968
n'	0.063343	0.0407086	0.0411849	0.0378359	0.0328173	0.0299214	0.0337019	0.025365	0.0250866	0.0212167	0.0299207	0.0315599	0.0388046	0.0421325	0.0355129	0.0298757	0.033059	0.0270971	0.0243798	0.0276965	0.0227703	0.0328094	0.0195735	0.0192237	0.0272084	0.0209851	0.0148322	0.011346	0.0128112	0.0123074	0.0131187	0.0124169	0.0154929	0.0140912	0.0150096	0.0174353	0.0473483
aime	0.362044	0.0863887	0.0650916	0.0646925	0.0600425	0.0356898	0.0352067	0.030888	0.0319239	0.0177198	0.0267694	0.0115291	0.0136745	0.0152213	0.00936934	0.0109975	0.00829403	0.00676299	0.00597297	0.00455341	0.00666464	0.00388082	0.00467738	0.00359952	0.00354731	0.00181874	0.00141836	0.0021608	0.00133742	0.00215796	0.00465665	0.0029106	0.00471496	0.00359569	0.00765614	0.00779074	0.0345804
pas	0.0888533	0.036256	0.0343767	0.0412514	0.0398777	0.02348	0.0203086	0.0156251	0.0241869	0.0115559	0.0209425	0.0215127	0.0252738	0.00869406	0.0190711	0.0356304	0.0100141	0.0255024	0.0193044	0.00587131	0.00690348	0.0160023	0.0114303	0.00546563	0.00557896	0.00572737	0.0116321	0.0240755	0.0314477	0.0373419	0.0392029	0.0288923	0.0285285	0.0461056	0.0607652	0.0463142	0.0669982
rester	0.092475	0.0334528	0.0443357	0.0378383	0.0292262	0.0266851	0.016294	0.0128769	0.0231605	0.0072613	0.017741	0.0192417	0.0157863	0.00713019	0.0136203	0.026495	0.0109759	0.0166203	0.0162516	0.00707083	0.00699919	0.00968859	0.01234	0.00437721	0.00693319	0.00319852	0.00725844	0.0261765	0.013799	0.037263	0.0695726	0.041507	0.0374291	0.0622765	0.0641515	0.0537531	0.0687376
à	0.0409899	0.0171353	0.016335	0.0201295	0.0140737	0.0149051	0.00799335	0.00942685	0.0108073	0.00932465	0.00801666	0.00935059	0.00985423	0.0108477	0.0145414	0.0109198	0.0184497	0.01229	0.00987994	0.00759296	0.0208775	0.016953	0.0249935	0.0135229	0.017926	0.0105647	0.0174627	0.0269831	0.023825	0.0404854	0.0707065	0.0505817	0.0421297	0.0738105	0.0799149	0.0888099	0.107589
la	0.0623225	0.0343379	0.0184397	0.0226316	0.0205187	0.0132087	0.00850393	0.00920029	0.0104746	0.00846797	0.00817997	0.0074279	0.0147646	0.0118809	0.0140087	0.0131603	0.0187534	0.0106127	0.00951797	0.00719096	0.0154252	0.0140898	0.0200996	0.00652293	0.0117895	0.00928818	0.0124712	0.0201827	0.0193918	0.0284101	0.0523523	0.0369589	0.0374365	0.0537832	0.0975005	0.0815495	0.159144
maison	0.027681	0.0113506	0.00964412	0.0125085	0.0105169	0.0127213	0.0116203	0.00803949	0.0113667	0.00968857	0.0121026	0.00846243	0.0195439	0.0079796	0.0100465	0.0121233	0.014757	0.0083326	0.00691581	0.00685802	0.00861138	0.00931095	0.017459	0.00713941	0.0145118	0.00971516	0.0104588	0.00903198	0.0156578	0.030474	0.0589258	0.0421345	0.0442114	0.0568427	0.103206	0.137972	0.192078
</S>	0.0898475	0.0535936	0.0425277	0.0450529	0.0374095	0.0307273	0.0232116	0.0207045	0.0191159	0.0186206	0.0161406	0.0133511	0.014976	0.00710627	0.0164437	0.00882674	0.0117903	0.00965292	0.00427922	0.00236909	0.00577546	0.00798785	0.00826328	0.00483027	0.00657683	0.00618738	0.0132347	0.0175271	0.0160273	0.0302346	0.0417954	0.0280012	0.0202624	0.0515921	0.0634625	0.0664282	0.126066
