 	n	g	á	í	n	a	r	i	l	e	k	á	s	i	l	í	í	d	z	e	m	é	b	a	á	y	á	n	d	é	e	</S>
j'	0.0801736	0.359438	0.267109	0.135934	0.064914	0.023217	0.00213837	0.0015111	0.00256356	0.00264071	0.00400138	0.00426945	0.0078734	0.00763727	0.00704546	0.00440271	0.00289425	0.00161816	0.00173536	0.00133075	0.00105458	0.00134827	0.00129919	0.00090214	0.00130776	0.00142752	0.0018504	0.00149356	0.00143494	0.00179535	0.00141516	0.00222359
ai	0.0783691	0.0395195	0.0471239	0.0535706	0.0197209	0.0316882	0.0683711	0.076343	0.113988	0.0958863	0.0710921	0.0639553	0.0213674	0.0171946	0.0111238	0.0106841	0.00973437	0.00708004	0.00532889	0.00544777	0.00376444	0.00801303	0.0133053	0.00941987	0.014637	0.0110772	0.0081138	0.0122066	0.0148108	0.0167867	0.011506	0.0287699
décollé	0.0307335	0.0250843	0.0209243	0.0232793	0.0421929	0.0206919	0.0282571	0.0432448	0.0394867	0.0328863	0.0332405	0.0249561	0.0456411	0.0562277	0.0548956	0.048793	0.0450139	0.0414069	0.0380574	0.0367752	0.0359445	0.0431149	0.0289981	0.023435	0.0208974	0.0159658	0.0178275	0.0204047	0.0120159	0.0124435	0.0231317	0.0140322
la	0.0382615	0.0575057	0.0423299	0.0366677	0.0503102	0.0337483	0.0259832	0.0379933	0.0298082	0.0450331	0.0439213	0.0286185	0.0442767	0.0560678	0.0440113	0.0271439	0.0288161	0.0295696	0.0229622	0.044134	0.0372487	0.0300744	0.0195793	0.0254226	0.0133309	0.0101829	0.0110606	0.0110275	0.0112862	0.0107315	0.0219229	0.0309702
feuille	0.0137438	0.014146	0.0114085	0.00897634	0.0166002	0.0284493	0.0290135	0.0349464	0.0275158	0.0485505	0.0345157	0.0238194	0.0228631	0.0301577	0.0225648	0.02495	0.0217947	0.0266696	0.0285999	0.0371904	0.0402013	0.0381104	0.0346599	0.0328258	0.0386402	0.0296741	0.0266087	0.0436555	0.0319813	0.0500835	0.0472233	0.0798605
de	0.0159254	0.0165842	0.0161677	0.0129246	0.00747444	0.0143767	0.0234251	0.0244776	0.0284325	0.0275876	0.0281142	0.0167188	0.0159387	0.0228468	0.0166786	0.0196418	0.0183408	0.029961	0.0268857	0.0375518	0.0337717	0.0330605	0.0376317	0.0473584	0.0539723	0.0456029	0.0344398	0.0549341	0.0470506	0.0605491	0.0575691	0.074006
papier	0.0341638	0.0237609	0.0117826	0.0123248	0.0126822	0.0168876	0.0239403	0.022314	0.0251096	0.0265933	0.0252372	0.0145269	0.0160851	0.0193231	0.0177112	0.0177687	0.0144895	0.0232869	0.0263458	0.0379545	0.0450566	0.0306176	0.0388332	0.0369114	0.0401126	0.0380193	0.0430858	0.0419052	0.0485764	0.0586874	0.0518212	0.104085
qui	0.0167744	0.0161988	0.0128474	0.0151035	0.0145136	0.0163737	0.0174018	0.0178706	0.0196378	0.0208933	0.0213804	0.0159478	0.023643	0.0339508	0.0327537	0.0313533	0.0265029	0.0366124	0.0345819	0.0421277	0.0396944	0.027848	0.0313513	0.0308422	0.0341513	0.0378668	0.0462349	0.0429158	0.049276	0.0640549	0.0544333	0.0748624
était	0.0214466	0.020733	0.0188313	0.0190959	0.0206204	0.018249	0.0147137	0.0131644	0.0129452	0.0148363	0.0120811	0.00919381	0.0107297	0.0146752	0.0173479	0.0183844	0.0136315	0.0205041	0.0209575	0.0255003	0.0278572	0.0180575	0.0269362	0.031796	0.0456339	0.0592879	0.0698213	0.07386	0.0748055	0.0772036	0.0774396	0.0796601
sur	0.0197408	0.019266	0.0159421	0.0158179	0.0191984	0.0145788	0.0104344	0.0099066	0.00972169	0.0121208	0.0102676	0.00873779	0.0128441	0.0177619	0.0215634	0.0218582	0.0163513	0.0226522	0.0244195	0.0273078	0.0333703	0.0236703	0.0370593	0.0400784	0.051531	0.0603163	0.0653548	0.0699333	0.0692708	0.0715149	0.0723618	0.0750473
le	0.028588	0.0258007	0.0135226	0.0135646	0.0226705	0.0193652	0.0235067	0.0265791	0.0270081	0.0269202	0.0254508	0.0244853	0.0268161	0.0234321	0.024713	0.0209524	0.0121915	0.0246411	0.0213431	0.029008	0.0320436	0.0191231	0.0235716	0.0330286	0.0316415	0.0391365	0.0465419	0.0495762	0.0483909	0.0535164	0.0697913	0.0930795
mur	0.00723727	0.00747487	0.00810032	0.00925502	0.00820223	0.0110135	0.0124249	0.0137857	0.0128122	0.0195716	0.0157797	0.0122589	0.0172022	0.0260069	0.0345766	0.0381402	0.0302986	0.0374158	0.0414267	0.0348954	0.0399045	0.0301869	0.0358763	0.0313115	0.043433	0.0498515	0.0493041	0.0624883	0.0596709	0.0647375	0.0682396	0.0671171
de	0.0679449	0.0254316	0.0117232	0.00949657	0.0114607	0.0109512	0.014207	0.0168773	0.019155	0.0228161	0.0232974	0.0291868	0.0273505	0.026275	0.0210581	0.0267289	0.0238816	0.0289483	0.0263794	0.0307162	0.0391075	0.0352769	0.0414205	0.0439749	0.0390124	0.0469214	0.0465724	0.044692	0.0471776	0.0421225	0.0458087	0.0540274
la	0.0558935	0.0263947	0.0230788	0.0239059	0.0225425	0.0200009	0.0288256	0.0262888	0.028871	0.0275072	0.025409	0.0180259	0.0180665	0.0224217	0.0236108	0.0276123	0.0239217	0.0256613	0.020811	0.0272866	0.0261309	0.0212992	0.020159	0.0285746	0.0255083	0.0320854	0.0381723	0.0425627	0.043267	0.0480464	0.0677951	0.0902634
maison	0.0184447	0.0164999	0.01727	0.0178511	0.016178	0.0180267	0.0215655	0.0237649	0.0213293	0.0319438	0.0224864	0.0197093	0.0154047	0.0195625	0.0242658	0.0331879	0.025832	0.0279071	0.0244696	0.0162897	0.0149306	0.0140342	0.0141577	0.0145756	0.0184153	0.0317629	0.0352059	0.0575979	0.0636792	0.0766066	0.112978	0.114068
</S>	0.0270304	0.0151908	0.0134287	0.01509	0.0112155	0.0142902	0.0264037	0.030993	0.0306019	0.0339636	0.0308631	0.0328204	0.0284518	0.0317498	0.0319796	0.035056	0.0208907	0.0246756	0.0189742	0.0211037	0.0206809	0.022068	0.021663	0.0239547	0.0266479	0.0382233	0.0349509	0.043075	0.0572606	0.0460839	0.0697491	0.10087
