 	n	g	á	í	y	é	b	h	i	w	á	r	e	w	a	a	d	í	o	y	ú	r	u	y	i	b	á	a	m	í	b	h	a	e	l	í	í	l	á	r	í	w	a	m	ó	o	s	a	b	h	i	</S>
c'	0.201507	0.269567	0.146066	0.0745334	0.0685184	0.0109849	0.00673736	0.00502209	0.00477149	0.00723519	0.00706333	0.00847496	0.00567289	0.00754316	0.00476599	0.00420808	0.00706531	0.00406251	0.00903719	0.0111027	0.00611561	0.00534692	0.00600078	0.00646451	0.00671058	0.00436121	0.00721809	0.00604328	0.0025005	0.00306917	0.00365331	0.00455169	0.00420126	0.0038571	0.00408186	0.00396298	0.00484353	0.00456136	0.00312542	0.00237173	0.00269484	0.00226643	0.00244974	0.0023433	0.00450975	0.00264712	0.00583384	0.00351606	0.00473445	0.00483599	0.004042	0.00314719
est	0.105101	0.0314205	0.0219646	0.0326583	0.0327159	0.0433684	0.0483302	0.0771568	0.0571476	0.0270132	0.0219871	0.0240905	0.0173384	0.0232508	0.0124528	0.0161014	0.0259236	0.0139099	0.0154647	0.0153733	0.0042504	0.0217464	0.0227011	0.00820768	0.0160677	0.00489896	0.00397275	0.00544913	0.0132308	0.00468	0.0131427	0.0406218	0.0193507	0.0202975	0.0239046	0.0149088	0.0212392	0.00534269	0.0130934	0.00731319	0.00413587	0.00209597	0.00767133	0.00253517	0.0083067	0.00558079	0.00602276	0.00319761	0.00226008	0.00330268	0.00115209	0.00655058
par	0.0783406	0.0222162	0.00583718	0.00362165	0.00564412	0.00421385	0.00732903	0.0130772	0.0183259	0.013056	0.0159485	0.0102036	0.00761495	0.0154317	0.00992641	0.00660691	0.00693904	0.00432687	0.00833363	0.0135876	0.0095496	0.0204403	0.021741	0.00834852	0.00428526	0.0158947	0.0106948	0.00697234	0.027074	0.00865545	0.0171992	0.0665415	0.0347241	0.0374961	0.0956876	0.00795854	0.0403145	0.0218015	0.016287	0.0103116	0.0112526	0.00899106	0.00548886	0.00474729	0.00475625	0.0106814	0.0106605	0.0121741	0.0345504	0.0302031	0.0427124	0.0712234
un	0.0400484	0.057139	0.0710033	0.100491	0.0974088	0.104939	0.107015	0.0253692	0.0292783	0.00799898	0.00611447	0.00857801	0.00598468	0.0140787	0.00145544	0.0118821	0.0142364	0.00248113	0.00183352	0.00321974	0.0020888	0.0113401	0.0151387	0.00831722	0.0181388	0.0215411	0.00783954	0.009392	0.00867423	0.011096	0.00868788	0.0167355	0.00772438	0.0132207	0.0110774	0.0178152	0.0130337	0.0144462	0.0206338	0.0129804	0.0130184	0.00294506	0.00486991	0.00222422	0.00160708	0.00103443	0.00128756	0.00106962	0.000739138	0.00114733	0.00130391	0.00827626
anneau	0.0410469	0.046927	0.0755582	0.0570073	0.100619	0.0746358	0.276506	0.0250678	0.0585802	0.00791726	0.00494068	0.00563318	0.00415464	0.00672195	0.00110802	0.0055789	0.00526647	0.00171722	0.000926609	0.00136986	0.00208354	0.00170339	0.00346081	0.0010841	0.00267464	0.00192355	0.00295226	0.00157115	0.00120098	0.00341652	0.00188928	0.0022651	0.00378775	0.00273136	0.00870223	0.0040347	0.00553554	0.00436423	0.0128256	0.00959889	0.0117097	0.0050445	0.00561608	0.00188674	0.0107154	0.00476253	0.00915119	0.00479132	0.00511644	0.00871129	0.00680923	0.0465971
que	0.0136237	0.00871027	0.00532178	0.0053907	0.00514436	0.00553004	0.00747018	0.0118128	0.0102586	0.00446233	0.00637933	0.00445161	0.00293253	0.00472012	0.00297763	0.00108927	0.00168814	0.000876328	0.00268571	0.0060391	0.00903211	0.0111352	0.0101801	0.00774052	0.0124504	0.0259328	0.032178	0.021771	0.0260966	0.0416237	0.0377166	0.0358815	0.0596854	0.0339848	0.0751918	0.0300892	0.0429309	0.0223044	0.0281859	0.0335111	0.0256386	0.0298179	0.0298578	0.0217254	0.0269656	0.0167825	0.0223882	0.0195955	0.0250632	0.0264705	0.0220512	0.0244571
cette	0.009962	0.00588693	0.00306634	0.00481629	0.00232893	0.0074454	0.00840758	0.0278954	0.0160542	0.01135	0.00954676	0.0089805	0.003606	0.0138081	0.00298381	0.00273408	0.00300887	0.002146	0.00471498	0.00563471	0.00600071	0.0114227	0.010715	0.00930171	0.0192529	0.0168873	0.0320524	0.0332378	0.0356016	0.0307645	0.0408421	0.0369319	0.0484924	0.0268407	0.0530382	0.0541718	0.044912	0.0306859	0.0461523	0.0522239	0.0332908	0.0237064	0.0273415	0.0146619	0.0153076	0.0133141	0.0130118	0.0112751	0.0126525	0.0109666	0.0111782	0.0193888
femme	0.0102577	0.0135825	0.0234258	0.0322861	0.02541	0.0160991	0.0150675	0.0261424	0.0282782	0.0191879	0.0132601	0.0138933	0.0103946	0.0151372	0.00807934	0.00558541	0.0135864	0.00616272	0.0162314	0.0221776	0.00999759	0.025084	0.0352796	0.0156575	0.0324749	0.0265952	0.0228278	0.0242108	0.0334921	0.0267075	0.0272065	0.055657	0.0248594	0.0337285	0.0328076	0.0203309	0.0265787	0.0155173	0.0309084	0.00894629	0.0149635	0.0019199	0.00265426	0.000972779	0.00179519	0.0026692	0.00821737	0.00404949	0.00640073	0.0160066	0.0090841	0.0681542
a	0.0181299	0.0117106	0.016181	0.0256495	0.0141374	0.0223116	0.0106088	0.0184337	0.0161458	0.00610333	0.00368091	0.00536328	0.00446924	0.00537521	0.00258243	0.00353738	0.00648083	0.00372275	0.00848234	0.0114425	0.0102476	0.0165297	0.0179101	0.0134241	0.0277994	0.0286675	0.0186275	0.0299337	0.073635	0.0366035	0.0598421	0.0553374	0.0337274	0.0503171	0.0462429	0.0207657	0.0344119	0.0181298	0.0315423	0.0124831	0.0118997	0.00136814	0.00186745	0.00107253	0.00243744	0.00314292	0.0100537	0.00917639	0.0162006	0.0235379	0.0278805	0.0406362
porté	0.0346067	0.0186237	0.0249299	0.0173389	0.0178197	0.0170375	0.0152231	0.0109446	0.0101919	0.0071133	0.0039418	0.00434228	0.00387063	0.00300791	0.00215003	0.00383832	0.00711133	0.00383663	0.00707588	0.0100943	0.0112127	0.0122569	0.0126209	0.00871835	0.0144077	0.0288041	0.0176055	0.0182275	0.0582183	0.0310994	0.0464368	0.0403403	0.0293033	0.0430678	0.0338388	0.0172788	0.0219877	0.0123407	0.019262	0.0113325	0.0127947	0.0039889	0.00624625	0.00455005	0.00947759	0.00712092	0.0181899	0.0217582	0.0378722	0.0497174	0.0546843	0.0621409
