 	b	í	s	í	b	ó	l	é	e	b	h	é	m	b	á	s	á	k	ώ	</S>
nous	0.132992	0.13536	0.0909182	0.121379	0.10943	0.0570954	0.043692	0.0459687	0.0337777	0.0477572	0.0375899	0.0239822	0.0311354	0.0184948	0.0128626	0.01066	0.00822491	0.00888751	0.0126594	0.0171329
sommes	0.0515039	0.0590801	0.0537889	0.0444301	0.0498393	0.061524	0.0737912	0.0993711	0.12552	0.0660957	0.0419679	0.0432341	0.0396005	0.0400349	0.0278483	0.0252259	0.022423	0.0211493	0.0239511	0.0296205
en	0.0597018	0.073902	0.0565547	0.0393579	0.0317329	0.020201	0.0220309	0.0218932	0.0315641	0.0285198	0.0411633	0.0335284	0.0349216	0.0293852	0.0376601	0.0454664	0.0616363	0.0738204	0.105819	0.151141
train	0.0264311	0.0235073	0.0231537	0.0225791	0.0210121	0.0153843	0.0191609	0.0326652	0.046644	0.0730403	0.0873496	0.0931427	0.0727009	0.0789855	0.0634609	0.0639961	0.0607418	0.0542214	0.0627214	0.0591017
de	0.0559073	0.0545223	0.0589685	0.0331372	0.028647	0.0201938	0.011518	0.0129045	0.00884967	0.0123049	0.0153211	0.0194936	0.0252421	0.0367234	0.0725117	0.0760811	0.071508	0.0787995	0.100608	0.206758
marcher	0.10378	0.0584353	0.0407706	0.0349749	0.0405735	0.0470263	0.0473462	0.0561118	0.0602006	0.0527166	0.0537978	0.0576265	0.0502806	0.0561598	0.0593621	0.0456795	0.0336547	0.0255747	0.0265736	0.0493542
dans	0.0573522	0.0424579	0.0315882	0.0251787	0.0247903	0.0252103	0.0183607	0.0174505	0.0177512	0.021464	0.0313903	0.0417444	0.0500724	0.0585406	0.0715692	0.0768722	0.0821715	0.0831317	0.0844154	0.138488
la	0.0674528	0.0466613	0.0359584	0.0316276	0.0306437	0.0322196	0.0271958	0.0292924	0.0218763	0.0190559	0.0186357	0.0260268	0.0401167	0.0418354	0.0572867	0.0590858	0.0832119	0.0824604	0.0882344	0.161122
forêt	0.0512177	0.0480458	0.0454089	0.0344233	0.0220144	0.0193828	0.0159982	0.0165875	0.0137012	0.0145004	0.015636	0.0237152	0.0340933	0.0355816	0.055143	0.0590236	0.0994777	0.111023	0.112092	0.172934
</S>	0.087716	0.0779897	0.0600866	0.043448	0.0239578	0.0212601	0.0178556	0.0174626	0.0148703	0.0179491	0.0178192	0.0182258	0.0215957	0.0245009	0.0383953	0.0481487	0.0877212	0.113268	0.101655	0.146075
