 	t	á	á	y	a	b	í	s	í	á	p	i	i	k	ú	s	u	m	ó	k	ω	n	y	i	</S>
notre	0.00899772	0.00994162	0.0257192	0.0175329	0.0149198	0.0309206	0.100721	0.138529	0.137395	0.115239	0.138462	0.0742947	0.042143	0.0314874	0.0195802	0.0131657	0.0107598	0.00745089	0.00798553	0.00666907	0.0060225	0.00900752	0.015212	0.00767743	0.010166
père	0.0364882	0.115409	0.21629	0.163086	0.109678	0.0841829	0.0566793	0.0446401	0.0342373	0.0320675	0.0225325	0.0169393	0.0101415	0.0068675	0.00881748	0.0168396	0.00485789	0.00395555	0.00275529	0.00203521	0.00385008	0.00370781	0.00207761	0.00133089	0.000534038
a	0.0183036	0.0200625	0.0427588	0.0534245	0.0536877	0.0639823	0.0470426	0.0840056	0.0355684	0.0668466	0.0310248	0.0453851	0.0281874	0.0428974	0.0561932	0.0519667	0.0712352	0.0586742	0.0415007	0.0329457	0.0112938	0.0166215	0.0091401	0.0106076	0.00664393
attrapé	0.0499017	0.038114	0.0520986	0.0396753	0.0292163	0.014899	0.0167811	0.0102336	0.0316524	0.0373782	0.0312599	0.0490269	0.0655598	0.0354076	0.0447981	0.0509836	0.0876115	0.0764005	0.0453169	0.0409051	0.0278069	0.0232211	0.0222117	0.0368709	0.0426691
une	0.0743494	0.0570033	0.0443403	0.0370124	0.0293861	0.0323387	0.03364	0.0388836	0.0418815	0.0378119	0.0304362	0.0321933	0.0262405	0.0190131	0.0191513	0.0196556	0.0168862	0.0214745	0.0220847	0.0299993	0.0403426	0.0506646	0.0504581	0.0574478	0.137305
tortue	0.0423308	0.0257476	0.0198714	0.0149529	0.0104318	0.010466	0.0147048	0.0189888	0.0215971	0.0188358	0.0207533	0.0198673	0.0207988	0.0325166	0.0419195	0.0468831	0.0381058	0.0667301	0.0668408	0.0641353	0.0756163	0.0651532	0.0799712	0.0723803	0.0904014
dans	0.0256474	0.0181798	0.0156973	0.0159663	0.017055	0.0166743	0.0208294	0.0181866	0.032101	0.021875	0.0329291	0.021905	0.0201109	0.0295712	0.037697	0.0405622	0.0494146	0.0543497	0.0639744	0.0663629	0.0767524	0.0597654	0.0728175	0.0648769	0.106699
la	0.0319965	0.0282876	0.0300522	0.035595	0.0347534	0.0309672	0.0226627	0.0170848	0.0161345	0.0122313	0.0130574	0.0138962	0.013212	0.0239134	0.0204407	0.0194412	0.0224082	0.030234	0.0631346	0.0757269	0.0785617	0.0919778	0.087197	0.0839158	0.103118
nasse	0.0555981	0.0340203	0.0289268	0.0203455	0.0130868	0.0083432	0.00341018	0.00274781	0.00908388	0.00865318	0.00972	0.0162134	0.0142564	0.0117221	0.0146342	0.0204369	0.0407038	0.0462709	0.0479562	0.0378796	0.0543534	0.0706133	0.136896	0.117433	0.176695
</S>	0.0936716	0.0790693	0.0679705	0.0556107	0.0381581	0.0330213	0.0200717	0.00954643	0.0146454	0.0137637	0.0115943	0.0139773	0.0104663	0.00925632	0.0127581	0.0142876	0.0168423	0.0237491	0.0408833	0.0388522	0.0417564	0.0563953	0.0521248	0.0864331	0.145095
