 	m	w	á	s	í	y	a	n	g	á	b	o	l	á	a	k	y	έ	έ	l	έ	o	t	ω	m	b	í	l	i	m	ó	ó	d	z	w	á	n	g	y	ε	l	έ	</S>
ma	0.00539023	0.00898971	0.00692678	0.00701523	0.00498611	0.00650874	0.0151565	0.0320233	0.037267	0.0463248	0.0350503	0.0953307	0.106103	0.0565439	0.0543997	0.043412	0.0415809	0.0303867	0.039996	0.0273031	0.0160938	0.0191326	0.0141199	0.0071333	0.0100422	0.00833828	0.00400683	0.00761221	0.00702728	0.00722663	0.00877654	0.0103428	0.00927862	0.014524	0.00808868	0.015148	0.0188226	0.0189094	0.0182267	0.0188719	0.0213372	0.0194368	0.0168091
femme	0.0785354	0.107538	0.18575	0.0938967	0.0825879	0.03669	0.175569	0.0520139	0.0344657	0.0330431	0.0152518	0.00446356	0.00584355	0.00274094	0.00135672	0.000375801	0.000413901	0.000480751	0.000564479	0.000634684	0.00104501	0.00242595	0.00206749	0.00169924	0.00237647	0.00286458	0.00432136	0.00771662	0.00775871	0.0140515	0.00969108	0.00815033	0.00692961	0.0020811	0.00210805	0.00111978	0.00299333	0.0017161	0.00248147	0.00175352	0.00117298	0.000652284	0.000607364
attend	0.0248606	0.0221923	0.0241307	0.0218058	0.0409237	0.0369278	0.0325162	0.0788463	0.0497157	0.064531	0.0671749	0.0603463	0.0775801	0.0641346	0.035949	0.0197687	0.0300716	0.0203895	0.0273327	0.0243324	0.00982004	0.00844069	0.00771166	0.00781696	0.00593009	0.0103278	0.00849161	0.00674035	0.00821747	0.0116198	0.00707638	0.0105986	0.0104413	0.00490977	0.00960121	0.0044447	0.0119784	0.00462778	0.00504827	0.00624685	0.00551791	0.00665918	0.00420305
le	0.0118841	0.00883992	0.0112459	0.00846456	0.00992386	0.00872318	0.00801528	0.00884423	0.00836393	0.0140819	0.0268298	0.0318612	0.0409254	0.0328666	0.0476367	0.0277316	0.0382905	0.0256983	0.0247585	0.0513169	0.0383181	0.0532652	0.0431286	0.0346268	0.0238082	0.0304161	0.0299246	0.0243959	0.031097	0.0158075	0.0149864	0.0182935	0.0195842	0.0143832	0.0107392	0.0145495	0.00895721	0.00817899	0.00977656	0.0181406	0.019819	0.0281429	0.0433584
véhicule	0.0242453	0.0113131	0.0122854	0.0114723	0.011571	0.0108549	0.00808422	0.0122228	0.00838504	0.00949296	0.0127721	0.0118102	0.0138234	0.0130566	0.0148846	0.0137007	0.0162715	0.0232402	0.0186362	0.0269002	0.0369139	0.0390872	0.0417609	0.0274196	0.048105	0.0557402	0.043886	0.063308	0.0426389	0.0502007	0.0405733	0.0286644	0.0221713	0.0156416	0.0108019	0.00714875	0.0199448	0.0138696	0.0185975	0.0228999	0.0207566	0.018548	0.0262992
qui	0.0214808	0.00618258	0.009623	0.00893854	0.0053111	0.00450004	0.00422286	0.00511404	0.00501529	0.00605125	0.00842361	0.00647425	0.0069485	0.00758664	0.0061296	0.00834726	0.0167208	0.0168458	0.0192032	0.0208223	0.0202924	0.0254122	0.0379068	0.0315973	0.0354424	0.0560007	0.0711443	0.0561233	0.0577375	0.0653341	0.0625364	0.0553905	0.044386	0.0361125	0.00613665	0.00544007	0.00986128	0.00722953	0.0159103	0.0171759	0.0215915	0.0233983	0.0438988
part	0.0491763	0.0205193	0.0235096	0.0183031	0.0203742	0.0211906	0.0273308	0.0273815	0.0211401	0.0139006	0.0126017	0.0118761	0.0141496	0.011089	0.0117683	0.0152023	0.0205268	0.0330581	0.0428353	0.0290296	0.0303766	0.0657865	0.0757919	0.0535837	0.0536918	0.0187074	0.0317306	0.0524474	0.0266297	0.0185078	0.0127414	0.0129896	0.0221696	0.00775723	0.00676299	0.00438871	0.00470343	0.00306177	0.00599722	0.0057664	0.00749641	0.0123852	0.0215639
à	0.051481	0.0198799	0.0251997	0.0261985	0.0329893	0.0309263	0.0177133	0.0159709	0.0108111	0.0072524	0.00859561	0.0082519	0.00733762	0.00858327	0.0114103	0.0111	0.00930156	0.012602	0.0140214	0.0111325	0.0339824	0.0466363	0.0618561	0.0460707	0.0409284	0.0370571	0.0344711	0.0209016	0.0145262	0.0103659	0.0106551	0.0109718	0.0252371	0.0283371	0.028762	0.0337394	0.0280757	0.0404868	0.0141975	0.0181203	0.0196719	0.023526	0.0306652
brazaville	0.0414052	0.0176528	0.0219488	0.0149978	0.0154809	0.012509	0.0106	0.00996823	0.00665417	0.00548795	0.00867318	0.00861394	0.00657343	0.0108772	0.0105878	0.0107891	0.00828323	0.0121282	0.0133567	0.0180383	0.0394626	0.0379381	0.0478578	0.0453151	0.0299219	0.0348265	0.0298947	0.0426487	0.0290655	0.0177098	0.0291044	0.0258357	0.0304028	0.0314789	0.0165871	0.0230248	0.0148142	0.0230532	0.0173271	0.0221735	0.0232776	0.0437255	0.0799285
</S>	0.0448851	0.026403	0.0297418	0.0188651	0.0147873	0.0120407	0.012254	0.0101279	0.00538973	0.00688161	0.0122659	0.0112182	0.0105067	0.0153524	0.0161516	0.0186769	0.0154938	0.0193312	0.0189347	0.0226617	0.0392636	0.0390487	0.0583605	0.0460184	0.0392779	0.0405738	0.0404789	0.0424676	0.0230276	0.0188679	0.0179514	0.00969996	0.0159367	0.00783876	0.00367555	0.00425395	0.00750706	0.00644292	0.00972141	0.0191175	0.0237331	0.0428185	0.101949
