 	o	k	o	n	d	z	i	y	a	p	o	o	y	á	b	í	s	í	a	d	í	l	i	b	ε	n	g	ε	</S>
le	0.00419955	0.00998966	0.0066352	0.00959189	0.00978021	0.0108124	0.0220298	0.0141445	0.0119034	0.0321748	0.038138	0.0585858	0.05655	0.0323022	0.0484896	0.0396835	0.0403387	0.0377727	0.0538281	0.068175	0.0697851	0.0722499	0.0388181	0.0504678	0.0278868	0.025012	0.0255664	0.0333695	0.0517194
chef	0.0275253	0.0419906	0.0613734	0.0819793	0.093555	0.0621473	0.0962705	0.0699616	0.0432769	0.0478275	0.0411255	0.0283647	0.0205743	0.027802	0.0339472	0.0154667	0.0182147	0.0382019	0.0273614	0.0216182	0.0198189	0.00949418	0.0221751	0.0150908	0.0120122	0.0104882	0.00766443	0.00129009	0.00338194
de	0.0591155	0.0471398	0.035954	0.029437	0.0196868	0.0138925	0.0124992	0.0154133	0.0142948	0.013947	0.0203847	0.0420039	0.0631386	0.0573627	0.0702063	0.058128	0.0629616	0.0531105	0.0295052	0.0462194	0.056113	0.0484396	0.0476081	0.0324474	0.0188666	0.0107542	0.00906718	0.00738333	0.00491949
notre	0.0144434	0.0172914	0.0214573	0.0365513	0.0544491	0.0312587	0.0211766	0.0144666	0.0156807	0.020505	0.0239004	0.0501664	0.0288274	0.0190816	0.0229496	0.0285	0.0508373	0.0314173	0.0384193	0.0677277	0.0599464	0.0743015	0.0648131	0.0354717	0.0225865	0.0238991	0.0321933	0.035715	0.0419662
village	0.0503536	0.0260909	0.0230973	0.0195066	0.0226053	0.0206358	0.0263349	0.0212607	0.0169	0.0174663	0.0328957	0.049431	0.0645875	0.049366	0.0507779	0.0492893	0.0317854	0.0217694	0.0415599	0.0400582	0.0435823	0.02946	0.0390571	0.0326202	0.0362672	0.0381493	0.028968	0.0184047	0.0577196
a	0.0557254	0.0534039	0.0553981	0.0332677	0.0283849	0.0232483	0.022283	0.0230174	0.0186994	0.0185148	0.0270958	0.0389365	0.0408519	0.0182471	0.0272906	0.0390698	0.0432282	0.0305526	0.0262207	0.0463153	0.0368379	0.0281497	0.0316242	0.0396783	0.0316759	0.0248536	0.0372073	0.0227041	0.0775175
une	0.0962226	0.057337	0.0498473	0.0358546	0.0455108	0.0380927	0.0324332	0.0285733	0.0341814	0.0251914	0.0112863	0.0166768	0.0125758	0.0124188	0.0105447	0.0107917	0.0172161	0.0156442	0.0271125	0.031597	0.0292552	0.0318061	0.042085	0.0435254	0.0451523	0.0514839	0.0423136	0.0235645	0.0817057
tête	0.0690396	0.0994119	0.105541	0.0902201	0.0474637	0.0286956	0.0157161	0.026643	0.018564	0.00731764	0.00877266	0.0107105	0.00619659	0.00388034	0.00246115	0.00303164	0.00346316	0.00435632	0.00482867	0.00363975	0.00319927	0.00436243	0.00797536	0.0163971	0.0260146	0.0430944	0.0459271	0.0822061	0.21087
chauve	0.127799	0.0575454	0.0434952	0.0292823	0.0195513	0.0128246	0.013494	0.0153366	0.0149203	0.00823154	0.00643701	0.00742914	0.00727676	0.00635632	0.00843614	0.0108505	0.0250103	0.024449	0.0428643	0.0351868	0.0330285	0.0313041	0.0401135	0.0475835	0.0552521	0.0545135	0.0502306	0.0608408	0.110357
</S>	0.0972141	0.0642526	0.0541835	0.0427607	0.0268586	0.0146204	0.0074597	0.00980474	0.00797538	0.00387673	0.00370822	0.00538654	0.00505757	0.00461208	0.00292914	0.00283977	0.00450051	0.00456061	0.00957616	0.00659293	0.00753921	0.0115784	0.0325848	0.0391617	0.0624061	0.0853123	0.089251	0.0954273	0.197969
