 	b	á	n	a	b	á	n	d	z	é	s	i	b	ó	b	á	a	b	έ	r	έ	k	o	l	i	</S>
de	0.0479916	0.0710427	0.0831541	0.0453964	0.0389879	0.032633	0.0324285	0.0211541	0.0462148	0.0212727	0.0248744	0.0376147	0.0428855	0.0712437	0.0879776	0.0798546	0.0361094	0.0390516	0.0283934	0.0286388	0.0249581	0.0229225	0.0137696	0.0076558	0.0064814	0.00729293
petits	0.0601529	0.0548681	0.0529234	0.0468158	0.0517792	0.0508167	0.0449309	0.0463632	0.081404	0.0813733	0.0523679	0.0354505	0.0283182	0.0293099	0.0365329	0.0315999	0.0155877	0.0265765	0.0220401	0.0285994	0.0208043	0.0231731	0.032787	0.0124791	0.0150132	0.0179329
enfants	0.0593043	0.035677	0.0541342	0.0550289	0.0449475	0.0548208	0.0714402	0.0658518	0.0388128	0.0558788	0.0215006	0.0254514	0.0304867	0.038711	0.0450112	0.0363745	0.0207722	0.046657	0.0408577	0.0293051	0.0337192	0.0250558	0.0144932	0.0219484	0.0143363	0.0194235
sont	0.0378506	0.0379491	0.0540813	0.0436676	0.0306375	0.0382414	0.0260099	0.0350965	0.0448946	0.0444418	0.0464125	0.0639945	0.0469748	0.0327945	0.0359277	0.0390986	0.0451947	0.03685	0.0265948	0.029369	0.0343224	0.0219521	0.0281698	0.0245977	0.0289523	0.0659241
en	0.0433408	0.0270839	0.0356092	0.027171	0.0268717	0.0346439	0.0371735	0.0464758	0.0698618	0.0784648	0.0816561	0.0779153	0.0631966	0.0502386	0.0342511	0.0276938	0.0266235	0.0208187	0.0198723	0.0206025	0.017704	0.0166825	0.0209866	0.0257089	0.0270296	0.0423236
train	0.0537426	0.0383844	0.0536625	0.0296051	0.02623	0.0376679	0.0383756	0.0373871	0.0461704	0.057784	0.0368087	0.0387049	0.0360735	0.0552901	0.039008	0.0219465	0.0171692	0.0298466	0.0297873	0.031887	0.031622	0.029522	0.0366363	0.0369291	0.0402779	0.0694815
de	0.0621951	0.0398493	0.0511292	0.0515574	0.0505397	0.0484317	0.0509813	0.0576507	0.0275622	0.0563291	0.0356887	0.0566353	0.0379087	0.0272617	0.0249128	0.0305186	0.0265739	0.0158518	0.0149476	0.0204774	0.0209757	0.017297	0.0202979	0.021284	0.044306	0.0888372
jouer	0.101445	0.0563965	0.03365	0.0249819	0.026653	0.0308429	0.0439189	0.0275151	0.0226388	0.0239778	0.0181792	0.0228734	0.0139427	0.0145958	0.0270766	0.039261	0.0334702	0.0610457	0.0470256	0.0584462	0.0491229	0.050225	0.0514132	0.0379423	0.0345973	0.0487626
au	0.13994	0.0521812	0.0352852	0.0313643	0.023019	0.0183828	0.0201742	0.0169481	0.0174199	0.0167494	0.0181092	0.0261448	0.0199196	0.0169012	0.028046	0.0403111	0.0452851	0.0472851	0.0334791	0.042022	0.0418595	0.0403702	0.0455433	0.0475507	0.0514687	0.0842399
foot-	0.0951246	0.0313098	0.0345888	0.0177196	0.0156631	0.0189832	0.0178261	0.0167102	0.0176976	0.0241345	0.0217487	0.0241087	0.0279197	0.0338521	0.047512	0.0564533	0.0461129	0.0507667	0.0411708	0.0428009	0.0405008	0.0456133	0.0576019	0.0490065	0.0508321	0.0742422
ball	0.128446	0.036015	0.0398006	0.0411364	0.0351424	0.0347639	0.0284533	0.0195647	0.0164969	0.0160491	0.0102825	0.0129771	0.00975394	0.00877048	0.0123047	0.0205532	0.0199034	0.0218158	0.0166121	0.0273812	0.0459451	0.041634	0.0613068	0.0742387	0.093081	0.127571
</S>	0.0962037	0.049105	0.0408244	0.0722622	0.0634282	0.039174	0.0367991	0.0224337	0.0180507	0.0129616	0.00713439	0.0100797	0.00643294	0.0102	0.00914786	0.0119733	0.011217	0.0169158	0.0191513	0.0322695	0.0368566	0.0391939	0.0541138	0.0691609	0.0752413	0.139669
