 	a	y	é	s	i	i	á	d	z	e	i	s	í	m	á	p	á	b	h	a	o	k	y	a	k	a	á	t	s	i	n	a	n	d	é	e	y	á	l	e	k	ώ	ώ	l	i	é	b	h	í	b	o	n	d	a	</S>
les	0.125679	0.113315	0.0370715	0.0086488	0.0228899	0.0488333	0.03145	0.0297526	0.0298448	0.0380992	0.0234436	0.0379065	0.0330747	0.0348717	0.0190924	0.021192	0.0120504	0.00824657	0.00513916	0.00646223	0.00638133	0.00605698	0.00552665	0.00547073	0.0033347	0.00387387	0.0029187	0.00492345	0.0028574	0.00190006	0.00257851	0.00370433	0.00465544	0.00583085	0.00961507	0.00846908	0.00848001	0.00766163	0.00951746	0.00987908	0.00996455	0.0092399	0.00938372	0.00950268	0.00978252	0.0103818	0.0104736	0.0138192	0.0144275	0.0142215	0.0192937	0.0161611	0.0216468	0.0185721	0.0124304
enseignants	0.031788	0.0328698	0.0388644	0.0761695	0.0908431	0.0964806	0.0838934	0.0488132	0.0445707	0.0353824	0.0333468	0.0557136	0.0348382	0.026276	0.0201608	0.0219618	0.0148412	0.00830865	0.00545353	0.00299177	0.00217309	0.0026613	0.00160795	0.00228308	0.00169567	0.00295157	0.00151375	0.00240657	0.000759713	0.00215544	0.00262402	0.00290454	0.00183152	0.0024031	0.00255938	0.00201677	0.00310148	0.00394048	0.00483424	0.00387081	0.00588186	0.00528259	0.00778603	0.00832329	0.00936672	0.00898872	0.0129442	0.0122624	0.0116099	0.0134316	0.0129646	0.0128019	0.0157401	0.00503324	0.00372082
n'	0.0150402	0.0177169	0.0270589	0.031932	0.0262146	0.0211794	0.0303443	0.0255329	0.022272	0.0152648	0.0085453	0.00944401	0.0161029	0.0149443	0.0165014	0.021195	0.0176838	0.0178103	0.0203003	0.0135954	0.0147724	0.0174839	0.0136604	0.0150649	0.0112995	0.0162964	0.0123939	0.0158369	0.0146668	0.0153944	0.0150326	0.0196823	0.0200398	0.0169963	0.0171279	0.0160873	0.0228174	0.0197433	0.0208545	0.0192932	0.0249723	0.0266463	0.0277339	0.0293539	0.0312586	0.0268122	0.0158584	0.0148195	0.0146941	0.0126971	0.0124209	0.0115512	0.0127803	0.00711742	0.00806105
ont	0.0779528	0.0790083	0.0682684	0.0675107	0.0622685	0.0318979	0.0310963	0.0297935	0.0300966	0.027872	0.0260968	0.0204158	0.0284222	0.0145238	0.0129452	0.0112752	0.0124366	0.0110506	0.0164128	0.0119885	0.0066175	0.00638075	0.00778451	0.00630379	0.00583029	0.00592767	0.0110588	0.00416904	0.0061253	0.0121492	0.00545266	0.00632124	0.00753902	0.00488331	0.00533922	0.00715652	0.0072548	0.00784321	0.00774668	0.0101636	0.0102459	0.0122949	0.0196809	0.0149989	0.0181159	0.0132662	0.00480121	0.0129419	0.00392536	0.0154091	0.0133913	0.0177255	0.0125187	0.00659062	0.010714
pas	0.0124883	0.0144455	0.0139827	0.0193556	0.0181353	0.0225142	0.0284025	0.0263323	0.0236498	0.02796	0.0233724	0.0207588	0.0284008	0.0343351	0.0294535	0.0296375	0.0321665	0.0299688	0.0306121	0.0287174	0.0197147	0.0188287	0.0154317	0.0128908	0.0224332	0.0226099	0.0148043	0.0122829	0.0147869	0.0121195	0.0153197	0.0162017	0.013121	0.00912225	0.00947417	0.00996992	0.0157506	0.0139449	0.0211125	0.0212866	0.0196722	0.0189563	0.016158	0.0191253	0.0191501	0.0166941	0.00997093	0.012658	0.0106077	0.00455274	0.00447325	0.00439259	0.0046831	0.00996012	0.0230507
fait	0.00340614	0.00387458	0.002725	0.00305974	0.0038612	0.00337833	0.00395384	0.00375681	0.00361202	0.00450113	0.00549458	0.00527699	0.00450564	0.00488222	0.00413198	0.00447185	0.00481374	0.00604795	0.00845375	0.0117361	0.00939533	0.0106326	0.0161293	0.0139563	0.0141317	0.0188987	0.0204825	0.0163914	0.0108854	0.0188555	0.0243233	0.0315669	0.0294483	0.0264703	0.0277049	0.0291998	0.0358907	0.0403898	0.0447275	0.0436517	0.0480731	0.0467492	0.0460346	0.0544285	0.0423525	0.0432836	0.0300615	0.017243	0.0205784	0.0140221	0.0109107	0.0124115	0.0100478	0.0106734	0.0140548
cours	0.00421094	0.00367161	0.00298562	0.00291733	0.00317325	0.00295172	0.00312772	0.00280144	0.00292783	0.00372883	0.00446252	0.00481627	0.00480502	0.00652925	0.00534599	0.00606752	0.00667507	0.00982905	0.0127351	0.0177175	0.0158884	0.01655	0.0240381	0.0224218	0.0239023	0.0221555	0.0277791	0.0201033	0.0241247	0.0254338	0.0246351	0.0306216	0.0288625	0.0244883	0.028982	0.0302627	0.0333457	0.0323431	0.0377272	0.0382245	0.0393671	0.0428581	0.0465376	0.0436644	0.0398116	0.0341826	0.0180619	0.012045	0.0140295	0.0113574	0.0102645	0.0111416	0.0101984	0.0106164	0.0124944
aujoud'	0.00832225	0.007026	0.00668889	0.00951659	0.0117476	0.013122	0.0109964	0.00746281	0.00803031	0.0108222	0.0196719	0.0204742	0.0149689	0.0133756	0.0108476	0.00907714	0.00826093	0.0108374	0.00976173	0.014046	0.011037	0.0124016	0.0167474	0.0149392	0.0121629	0.0110829	0.0182149	0.0199362	0.0163051	0.0191936	0.0161039	0.0237365	0.0234176	0.0272626	0.0300603	0.0268874	0.0255351	0.033062	0.0261377	0.0209635	0.0256818	0.0282868	0.0366885	0.0346498	0.0320544	0.0335516	0.0247682	0.0196235	0.0215806	0.0111509	0.0129503	0.0141935	0.01836	0.0189788	0.0372373
hui	0.0136268	0.0111468	0.010836	0.0118564	0.00855654	0.0036649	0.00378375	0.0030832	0.00400961	0.00709881	0.00688653	0.00562397	0.00607844	0.00709163	0.00674667	0.00813492	0.00850847	0.0149796	0.0214549	0.032189	0.02402	0.0274893	0.0303667	0.0347952	0.0229932	0.0240218	0.0244956	0.0202902	0.0226689	0.0302279	0.0262803	0.0303956	0.0223373	0.0191267	0.0240255	0.025321	0.0282526	0.0277654	0.0343199	0.0281294	0.0340271	0.0310525	0.0244662	0.0130085	0.0111895	0.009926	0.00735418	0.00825365	0.00855455	0.00796294	0.01286	0.0159098	0.0132993	0.027161	0.0522954
parce	0.00890937	0.00765397	0.0149682	0.0160206	0.0096642	0.00870441	0.00797721	0.00463471	0.00376511	0.00438377	0.00478134	0.00498141	0.00484036	0.00410469	0.00402928	0.0045094	0.00446795	0.00598898	0.0111311	0.0127733	0.0146437	0.0161101	0.0204858	0.0170867	0.0149741	0.0172106	0.0245748	0.021151	0.0262806	0.029442	0.026978	0.02283	0.0240957	0.0380867	0.0398568	0.0354353	0.0312338	0.036302	0.0357038	0.0248599	0.030865	0.029309	0.037574	0.038291	0.0279632	0.0238014	0.0138429	0.0106955	0.00860768	0.00558811	0.00806886	0.0096647	0.0156463	0.0200865	0.0543651
que	0.0222836	0.0178227	0.0217475	0.0241986	0.0140374	0.00980499	0.00784217	0.00400613	0.00502053	0.00616745	0.00367453	0.00238932	0.00255446	0.00210357	0.00293545	0.00394773	0.00438418	0.00548392	0.00959503	0.0102836	0.0150231	0.0170058	0.0187014	0.0177743	0.00862984	0.0118014	0.016447	0.0167242	0.0153206	0.0154326	0.0154511	0.0154708	0.0183542	0.0329278	0.0261559	0.0237643	0.0227388	0.0301432	0.0315034	0.0181215	0.0309823	0.0292739	0.0316801	0.0390769	0.0322391	0.0393092	0.022375	0.0278472	0.0189788	0.0179296	0.0184896	0.0179984	0.0229655	0.0338338	0.0492465
les	0.0198455	0.0153497	0.0142622	0.0137442	0.0121898	0.00993601	0.00892078	0.00492751	0.00467642	0.00549985	0.00391466	0.00277393	0.00321879	0.00310226	0.00554801	0.00741191	0.00791554	0.00818099	0.0131579	0.0127766	0.0151698	0.0161551	0.0190579	0.0165997	0.0125884	0.0177749	0.0185542	0.019716	0.0146304	0.018715	0.0225562	0.01891	0.0205178	0.0329207	0.0296427	0.0250172	0.027298	0.0378869	0.0355242	0.0258546	0.0307637	0.0289265	0.0323551	0.0383768	0.0334579	0.0374063	0.0220302	0.0238313	0.0175803	0.00835497	0.00927506	0.00913722	0.0135463	0.0212575	0.0512587
murs	0.0349654	0.0343377	0.0360463	0.0280397	0.0141274	0.00547678	0.00476219	0.00437612	0.0048909	0.00618239	0.00537386	0.00425291	0.0066127	0.0106426	0.0121352	0.0179654	0.0207432	0.0178884	0.0265065	0.0197437	0.0160977	0.0176995	0.018409	0.0187222	0.0190456	0.0207939	0.0179754	0.0109482	0.0107335	0.0139848	0.0113184	0.0140096	0.00870548	0.00802847	0.0099805	0.010472	0.0119034	0.0159663	0.0180219	0.0178805	0.0164359	0.0153993	0.0135869	0.0123137	0.0114714	0.0146373	0.0127078	0.0202545	0.0136439	0.022947	0.0284206	0.03123	0.0437639	0.0523874	0.0850348
de	0.00949371	0.00735308	0.00821878	0.00890553	0.00756985	0.00663988	0.00774108	0.0058311	0.00519957	0.0052396	0.00328036	0.00265604	0.00254646	0.00307362	0.00369158	0.00539391	0.00608195	0.00745014	0.0133553	0.0174611	0.0205579	0.0241305	0.0288189	0.0252363	0.0157726	0.0218674	0.0254675	0.0244767	0.0206712	0.0220045	0.0255429	0.0274267	0.0278198	0.033148	0.0297297	0.0288811	0.0311231	0.0349185	0.0362089	0.0282	0.0353745	0.0337901	0.0358128	0.0333749	0.0290068	0.0308597	0.0185016	0.0200408	0.0154684	0.00812462	0.00923215	0.00932264	0.0130197	0.0164681	0.0224183
