 	n	g	á	í	t	ω	i	o	w	ó	n	g	a	m	í	b	á	á	ó	k	ó	ó	y	e	k	y	e	m	b	é	</S>
j'	0.146822	0.312862	0.230042	0.113693	0.0447821	0.00660471	0.00185054	0.00215135	0.0052993	0.0058157	0.00862478	0.0196456	0.00972823	0.0110593	0.0111093	0.00943139	0.00736844	0.00591747	0.00484404	0.00442649	0.0038673	0.00370521	0.00397215	0.00343551	0.00326729	0.00309721	0.00281409	0.00302403	0.00301628	0.00354715	0.00417619
ai	0.0614821	0.0314341	0.0303954	0.0594618	0.0527958	0.0264186	0.0429765	0.1154	0.0724081	0.0584897	0.0435949	0.0450274	0.0582572	0.03996	0.0521902	0.0345675	0.0230353	0.0192921	0.0163466	0.0244945	0.0110698	0.0123749	0.00752316	0.00860884	0.00604827	0.00394315	0.00483318	0.00542593	0.00493666	0.00684243	0.0203662
ramassé	0.0240549	0.0252133	0.0159416	0.0246189	0.0246536	0.0359906	0.0809267	0.0606997	0.0610051	0.0334455	0.0300388	0.0237761	0.0194354	0.0189976	0.0250917	0.0266489	0.0358303	0.0331083	0.0303924	0.0172547	0.0284157	0.0235413	0.0245128	0.065209	0.0380444	0.0399066	0.0321799	0.0326928	0.034508	0.0185171	0.0153484
un	0.0711263	0.0581526	0.028211	0.0745894	0.0667115	0.0603814	0.0365308	0.0527964	0.0141226	0.022946	0.0148015	0.0120019	0.0221001	0.0178826	0.0355394	0.0371995	0.0390679	0.0420318	0.0171277	0.0156173	0.024048	0.0177142	0.0225383	0.0333635	0.0237854	0.026086	0.023957	0.02435	0.0203262	0.0206736	0.02422
vieux	0.0323835	0.0236458	0.010739	0.0182797	0.0462716	0.0909272	0.138258	0.131232	0.0481869	0.0307388	0.0382096	0.029872	0.018294	0.0135664	0.0172526	0.0100378	0.0136857	0.0175881	0.0187191	0.013299	0.0125459	0.0130794	0.0156876	0.0166438	0.0256818	0.0216274	0.0206014	0.0182891	0.0214219	0.0319761	0.0412594
couteau	0.0112315	0.00817856	0.00714544	0.00988316	0.010595	0.0134414	0.0263174	0.0335454	0.0402064	0.0245339	0.0396585	0.0262121	0.013509	0.0147741	0.0111279	0.011267	0.0122355	0.0213988	0.0417616	0.0371805	0.0329669	0.031774	0.0375143	0.0331563	0.052376	0.0563402	0.0515989	0.0507301	0.0657612	0.081506	0.0920729
sur	0.0146964	0.0102631	0.00603506	0.00620253	0.00818798	0.0142379	0.0141756	0.0179461	0.0184464	0.0233167	0.0227376	0.0117236	0.015312	0.0137945	0.0142633	0.0140346	0.0168489	0.0206957	0.0225819	0.0286862	0.0436919	0.0308171	0.0307127	0.0419804	0.0561115	0.0690597	0.0705109	0.0737345	0.0739452	0.0828023	0.112448
la	0.0439366	0.0304145	0.0226238	0.0201163	0.0224912	0.0249541	0.0265323	0.0282962	0.0262058	0.0293193	0.0259807	0.0240096	0.0319034	0.0241229	0.0207632	0.0268246	0.0358405	0.0380523	0.0315345	0.0277445	0.0359805	0.0165446	0.0175179	0.0140198	0.0223886	0.0313826	0.0296373	0.0489236	0.0541766	0.0648499	0.102912
route	0.0277415	0.0278029	0.0273688	0.027522	0.0257459	0.0228424	0.012112	0.0216073	0.0153085	0.0124261	0.0193095	0.0132225	0.016948	0.0181583	0.0204546	0.0202621	0.0242706	0.0336777	0.0439477	0.0422417	0.0313087	0.0260108	0.0211376	0.0142589	0.025796	0.0367004	0.0336241	0.0609891	0.0740888	0.0929591	0.110156
d'	0.0629092	0.0409936	0.0217253	0.0361558	0.0507058	0.0805796	0.0373177	0.0534292	0.0203826	0.0191566	0.0175199	0.0116152	0.0157433	0.0168956	0.0123746	0.0159595	0.0234415	0.0298205	0.0216928	0.0134094	0.0150914	0.0125477	0.0120703	0.0131798	0.0157169	0.0176342	0.0225374	0.0390738	0.0485741	0.0611418	0.140605
ekyembe	0.0503868	0.0413342	0.0366382	0.0362765	0.0347228	0.0318294	0.0110183	0.0249781	0.0130834	0.0140446	0.0192734	0.0117761	0.0224969	0.023839	0.0253926	0.0266923	0.0323423	0.032694	0.0256463	0.024617	0.0207507	0.0155121	0.0146434	0.0206093	0.0198788	0.0401225	0.0316565	0.0527921	0.0569365	0.0675483	0.120467
</S>	0.0674525	0.041953	0.0268638	0.0300706	0.0274704	0.0493702	0.0357848	0.035616	0.0170209	0.0235242	0.0191334	0.00896087	0.0200286	0.0239017	0.0160062	0.0189741	0.0349009	0.0300419	0.0203954	0.0173157	0.0228453	0.0204465	0.0204062	0.0198571	0.0328083	0.0376627	0.0380117	0.0507339	0.0560536	0.0553122	0.0810773
