 	a	b	i	a	b	á	l	e	k	ώ	ώ	l	i	á	b	o	n	d	i	s	i	w	a	t	s	í	n	a	w	a	a	p	é	n	d	í	l	e	t	á	á	m	a	</S>
ses	0.143425	0.13169	0.07575	0.0456121	0.0301088	0.0184395	0.0173623	0.0216127	0.0189392	0.0276184	0.0253744	0.0223475	0.0249715	0.031732	0.0336394	0.0328989	0.0212238	0.00599541	0.00598115	0.0156229	0.00684662	0.00739176	0.00948062	0.0133564	0.00822907	0.00610557	0.00682227	0.00856387	0.00576146	0.00499499	0.00333911	0.003488	0.00461454	0.00466348	0.00452824	0.00569834	0.0186276	0.0209082	0.0194685	0.0165731	0.022672	0.017773	0.017374	0.0123748
collègues	0.0531761	0.0304449	0.0674493	0.0643216	0.0620947	0.0995392	0.067516	0.0549444	0.0289048	0.0231375	0.0250507	0.0225611	0.0219788	0.0214092	0.0162924	0.0138863	0.00975373	0.0101204	0.0133193	0.00730404	0.0122535	0.010985	0.00392307	0.0101697	0.00457954	0.0093055	0.0099215	0.0060097	0.0141152	0.0117559	0.0103548	0.00889966	0.00855635	0.00899996	0.0135698	0.0148297	0.0324244	0.0207423	0.0219648	0.0162553	0.00696595	0.0151151	0.00835772	0.00674101
de	0.0326231	0.0329037	0.0287907	0.0236014	0.0248988	0.0376587	0.0237021	0.0375468	0.0162502	0.0221781	0.0165705	0.0139648	0.0151963	0.0201455	0.0265211	0.0277623	0.0206752	0.0103252	0.0126471	0.011661	0.0134934	0.0175056	0.0142683	0.0121523	0.0106887	0.014151	0.0192959	0.0171874	0.0180056	0.017886	0.0273453	0.0274001	0.0374059	0.0388812	0.0245862	0.0301332	0.0622498	0.047614	0.0195389	0.0176151	0.0179096	0.0151994	0.0187055	0.00515887
classe	0.0333992	0.0277427	0.0293774	0.0176734	0.0134423	0.0166437	0.0193811	0.029147	0.037391	0.0495736	0.0476825	0.0322823	0.0178886	0.0183666	0.0151677	0.0111233	0.0136857	0.0216202	0.0202408	0.0319398	0.0198722	0.0143818	0.0151542	0.0103581	0.0148883	0.0123153	0.0150376	0.0145001	0.0143944	0.0149271	0.0132193	0.0116925	0.0165551	0.0297094	0.0325328	0.0272155	0.0161993	0.0235995	0.0207038	0.0238973	0.0280876	0.0310021	0.0289847	0.0470029
l'	0.0155669	0.0142725	0.0160588	0.0172626	0.0174807	0.0302523	0.0330337	0.0381136	0.0367868	0.0394882	0.037865	0.0342018	0.0281178	0.0232804	0.0257544	0.0187308	0.0279922	0.0478877	0.054105	0.053539	0.0409453	0.0220583	0.0301371	0.0176909	0.0297738	0.0277975	0.0252596	0.00925177	0.00994431	0.0107559	0.00605853	0.00603882	0.00669842	0.00688833	0.00827717	0.00549284	0.00505275	0.00720616	0.00640832	0.0097134	0.0107281	0.0117058	0.0129184	0.0634082
ont	0.0238767	0.0155372	0.0153052	0.0164836	0.0224758	0.0285671	0.0268989	0.0361694	0.025873	0.0357922	0.0246764	0.0342008	0.0214305	0.021512	0.0343433	0.0203906	0.0237341	0.0397913	0.0442435	0.0404406	0.0308022	0.0163407	0.0292886	0.00919648	0.0284289	0.0141585	0.0183453	0.0102386	0.0108333	0.0124738	0.00636157	0.00826851	0.0122089	0.015525	0.0183949	0.0172692	0.0145061	0.0184711	0.0157598	0.0204264	0.0202803	0.0228098	0.0244502	0.05342
raisonné	0.00996273	0.00753899	0.00742069	0.00759058	0.0088189	0.0135681	0.0136714	0.016386	0.0164217	0.0187746	0.0182341	0.0272822	0.0195425	0.0220583	0.027233	0.0313686	0.0414575	0.0497946	0.0579646	0.042366	0.0474258	0.0535589	0.0452699	0.0189624	0.0293999	0.0202034	0.0273771	0.0184231	0.0156379	0.0109057	0.00917943	0.00913148	0.0209219	0.0149481	0.0184357	0.0143891	0.00880669	0.0155261	0.0126088	0.0183744	0.0198022	0.0262601	0.0272153	0.0397814
parce	0.0292642	0.0218743	0.0237534	0.0231916	0.0226005	0.0324736	0.0263759	0.0275359	0.0280571	0.0312241	0.0285302	0.0289798	0.0240253	0.0250304	0.0268862	0.0191812	0.0136776	0.0163459	0.0202339	0.0141781	0.0123507	0.0155709	0.0194897	0.0129073	0.0175658	0.0186889	0.0255021	0.0155647	0.0347261	0.0157389	0.0132052	0.0102203	0.0165252	0.0180446	0.021014	0.0195073	0.0149187	0.0190779	0.0225367	0.0243663	0.0233102	0.035677	0.036318	0.0537539
qu'	0.0143935	0.0137232	0.0167854	0.0182333	0.0203316	0.021726	0.0225123	0.021599	0.0150776	0.0139728	0.0115225	0.00707319	0.00881309	0.00910167	0.00951892	0.00774557	0.00939645	0.00909531	0.0129861	0.0142838	0.0125963	0.013023	0.0202014	0.0153859	0.0221928	0.0182679	0.0175325	0.0119819	0.0207892	0.0131166	0.0180347	0.0218997	0.0368109	0.0285791	0.0305053	0.0253506	0.0228068	0.0379647	0.0389431	0.0498803	0.0507742	0.0547645	0.0551483	0.0855589
il	0.0412584	0.0382171	0.0412309	0.0400598	0.0402087	0.0209442	0.0175347	0.0142045	0.0104695	0.00975666	0.00940693	0.00601247	0.00734083	0.00809842	0.00822305	0.00695695	0.00871107	0.01139	0.0147085	0.00781859	0.0103634	0.00985677	0.00953506	0.0123361	0.012605	0.0153448	0.014747	0.00719322	0.00885405	0.011092	0.0218473	0.0290255	0.0149702	0.0137908	0.0228709	0.0213233	0.0227141	0.0253341	0.0293472	0.0350587	0.0388607	0.0522147	0.0502032	0.147961
