 	w	a	á	m	i	t	ú	b	h	á	b	ώ	s	i	l	a	m	w	á	s	í	y	a	o	k	o	n	d	z	i	</S>
il	0.0797657	0.193253	0.501845	0.157599	0.0270063	0.00449811	0.0014841	0.00188751	0.0013443	0.00209807	0.00155224	0.00195705	0.00167755	0.00174949	0.00166507	0.00145477	0.00161992	0.00138933	0.00107212	0.00169734	0.00108322	0.00120416	0.00159719	0.00131149	0.00121524	0.000595818	0.00046959	0.000895959	0.00169775	0.00201072	0.00130265
a	0.0102304	0.00709512	0.00501347	0.00456137	0.00731682	0.0171593	0.0359332	0.061293	0.068908	0.0850104	0.0630225	0.0640447	0.0345381	0.0749755	0.0671143	0.0622192	0.0540123	0.0194538	0.0314907	0.0603504	0.0314791	0.0160077	0.0134433	0.0185978	0.013914	0.00866006	0.0104857	0.00567907	0.00847112	0.0118213	0.0276981
commis	0.0100298	0.0143803	0.0118529	0.0116101	0.028627	0.0116086	0.0243585	0.0270029	0.0511343	0.0209072	0.0177416	0.0320131	0.0248532	0.0328918	0.0423254	0.0475706	0.0470081	0.0575813	0.0871698	0.0811338	0.0459546	0.0474353	0.0413855	0.0307302	0.0281031	0.0171226	0.0193948	0.0182084	0.0180849	0.0240923	0.0276883
l'	0.013936	0.0284852	0.0203293	0.0269064	0.0534498	0.0198796	0.0445095	0.0401146	0.0443304	0.0382095	0.0270734	0.0271739	0.0220322	0.0225326	0.0301343	0.0236946	0.0193746	0.0293338	0.0224311	0.0286747	0.0392512	0.059721	0.0428072	0.0374959	0.0510523	0.0440922	0.0400673	0.0332997	0.0159151	0.0164869	0.0372058
adultère	0.00680767	0.0107267	0.00996717	0.00788679	0.0144113	0.0110435	0.022236	0.020884	0.0624658	0.0303467	0.0295879	0.0288851	0.0233068	0.0356921	0.0545121	0.0543666	0.0483748	0.0440761	0.0761875	0.0588179	0.0514557	0.0402855	0.0411177	0.0267089	0.0257998	0.0269219	0.0302023	0.0343481	0.0240908	0.0186979	0.0297888
avec	0.00771899	0.00790054	0.0040411	0.002903	0.00395187	0.00518286	0.00715231	0.00777495	0.0125541	0.0091604	0.00950023	0.00604049	0.0103991	0.00974737	0.0108893	0.0229067	0.0202593	0.0442461	0.0392803	0.047805	0.0814698	0.093475	0.11808	0.0958506	0.0393127	0.0679824	0.0473622	0.0490672	0.0406771	0.0353905	0.0419185
la	0.00456139	0.00423559	0.00394572	0.00657481	0.0105321	0.0110994	0.0121083	0.0141277	0.0175632	0.0126497	0.0125434	0.00941333	0.00916808	0.00980023	0.0116719	0.0161687	0.0177596	0.0426256	0.0593898	0.0508169	0.0746076	0.0955328	0.118672	0.0627438	0.0459973	0.0445315	0.0468399	0.0467536	0.0378813	0.0430592	0.0466255
femme	0.0288362	0.0319428	0.0229783	0.0233477	0.0367101	0.0314385	0.0340232	0.0301018	0.0248161	0.0195026	0.0168436	0.012016	0.0195771	0.0176773	0.0244792	0.0428506	0.0330274	0.0810394	0.035556	0.0459946	0.0591174	0.0203949	0.0251253	0.0257479	0.00564598	0.0204795	0.0153191	0.0401287	0.0454377	0.0269021	0.102943
du	0.0196651	0.0198799	0.020761	0.0211047	0.0214168	0.0213864	0.0214513	0.0211396	0.0199385	0.0200011	0.0113913	0.0101993	0.00968099	0.0110991	0.0145633	0.0194792	0.0200857	0.0345884	0.0188633	0.0181799	0.0397461	0.0348793	0.0312378	0.0391925	0.0324879	0.0549607	0.0707824	0.0776696	0.0756692	0.0827978	0.0857017
chef	0.02676	0.0270541	0.0336356	0.0267373	0.0258384	0.0247863	0.0251938	0.0161549	0.0122354	0.0117615	0.0112768	0.0132816	0.0143612	0.0178569	0.0244366	0.0236525	0.023068	0.0374609	0.0205682	0.0280469	0.0372242	0.0329581	0.0374813	0.037774	0.0182779	0.037273	0.0361599	0.0848439	0.0851588	0.0701582	0.0785238
</S>	0.0105975	0.0106426	0.0137411	0.019369	0.0215302	0.0203959	0.0188549	0.00994426	0.0253029	0.0111692	0.0162061	0.016782	0.0140684	0.0140619	0.0190392	0.0203299	0.0196752	0.0491069	0.0388361	0.0356464	0.0483597	0.0369552	0.0500233	0.0475494	0.036303	0.0411537	0.0578821	0.0736145	0.0617229	0.0666674	0.074469
