 	a	s	á	l	i	m	b	ώ	n	g	ω	é	m	i	l	é	a	</S>
on	0.126561	0.230005	0.239799	0.135289	0.0556719	0.0255559	0.0249734	0.0268255	0.0254168	0.0225781	0.0209944	0.0153733	0.00887083	0.0109554	0.0095174	0.00906329	0.00619366	0.00635472
a	0.0444256	0.0340055	0.0396878	0.0928426	0.123982	0.185705	0.144556	0.0883269	0.0562643	0.0414025	0.0486762	0.00989043	0.0199912	0.0257733	0.0143439	0.00622544	0.00937989	0.0145221
augmenté	0.0223373	0.0105715	0.00986962	0.0115552	0.0114798	0.019846	0.0238363	0.0618495	0.0627632	0.0544306	0.102163	0.107508	0.110605	0.109296	0.11159	0.0831804	0.0632944	0.023825
la	0.0534406	0.0340366	0.0325552	0.0426385	0.0508803	0.0790817	0.0704693	0.0500506	0.0608656	0.0465261	0.066178	0.0446513	0.0634971	0.0561216	0.0457421	0.0396295	0.0537239	0.109912
paie	0.0223359	0.0171464	0.0156314	0.0171123	0.0279365	0.0594897	0.081178	0.0987906	0.091057	0.102567	0.076627	0.061175	0.0410158	0.0321671	0.0331854	0.049627	0.0657152	0.107243
des	0.0239219	0.0189979	0.0171193	0.0192516	0.0297345	0.0339028	0.0276968	0.0355066	0.0431833	0.0441783	0.0702442	0.0798889	0.0745701	0.0679297	0.0806914	0.105896	0.100322	0.126965
trvailleurs	0.0352261	0.0269761	0.024677	0.0249889	0.0293392	0.0392795	0.0414981	0.0440257	0.0269107	0.0280588	0.052546	0.0451579	0.0944859	0.092565	0.0702059	0.0857527	0.0853233	0.152983
</S>	0.0439368	0.0513838	0.0504526	0.0587086	0.0669795	0.0693269	0.0692024	0.0689662	0.0498529	0.0541644	0.0471418	0.0290498	0.0227418	0.0211996	0.0286691	0.0564176	0.0792547	0.132552
