 	a	b	e	n	g	i	á	p	f	ú	u	o	p	é	e	t	s	í	n	a	o	p	ω	ώ	s	á	b	á	a	á	d	z	e	l	i	k	á	n	g	i	</S>
les	0.178351	0.0941068	0.0620858	0.0476414	0.0374434	0.0403061	0.0459363	0.0382602	0.0426378	0.0142225	0.0159376	0.0170309	0.0183008	0.0240794	0.0162391	0.00899552	0.00630162	0.00438174	0.00353774	0.0058482	0.00639629	0.00712704	0.0085729	0.00513037	0.00752485	0.00585888	0.00818446	0.0116937	0.0193924	0.0148868	0.018053	0.0173655	0.0114126	0.0112531	0.0156823	0.0135341	0.0225372	0.0208314	0.0236911	0.01471	0.0145178
chasseurs	0.0233031	0.028447	0.0567887	0.123019	0.138369	0.100645	0.0413283	0.0501813	0.0735595	0.057523	0.0720144	0.033291	0.0206122	0.014802	0.00805853	0.00361979	0.00235417	0.00281791	0.00157873	0.00094752	0.00132907	0.00189604	0.00405598	0.00146872	0.00525085	0.00487492	0.00935915	0.0139574	0.0105574	0.0100364	0.0106504	0.0123036	0.0110923	0.0112584	0.00845366	0.00607007	0.00688746	0.0054477	0.00575915	0.00296943	0.00306143
sont	0.0233519	0.0174661	0.0214757	0.049718	0.0383737	0.0699611	0.0719857	0.0584949	0.0657804	0.0580461	0.0594212	0.0345464	0.0419558	0.0235587	0.0129216	0.0146901	0.0135282	0.0137742	0.020176	0.0176822	0.013872	0.0135468	0.013446	0.013545	0.0136271	0.0196565	0.0233939	0.0197314	0.0118864	0.0100432	0.0128351	0.0143808	0.0165491	0.0100903	0.0232925	0.00881846	0.00952038	0.00617143	0.00371529	0.0077831	0.00718714
revenus	0.0103052	0.0121943	0.0153558	0.0196844	0.029142	0.0234502	0.0254906	0.0415719	0.052642	0.0449647	0.0517614	0.0459067	0.0456214	0.0328974	0.0167887	0.0136619	0.0142982	0.0163098	0.0230887	0.0254562	0.0306818	0.0250322	0.0408912	0.0227003	0.0250569	0.0380931	0.0344301	0.0267093	0.022314	0.0111613	0.0216733	0.0221634	0.0137853	0.0125125	0.0156376	0.0124461	0.0167091	0.00873052	0.00841575	0.0115266	0.0187383
bredouilles	0.0209032	0.0146267	0.0137755	0.0136584	0.0135936	0.0137533	0.0136073	0.0129184	0.0138513	0.0136668	0.0119787	0.00990282	0.0100684	0.0107443	0.0132936	0.0163809	0.0250668	0.0402355	0.044845	0.038009	0.0511856	0.0602545	0.050745	0.0692028	0.0448208	0.0517294	0.0291918	0.0253249	0.0220577	0.0285515	0.0202946	0.0152633	0.0176263	0.0156569	0.0119651	0.0144247	0.0139061	0.0150062	0.0196123	0.0186393	0.0396617
parce	0.0260182	0.0232698	0.0243401	0.0249629	0.0248224	0.0256543	0.0261991	0.0286947	0.0328861	0.0299469	0.0341482	0.0309917	0.0263077	0.019647	0.0195913	0.0198562	0.0208329	0.0248221	0.02789	0.0227623	0.0278882	0.0297322	0.0248223	0.032948	0.0197861	0.0272106	0.0160427	0.0143471	0.013028	0.0168482	0.0154389	0.0169778	0.0180373	0.0190665	0.0191243	0.0207448	0.0236932	0.0235378	0.0263445	0.0253353	0.0554023
que	0.0170455	0.0148359	0.0152962	0.0184375	0.0217991	0.0268273	0.0287804	0.0316449	0.040049	0.0349956	0.0426322	0.042129	0.0360746	0.0220462	0.0213852	0.0218375	0.022876	0.0245702	0.0310569	0.0225403	0.0243295	0.0246111	0.022642	0.032627	0.0212885	0.0292885	0.0167016	0.0136197	0.0095176	0.011184	0.00968506	0.0124588	0.0133002	0.0134185	0.0161882	0.0169792	0.0222658	0.0236048	0.0293863	0.0258235	0.0742207
l'	0.0126345	0.0113937	0.0118644	0.014691	0.0161359	0.0169545	0.0175407	0.0185694	0.0226177	0.0273669	0.0289867	0.023417	0.0259524	0.0249372	0.0294836	0.0324475	0.0378414	0.0445232	0.0450647	0.0354474	0.0390614	0.0434878	0.0341101	0.0458333	0.027915	0.0300013	0.0131361	0.0117431	0.0108371	0.0101957	0.0109042	0.0147508	0.0124587	0.0186718	0.0123175	0.0192038	0.0223275	0.0172797	0.0245128	0.024425	0.0589577
un	0.0501531	0.0549489	0.0528211	0.0515508	0.0573074	0.0182017	0.00841806	0.00839782	0.0157655	0.0174271	0.0224552	0.0318998	0.0238051	0.0296346	0.0262678	0.0188516	0.0154844	0.0154629	0.0181651	0.0174465	0.0170146	0.0139647	0.017107	0.0160075	0.0164286	0.0191309	0.0115944	0.0237231	0.0245442	0.0273194	0.0193351	0.0178058	0.0129147	0.0197382	0.0106367	0.0165146	0.0254724	0.0172846	0.0235797	0.0209716	0.0744478
d'	0.0171162	0.0113953	0.00623521	0.00560462	0.00646666	0.00540033	0.00355445	0.00464682	0.00589484	0.00618286	0.00653837	0.00882573	0.0127832	0.0283437	0.0331631	0.0301584	0.0414164	0.0551101	0.0535452	0.0342245	0.0578377	0.03234	0.0475486	0.0305479	0.0254325	0.0512077	0.0204055	0.028355	0.0271725	0.0391165	0.0265544	0.0179093	0.0144449	0.0236136	0.00607324	0.0102173	0.0188776	0.0146206	0.028298	0.0183108	0.0845105
eux	0.0294452	0.0194157	0.011644	0.00789231	0.0106569	0.00594455	0.00448502	0.00474656	0.00436691	0.00411431	0.00406989	0.00366087	0.00496488	0.0141915	0.0206747	0.0327673	0.038188	0.0353592	0.0508108	0.0406418	0.0574984	0.0282327	0.0312211	0.0311605	0.0241909	0.0334229	0.0200416	0.0221086	0.0282066	0.0460525	0.031651	0.0227984	0.0209465	0.0306374	0.0134889	0.0189451	0.0252385	0.0181328	0.028682	0.0390184	0.0802848
portait	0.0548408	0.0263403	0.00945224	0.00896487	0.00876934	0.00603101	0.00511337	0.00618187	0.00583997	0.00554517	0.00579802	0.00688922	0.0078791	0.019578	0.027937	0.042884	0.0380794	0.0277098	0.0419262	0.0357457	0.0418659	0.0242928	0.0252844	0.0218599	0.0221877	0.0223838	0.0233947	0.0200208	0.0258246	0.0351093	0.0324322	0.0269081	0.0183078	0.0302213	0.0170525	0.0209569	0.028321	0.0214304	0.0276624	0.0431661	0.0798121
la	0.0178358	0.0148564	0.0107151	0.00984464	0.00953481	0.00827978	0.00742979	0.00676072	0.00768069	0.00878109	0.00785385	0.0134069	0.0190658	0.0369008	0.0391442	0.0367151	0.0385801	0.0358304	0.0522576	0.0323305	0.0540284	0.0295843	0.0364585	0.029533	0.0190849	0.0349653	0.0186639	0.0202727	0.0195447	0.0250381	0.0166676	0.0107813	0.00846306	0.0171985	0.00841686	0.0162083	0.0308695	0.0241123	0.0404873	0.045693	0.0801245
malchance	0.0233309	0.0216702	0.0188837	0.0165219	0.0190789	0.0126479	0.00826928	0.00604567	0.00649173	0.0059419	0.00590373	0.0080597	0.0100226	0.0209392	0.0285238	0.0285498	0.0317298	0.0275431	0.0389935	0.0279615	0.048089	0.027443	0.041609	0.0289932	0.0190913	0.0273658	0.014883	0.0163861	0.0141363	0.015199	0.0117059	0.00745308	0.0056697	0.0144735	0.00709333	0.0149555	0.0309726	0.0267202	0.0518219	0.0637051	0.145124
à	0.0197907	0.0196208	0.012365	0.0128914	0.0133292	0.0131953	0.0126665	0.0124813	0.00809762	0.0083328	0.00597973	0.0035786	0.00353734	0.0038083	0.00488606	0.0110886	0.0172715	0.0186866	0.0220846	0.0343035	0.0376967	0.0402906	0.0399358	0.0431406	0.0380845	0.040581	0.0269908	0.0300172	0.0301148	0.0301772	0.0332921	0.036742	0.0371336	0.0389338	0.0291477	0.0289965	0.0314737	0.0247508	0.0305297	0.0391246	0.0548509
cause	0.0593695	0.0373066	0.0435374	0.0422974	0.0472344	0.042389	0.0319579	0.0199436	0.0165919	0.0163025	0.0120915	0.00854233	0.00758049	0.00735597	0.00831401	0.014926	0.0179176	0.0121742	0.0155732	0.0235993	0.0253476	0.0219642	0.0353235	0.0234795	0.018725	0.0279571	0.0121828	0.0156156	0.0113702	0.0121877	0.0158684	0.011291	0.0114386	0.0157647	0.0126953	0.016834	0.0239275	0.0237519	0.038643	0.0457428	0.0948852
de	0.0291446	0.0345089	0.0294834	0.0203347	0.0198754	0.020292	0.0191036	0.0236321	0.0144922	0.0172985	0.00964701	0.00669948	0.00724511	0.00828917	0.00970147	0.0112145	0.0135374	0.0110441	0.0141441	0.0249837	0.0262973	0.02363	0.0279617	0.0246254	0.0200261	0.0214913	0.0145693	0.0167244	0.0162947	0.0180224	0.0194848	0.017094	0.0161422	0.0240412	0.0233116	0.0315418	0.0407208	0.0419585	0.056709	0.061783	0.112899
sa	0.0554072	0.0425712	0.0332268	0.0269047	0.0342613	0.029611	0.023287	0.0180843	0.0135263	0.0139934	0.00953342	0.00674509	0.0068666	0.011095	0.0146401	0.0275064	0.0265243	0.013454	0.0209133	0.0315788	0.0328433	0.017223	0.0266032	0.0168307	0.011961	0.0236357	0.0112832	0.0113778	0.00876526	0.0113137	0.0138795	0.00915842	0.00745057	0.0133994	0.010704	0.0159392	0.0250343	0.0231607	0.0435349	0.0655317	0.14064
soeur	0.038165	0.0182316	0.0125699	0.0107469	0.0166113	0.00861899	0.00593589	0.00503779	0.00516565	0.00487677	0.00499746	0.00469875	0.00556442	0.00821838	0.0103537	0.0200321	0.0264074	0.0262999	0.0320344	0.0219706	0.0429591	0.029659	0.032075	0.0299613	0.0223761	0.0250335	0.011302	0.0109885	0.0120516	0.0137604	0.0145746	0.0151664	0.0129746	0.0279689	0.0176838	0.0271649	0.040821	0.0405516	0.0693903	0.0759835	0.141017
qui	0.0309673	0.0304829	0.018428	0.0126001	0.018615	0.0154164	0.00925293	0.0126124	0.00645843	0.00556346	0.00399297	0.00582444	0.00534853	0.00621301	0.00782188	0.0127785	0.016077	0.0124186	0.0161595	0.0185035	0.0290567	0.0207532	0.0252353	0.0227696	0.0146853	0.0194764	0.00770038	0.0115218	0.0135217	0.0200038	0.0223184	0.0234276	0.0282351	0.0485876	0.0348065	0.0343546	0.0466099	0.0307715	0.0592654	0.0680712	0.153293
