 	á	d	z	a	b	á	a	l	o	l	ó	m	i	á	s	á	a	b	á	n	a	k	a	á	m	w	á	s	í	á	d	z	a	l	á	a	b	v	u	á	s	á	n	d	é	e	b	v	ε	l	e	b	v	é	l	e	</S>
quand	0.0725633	0.024568	0.0218204	0.0464176	0.0359104	0.0594609	0.0539997	0.0399486	0.0482035	0.0373108	0.0364686	0.0378075	0.0362356	0.0302872	0.0367076	0.0335982	0.0260351	0.0209023	0.0156789	0.0111324	0.00791995	0.00763364	0.00766914	0.00704491	0.00553785	0.0048912	0.00518378	0.00570456	0.0044668	0.00543278	0.00495116	0.00402396	0.00439288	0.00299621	0.00643087	0.00471431	0.00804996	0.00720697	0.00875402	0.0107728	0.0100169	0.0108415	0.0119479	0.0118565	0.0135833	0.0135369	0.0114759	0.00816291	0.00895801	0.0063494	0.00667579	0.00614545	0.00658236	0.00644696	0.00682401	0.00630727	0.00545439
ils	0.0571071	0.0762418	0.0550216	0.0430703	0.0470948	0.0409838	0.0377154	0.0283124	0.0355089	0.0381515	0.0317008	0.043619	0.0459329	0.041492	0.044547	0.0388063	0.0301746	0.0300809	0.0309142	0.0198467	0.0109379	0.0115544	0.00931003	0.00808735	0.00630358	0.00525826	0.00870978	0.00474911	0.00576659	0.00827353	0.00832235	0.00570337	0.00483902	0.00495921	0.00477976	0.00693169	0.00589178	0.00435038	0.00392635	0.00385028	0.00435078	0.00333631	0.00344249	0.00340963	0.00281905	0.0030799	0.00259212	0.00241067	0.00201238	0.00191748	0.00275591	0.00193011	0.00198961	0.00219753	0.00323256	0.00334163	0.00635524
n'	0.0128369	0.017367	0.0243725	0.0171454	0.0111818	0.0143068	0.016412	0.0407462	0.0234482	0.0283617	0.0237648	0.0197123	0.0407685	0.0398793	0.0608798	0.0402703	0.0460432	0.0529905	0.0515827	0.0239037	0.0208461	0.00887648	0.00828583	0.00901597	0.0109868	0.0386877	0.00979871	0.0186633	0.0161863	0.0151715	0.0117148	0.00804367	0.00724489	0.00904285	0.00885108	0.00676315	0.00931351	0.0126067	0.0115279	0.00963341	0.00804859	0.0102138	0.00763487	0.00799975	0.00711389	0.00821633	0.0089363	0.0106398	0.0112891	0.0136072	0.0110388	0.00938055	0.00584117	0.00464081	0.0064223	0.00691558	0.004827
avaient	0.0373059	0.0470003	0.0365242	0.0369477	0.0269538	0.0251315	0.0254252	0.0176842	0.0241251	0.0198171	0.014607	0.00903129	0.0108949	0.00909696	0.0103369	0.0115104	0.0191221	0.0254065	0.0220125	0.0251714	0.0216035	0.0209451	0.016417	0.0174492	0.0288873	0.0112949	0.0157923	0.0118962	0.0104141	0.0110254	0.0109302	0.0156846	0.0139806	0.0132895	0.0150774	0.0170117	0.0143877	0.00916347	0.00916418	0.0088956	0.0110214	0.0103997	0.00976448	0.0158147	0.0136929	0.0128796	0.0151088	0.0136491	0.0225372	0.0182417	0.0157347	0.0138476	0.0107748	0.011342	0.00954857	0.0103822	0.0378458
pas	0.0163559	0.0270148	0.0209712	0.0208176	0.0268744	0.0276917	0.0260633	0.0321601	0.0329726	0.0207295	0.0177792	0.0295765	0.0377127	0.0325396	0.0393306	0.026401	0.0238594	0.0250636	0.024861	0.0297044	0.0274864	0.0743149	0.0311012	0.0166321	0.0186888	0.0386365	0.0199864	0.0164523	0.00652992	0.0132152	0.012096	0.0133987	0.00962913	0.0089278	0.00790223	0.00588034	0.00859368	0.0035511	0.0049313	0.00450329	0.0056071	0.00485171	0.00521684	0.00491422	0.00424847	0.00622693	0.00503245	0.00594563	0.00554341	0.00836392	0.00865436	0.00848211	0.00737374	0.00708332	0.00836197	0.00663454	0.0165232
encore	0.00452014	0.00525148	0.00471629	0.00425081	0.00446579	0.00520182	0.00637275	0.00725632	0.00622232	0.00491943	0.00545713	0.00641668	0.00745611	0.00856685	0.00778742	0.00681142	0.0100042	0.0071195	0.00653839	0.0100503	0.0141605	0.0379669	0.0129353	0.0133813	0.0243541	0.0220936	0.0221983	0.0220399	0.018775	0.0225646	0.0214753	0.0209304	0.0245476	0.0215723	0.0251273	0.0253178	0.0255924	0.0242271	0.0248808	0.0243979	0.0255929	0.0257012	0.0257766	0.0252731	0.0265877	0.0245854	0.0254024	0.0255946	0.0260259	0.0275479	0.0274929	0.0235807	0.0233719	0.021762	0.0216196	0.0214935	0.0246681
d'	0.00567941	0.00596259	0.00731239	0.00733375	0.0068776	0.00858409	0.00901867	0.0113361	0.0138703	0.0110299	0.00987087	0.0170188	0.0194193	0.0192361	0.0185485	0.0145589	0.0143018	0.0141166	0.0144856	0.0220493	0.020789	0.0204255	0.0191325	0.0184212	0.0334491	0.0227637	0.0224872	0.0385086	0.0292404	0.0255098	0.0349592	0.0198313	0.0195239	0.0159589	0.0196447	0.0200898	0.0182505	0.0143647	0.015066	0.0142128	0.0161197	0.0178578	0.0167557	0.0167933	0.019337	0.0137827	0.0143764	0.0151606	0.0180593	0.0186935	0.0189859	0.0178019	0.0181678	0.0188664	0.0187543	0.0191562	0.0280923
enfants	0.00909365	0.0103022	0.0121588	0.0122401	0.00915157	0.0123977	0.0106709	0.00978902	0.0102295	0.0096967	0.0107121	0.0146881	0.0125613	0.0127523	0.0118035	0.0118036	0.0126357	0.0132206	0.0121661	0.0196015	0.0194716	0.0177637	0.0171688	0.0158777	0.0220762	0.0186199	0.0215917	0.0258336	0.0231674	0.0247277	0.0250704	0.0161388	0.0202398	0.0165798	0.0235691	0.0237509	0.0208706	0.0139437	0.0166433	0.0200102	0.0230547	0.020752	0.020858	0.0196713	0.0217457	0.0162215	0.0182934	0.0178904	0.0154386	0.0166396	0.0189948	0.0175506	0.0205337	0.0203039	0.0234222	0.02699	0.0408499
la	0.0108953	0.0094007	0.0101556	0.00860297	0.00786559	0.00748471	0.00473315	0.00530186	0.0054212	0.00527676	0.00583368	0.00635152	0.0070446	0.00717652	0.00806949	0.00788716	0.00771059	0.0108922	0.00883606	0.0134427	0.0157061	0.0165132	0.0153829	0.0207887	0.0189052	0.0200845	0.0236275	0.0259011	0.02678	0.0272036	0.0274024	0.0240993	0.0246637	0.0244454	0.0201222	0.0291705	0.0229256	0.0263548	0.0200212	0.0267809	0.0202975	0.0233881	0.0221098	0.0271261	0.0232202	0.0203808	0.0229771	0.0212343	0.0237518	0.0209132	0.0223185	0.021935	0.0230438	0.0218745	0.0221086	0.0227469	0.0253126
femme	0.0110395	0.00983807	0.0103412	0.00647097	0.00455335	0.00364572	0.00297496	0.00382387	0.00410525	0.00429653	0.00396492	0.0040408	0.00411828	0.00453491	0.00485357	0.00647957	0.00770401	0.00706033	0.0096437	0.0107776	0.0175461	0.0157143	0.0199363	0.031634	0.0232925	0.0299028	0.0324275	0.0443863	0.0357643	0.0454404	0.0402786	0.0409503	0.0361788	0.0355595	0.023323	0.0482137	0.0211975	0.0329374	0.0145929	0.0173227	0.010228	0.00899491	0.00536046	0.0117232	0.00718774	0.00815977	0.00822777	0.0123321	0.0137407	0.0107188	0.0184414	0.0159778	0.0167764	0.0262989	0.0318418	0.0320992	0.0310253
restait	0.0171558	0.0143208	0.0169284	0.0127571	0.010654	0.00905587	0.00518681	0.00402074	0.00398349	0.00391762	0.00339874	0.00350554	0.00336832	0.00315484	0.00390874	0.00351328	0.00435321	0.00485549	0.00491868	0.00778001	0.0114328	0.0211133	0.0181426	0.0224638	0.023232	0.0189836	0.0293823	0.0194994	0.0231942	0.0287157	0.021083	0.0257993	0.0280692	0.0263051	0.0246807	0.0373464	0.0254838	0.0303653	0.0159924	0.0235002	0.0178376	0.0217576	0.0150438	0.0278558	0.0216182	0.018624	0.0224537	0.0246035	0.0264564	0.0164238	0.024282	0.0215297	0.0224697	0.0248729	0.0237323	0.0267776	0.0281386
toute	0.0129449	0.0119491	0.0136778	0.0110457	0.0104634	0.00944233	0.00603656	0.00441094	0.00428198	0.00401946	0.00348911	0.00308693	0.00289727	0.00264753	0.00313611	0.00272384	0.00359272	0.00436766	0.00417193	0.00657829	0.00765288	0.014504	0.0121955	0.018865	0.0194228	0.0154294	0.0286554	0.0188652	0.0278955	0.026057	0.0219295	0.0254841	0.0286295	0.0286386	0.0226481	0.0342232	0.0234984	0.0292579	0.016938	0.0230751	0.016529	0.022221	0.0193809	0.0248734	0.0209179	0.0204154	0.0205723	0.0209597	0.0244329	0.0211571	0.0281212	0.0285539	0.0309536	0.0318066	0.032646	0.0333632	0.0342675
triste	0.0125008	0.0117905	0.0142199	0.0110599	0.0105346	0.00964339	0.00611228	0.00444169	0.00422072	0.00422502	0.00391068	0.00395458	0.00415834	0.00476159	0.00586656	0.00514832	0.00561402	0.00717039	0.00732373	0.0110042	0.0108937	0.0120934	0.012095	0.0122365	0.0134492	0.0118231	0.0155696	0.0151606	0.0158053	0.0221796	0.0156486	0.0148716	0.0163149	0.0153326	0.0178721	0.0248133	0.0192826	0.0212422	0.0163886	0.0218407	0.0218092	0.0242208	0.0232208	0.0270928	0.0313271	0.0286257	0.0305378	0.0299195	0.0365168	0.0292633	0.0360193	0.0314868	0.0351005	0.0381115	0.034368	0.0350744	0.0347315
