 	n	g	á	í	t	έ	i	e	s	i	s	i	i	l	o	k	ω	ω	</S>
j'	0.144917	0.310952	0.178929	0.142384	0.0286374	0.0105781	0.00715314	0.00895591	0.0101902	0.0254489	0.0327853	0.0390314	0.0265359	0.0129542	0.00399892	0.00269535	0.00278546	0.00417709	0.00689098
ai	0.058687	0.0256819	0.0341643	0.0542497	0.0269275	0.0435097	0.036846	0.0788054	0.121342	0.0560152	0.0152237	0.00881213	0.00727362	0.0187658	0.0203219	0.0587605	0.079098	0.120075	0.135441
vu	0.0219303	0.020215	0.0206229	0.034252	0.0463346	0.0850404	0.0563855	0.0606431	0.0685578	0.0519259	0.0501867	0.0365788	0.0269795	0.0381184	0.0401088	0.0564284	0.0982925	0.133104	0.0542953
un	0.0566813	0.0261241	0.0143152	0.0167321	0.02375	0.0691	0.0611305	0.0717554	0.027341	0.0416926	0.0243054	0.0383948	0.0303072	0.0374051	0.0501265	0.0694435	0.113103	0.117555	0.110737
fantôme	0.0250949	0.0160535	0.0155381	0.016198	0.0251357	0.0497552	0.0706792	0.0727629	0.0638606	0.0686783	0.0684975	0.0933517	0.0637454	0.0564054	0.0374494	0.0463489	0.0577494	0.0635357	0.0891602
hier	0.00972439	0.00850181	0.0108152	0.012458	0.0278026	0.0244269	0.0348762	0.0355438	0.0448322	0.0356696	0.0318043	0.0447792	0.0450378	0.0703334	0.0804637	0.105353	0.124628	0.123243	0.129707
dans	0.0481144	0.0183773	0.0145004	0.017011	0.019764	0.0231989	0.0273987	0.0250586	0.0268701	0.029901	0.0238679	0.0376886	0.0372588	0.0523467	0.0662595	0.0882843	0.110122	0.121589	0.212389
la	0.0398671	0.0280547	0.023735	0.0223651	0.0231028	0.0257717	0.0286084	0.022136	0.0200654	0.0188742	0.0118982	0.0204733	0.0200582	0.0487436	0.0685439	0.10357	0.139373	0.152141	0.182619
nuit	0.0429441	0.0485613	0.0485112	0.0489182	0.0425653	0.0307016	0.0249052	0.0241627	0.0207145	0.019235	0.0269279	0.0394571	0.0320536	0.0616898	0.0729447	0.0834594	0.104257	0.107773	0.120219
</S>	0.0356637	0.0273369	0.0290679	0.053564	0.0317684	0.0247144	0.0348174	0.0522463	0.0287652	0.0223801	0.0133217	0.0136401	0.00958054	0.0237839	0.0475395	0.0606138	0.118035	0.131676	0.241485
