 	m	w	á	n	a	w	ó	a	d	í	m	ω	r	ω	r	ω	b	ó	m	b	é	á	l	a	n	d	e	</S>
cet	0.00998384	0.00868946	0.0177422	0.00708369	0.0184024	0.0102921	0.0136532	0.0111585	0.013347	0.014305	0.0500678	0.0214683	0.0544028	0.0507752	0.0639458	0.0942624	0.0575617	0.0617636	0.0535376	0.039151	0.040072	0.0295665	0.0312522	0.0324091	0.038511	0.0385295	0.0473275	0.0707385
enfant	0.0504574	0.101521	0.0531647	0.12519	0.129953	0.03917	0.0533272	0.0509695	0.0413192	0.0595419	0.0551064	0.0607941	0.0832612	0.0600533	0.0179477	0.00535927	0.00187889	0.000985478	0.00119188	0.00152127	0.00154633	0.00129077	0.00139827	0.00114071	0.00083852	0.000540058	0.000311141	0.000221194
est	0.0694731	0.124068	0.0671485	0.082615	0.107568	0.19276	0.0635443	0.0456141	0.0156455	0.0136299	0.0143374	0.0129987	0.0146482	0.0183264	0.02104	0.0185311	0.0228733	0.0113288	0.00827574	0.0128754	0.0104497	0.00866988	0.00958765	0.0049152	0.00337247	0.00484947	0.00665656	0.0141975
timide	0.0244289	0.029678	0.0104797	0.0109672	0.0124438	0.0154436	0.0108765	0.00894061	0.0326478	0.0331241	0.0243282	0.046853	0.0435683	0.0199718	0.0431774	0.0711778	0.0835882	0.0828956	0.0974531	0.0616241	0.0423222	0.0420746	0.0248328	0.0206013	0.0177674	0.0202938	0.0327713	0.0356689
comme	0.0663748	0.0500318	0.0331285	0.0329495	0.0294979	0.0426339	0.0191709	0.0211158	0.00861935	0.00851608	0.00758794	0.00611531	0.00714609	0.00708718	0.00688024	0.00723827	0.0101504	0.0109339	0.0156556	0.0173745	0.0184653	0.0276132	0.0424851	0.0940352	0.081167	0.082454	0.0794625	0.16611
cela	0.0372279	0.0358933	0.023533	0.0200195	0.0213718	0.0225025	0.0151977	0.0154941	0.00963068	0.00926216	0.00797334	0.00986905	0.00933338	0.00928957	0.0119857	0.00980544	0.0188884	0.0225428	0.0300424	0.0373196	0.0303427	0.0530889	0.0643657	0.101479	0.0957866	0.084456	0.0889338	0.104365
à	0.0533951	0.038992	0.0282762	0.0242171	0.0319528	0.0244288	0.0296795	0.0168689	0.0148087	0.0109511	0.0168998	0.0227153	0.0276671	0.0346757	0.0246117	0.0200362	0.0241875	0.0386803	0.0354617	0.0503014	0.0520754	0.0396572	0.0567312	0.0438835	0.0414948	0.060016	0.0502384	0.0870968
cause	0.0587006	0.035636	0.0248261	0.0213161	0.0207618	0.0155732	0.01473	0.00862449	0.00754897	0.00608449	0.00973043	0.0163428	0.018666	0.0232991	0.0219438	0.0182363	0.0281949	0.0371918	0.0298942	0.0463658	0.0442202	0.0479264	0.0653541	0.05622	0.0815652	0.0802303	0.0694489	0.091368
de	0.0577956	0.0416229	0.0239479	0.0232379	0.016138	0.01389	0.00772367	0.00440927	0.00250975	0.00172158	0.00201989	0.00497006	0.00556107	0.0069956	0.0104188	0.0104992	0.0135589	0.0194254	0.0174988	0.0456959	0.0398154	0.0499381	0.0816696	0.0608741	0.087443	0.0899322	0.12809	0.132598
quoi	0.130513	0.0701097	0.0312214	0.0200529	0.0217624	0.0106848	0.0092749	0.00649146	0.00410329	0.0052119	0.00446007	0.00753181	0.0114007	0.0183327	0.0202434	0.0167822	0.0236962	0.0329369	0.0280111	0.04304	0.0420817	0.0409792	0.0620771	0.043081	0.0509219	0.0723043	0.0823603	0.0903339
</S>	0.0713555	0.0593457	0.0406752	0.03305	0.0263421	0.0136071	0.0101515	0.00558452	0.00539415	0.00466461	0.00692482	0.0128154	0.0139634	0.0241732	0.0331547	0.0298892	0.0286925	0.0279352	0.021965	0.0345312	0.0276466	0.0235274	0.0430357	0.0266285	0.0530739	0.0899447	0.0853938	0.146534
