 	b	í	s	í	l	a	m	w	á	s	í	l	έ	ε	s	á	m	b	á	ó	m	í	s	i	m	á	k	á	n	i	p	á	b	h	a	</S>
aujourd'	0.0545153	0.113471	0.120122	0.069079	0.0860322	0.0172954	0.026133	0.0414487	0.0359099	0.0321784	0.0333103	0.0312822	0.0241993	0.0223145	0.0145487	0.0131149	0.00972117	0.0148566	0.0149743	0.0130214	0.0195116	0.0137752	0.0111328	0.00851018	0.00575531	0.00507264	0.00466316	0.0108422	0.0210892	0.017108	0.0155424	0.0201335	0.0139344	0.0191245	0.0157277	0.0105485
hui	0.060093	0.0593935	0.0550369	0.0839737	0.0705435	0.0764	0.112091	0.0490399	0.0689535	0.032391	0.0310475	0.0298615	0.0172192	0.0118784	0.0116249	0.00776435	0.00506778	0.0039885	0.00979636	0.00652403	0.0111053	0.00967589	0.0120236	0.017705	0.0281296	0.0252933	0.031616	0.0138119	0.00892498	0.010361	0.00444686	0.0100305	0.00458726	0.00492528	0.00230954	0.00236546
ma	0.0692261	0.0641218	0.0411052	0.0217454	0.00942978	0.0131975	0.0160444	0.0229883	0.0361762	0.0184964	0.0255297	0.0128942	0.0224854	0.0228342	0.0147387	0.0169495	0.018041	0.0170649	0.0245352	0.0159759	0.0251079	0.0254953	0.0317714	0.0397146	0.0297571	0.026927	0.0304259	0.034865	0.0409247	0.0328178	0.0268242	0.0410692	0.0370879	0.025173	0.0372182	0.0112412
femme	0.013943	0.01984	0.028317	0.0413535	0.0151994	0.0189074	0.0245307	0.0271221	0.0299056	0.0275819	0.0424697	0.0372962	0.0325877	0.0218392	0.016229	0.0349177	0.011838	0.0187192	0.0259901	0.0201302	0.0278128	0.0205334	0.0183628	0.0255172	0.0552564	0.0402458	0.109059	0.0835163	0.0246805	0.0156263	0.00759632	0.0103875	0.00703369	0.00788298	0.00956346	0.0282083
et	0.0314153	0.0300992	0.0232476	0.0228494	0.0179194	0.0219252	0.0204199	0.0249712	0.029892	0.0265075	0.0232863	0.0227324	0.0289749	0.027824	0.0293537	0.0372292	0.0355486	0.0471003	0.0356075	0.0445042	0.0620347	0.0512656	0.0675077	0.0466472	0.0422567	0.0273593	0.0183902	0.00956129	0.00405125	0.00381495	0.00227658	0.0049377	0.00693647	0.0111562	0.0151595	0.0452372
moi	0.066638	0.0761113	0.0369639	0.0226113	0.0202412	0.018655	0.0164504	0.0191259	0.0148321	0.0168052	0.0155593	0.0182499	0.0138717	0.0137477	0.0214104	0.0174907	0.0275434	0.0448564	0.0188138	0.0278799	0.0372598	0.0289542	0.0595442	0.0592164	0.0681595	0.0440176	0.0343227	0.0151287	0.00803982	0.0112087	0.00782417	0.0128698	0.0150608	0.0180305	0.0168426	0.035663
allons	0.0577723	0.051911	0.0331985	0.0235525	0.0200575	0.022777	0.0215802	0.0233099	0.0220886	0.0269772	0.0229365	0.0199929	0.0195497	0.0197417	0.0286949	0.0322941	0.0405859	0.0388088	0.0321071	0.0353647	0.0351289	0.0342146	0.0465192	0.0394144	0.0299308	0.0179635	0.0175312	0.0162719	0.0100767	0.0151719	0.0153517	0.0165198	0.0174052	0.0249969	0.0287828	0.0414197
comparaître	0.056233	0.0283578	0.023668	0.0202118	0.0138916	0.012778	0.0181602	0.0160586	0.0282313	0.0239252	0.0189153	0.0153572	0.0200393	0.0199008	0.025228	0.0303176	0.0366089	0.0352685	0.0342109	0.0366504	0.0426574	0.0353126	0.0495071	0.0492865	0.031768	0.0259431	0.0160736	0.0210773	0.00660913	0.0156899	0.00808136	0.0179257	0.0216347	0.0376341	0.045692	0.0610955
devant	0.0264185	0.0198573	0.0157851	0.00989032	0.00833373	0.00702087	0.0102072	0.0234622	0.0327335	0.0332131	0.0446085	0.0389841	0.0375253	0.0203551	0.0400275	0.0521459	0.038452	0.0638504	0.0509996	0.0541684	0.0790494	0.0468679	0.0457916	0.0306609	0.0185013	0.015581	0.0111469	0.00615691	0.00510568	0.00437227	0.00470397	0.00596288	0.00607305	0.0103433	0.00763109	0.074013
les	0.0771334	0.054439	0.0450844	0.0328763	0.0163228	0.014062	0.0165333	0.0158072	0.0217277	0.0165823	0.0157816	0.014392	0.0171977	0.0166643	0.0199694	0.022712	0.0284526	0.021332	0.0230564	0.0220736	0.0308802	0.0158411	0.0254866	0.0240066	0.0180589	0.0140732	0.014979	0.0239052	0.0116254	0.0189291	0.0226027	0.0239872	0.0242459	0.0367955	0.0513606	0.131022
juges	0.0233728	0.0148553	0.0135247	0.0111876	0.0088488	0.00968871	0.0104381	0.011013	0.0146019	0.0182323	0.0189972	0.012502	0.0374572	0.0233203	0.0300526	0.0239241	0.0301656	0.0250102	0.0233988	0.0192606	0.0294526	0.0192527	0.02708	0.021994	0.0200235	0.0208783	0.0287186	0.0353996	0.022455	0.0337948	0.0348376	0.0393755	0.0367982	0.0630198	0.0789324	0.108135
</S>	0.112912	0.0634696	0.0451731	0.0209793	0.00779584	0.00888876	0.0102778	0.0112682	0.0159616	0.0187559	0.0213557	0.0130466	0.043795	0.0274074	0.0325732	0.0221704	0.0255303	0.0120613	0.013463	0.0127142	0.0174276	0.010925	0.0193647	0.0175512	0.0113071	0.00837049	0.012305	0.0106199	0.00394966	0.0152798	0.0147785	0.0400695	0.0399819	0.0643373	0.0732935	0.10084
