 	s	i	d	á	a	d	í	l	i	k	u	l	ú	l	ú	i	y	í	í	</S>
il	0.00306389	0.0041215	0.00986774	0.0335524	0.0511247	0.0669123	0.149649	0.124961	0.128737	0.104303	0.0783165	0.0633665	0.0533777	0.0297968	0.0215801	0.032614	0.0119093	0.0115183	0.0103184	0.0109098
y	0.181641	0.250001	0.192995	0.103125	0.0632879	0.0245167	0.00668372	0.00752153	0.013337	0.0238534	0.0264427	0.0150795	0.0104122	0.00378867	0.00458636	0.0088995	0.00949288	0.0140465	0.0087079	0.0315812
a	0.152707	0.0937907	0.0497581	0.0565558	0.0455061	0.040376	0.024706	0.0281703	0.0339628	0.046709	0.0637046	0.0419216	0.0279154	0.0186329	0.0219184	0.0356722	0.025797	0.0680678	0.0563556	0.0677728
plusieurs	0.0462891	0.0544491	0.0551478	0.0470955	0.0546498	0.0276383	0.0335779	0.0292818	0.0241006	0.0208969	0.0355561	0.0453873	0.061817	0.0571432	0.0628398	0.0533165	0.0626121	0.0689863	0.091707	0.067508
manières	0.0777629	0.0572148	0.0464202	0.05268	0.0469958	0.0407658	0.0449965	0.0531627	0.0439078	0.0603805	0.0570307	0.047507	0.046968	0.0293725	0.0348306	0.0346253	0.04841	0.0558163	0.0409817	0.0801709
d'	0.0943191	0.0637415	0.0544023	0.0503669	0.0379045	0.0348462	0.0244741	0.0277927	0.0139144	0.00885871	0.00862065	0.0120442	0.0217471	0.0293378	0.0471858	0.0555392	0.075757	0.132235	0.107483	0.0994297
être	0.330992	0.191076	0.0674405	0.0340468	0.0309966	0.0226646	0.0140432	0.0108858	0.00709181	0.00701816	0.0128928	0.0225427	0.0208934	0.00794672	0.00770391	0.0118115	0.0265636	0.0516382	0.0313507	0.090401
contaminé	0.145853	0.0786843	0.0579299	0.0291334	0.0262421	0.0106061	0.0102143	0.0114171	0.0139514	0.02488	0.0554334	0.0742474	0.0710612	0.0359057	0.0471794	0.0535802	0.0545034	0.0567717	0.0340216	0.108384
du	0.127851	0.0840182	0.074023	0.0395304	0.036371	0.0191402	0.018462	0.0161496	0.013372	0.0115848	0.0217848	0.0368476	0.0555758	0.0462059	0.050498	0.0535532	0.064523	0.0696641	0.0684054	0.0924402
sida	0.100728	0.0535103	0.028343	0.010679	0.0100084	0.00649818	0.00614576	0.00658512	0.00541877	0.0133854	0.0290166	0.0465641	0.0500331	0.0348201	0.0450672	0.0854441	0.0925373	0.118482	0.111491	0.145243
</S>	0.215065	0.101145	0.0614433	0.0238746	0.0150076	0.00643763	0.00531242	0.00588259	0.00691993	0.0204173	0.0308757	0.0404713	0.0336144	0.0245249	0.037878	0.0562671	0.0518564	0.0709056	0.0662748	0.125826
