 	n	g	á	í	m	o	d	z	w	á	o	t	έ	b	h	έ	k	ó	n	y	i	s	á	n	g	o	n	d	a	</S>
je	0.160781	0.269875	0.154656	0.102756	0.0293181	0.0210537	0.0107378	0.00904974	0.0134104	0.0298778	0.0256483	0.0232038	0.0194043	0.0105671	0.00907825	0.00997038	0.00878539	0.00884127	0.00726445	0.00572548	0.00561188	0.00507485	0.0046415	0.00746785	0.00776747	0.00785747	0.00788815	0.00766522	0.0079699	0.00805076
m'	0.108498	0.0751618	0.0664919	0.0386262	0.0442009	0.0391399	0.01851	0.0365636	0.0328556	0.0593051	0.050108	0.0895982	0.0777961	0.0591724	0.038976	0.0267834	0.0226968	0.0202821	0.0182809	0.017813	0.0112462	0.00664233	0.00543066	0.0046232	0.00304229	0.00266004	0.00241603	0.00483515	0.0061129	0.0121308
en	0.0258138	0.0121095	0.00885899	0.0164031	0.0142513	0.0169351	0.0208672	0.0201121	0.0165393	0.0256462	0.0351803	0.0596729	0.0552245	0.0627628	0.050483	0.0512697	0.0580044	0.0478952	0.0344595	0.0362661	0.0364035	0.0351314	0.0476227	0.0284622	0.0300676	0.0287287	0.0326383	0.0302889	0.0322841	0.0296174
vais	0.0315539	0.0160514	0.0170932	0.0281735	0.0305054	0.0234642	0.0244904	0.0181237	0.0260177	0.0334545	0.0274192	0.0293129	0.0318902	0.0485281	0.0361656	0.0275698	0.0332463	0.0300488	0.0271013	0.0322577	0.0213893	0.0348843	0.0827254	0.0467496	0.0299036	0.0519996	0.0467147	0.0387032	0.0355678	0.0388947
couper	0.00611461	0.00313374	0.005839	0.00711294	0.0135172	0.00960473	0.0121514	0.0120177	0.00812496	0.0123666	0.0125863	0.0141503	0.0180635	0.0254143	0.0216824	0.0151746	0.0193506	0.0188461	0.0278024	0.052269	0.0686884	0.0821126	0.0866851	0.0715089	0.060371	0.0565012	0.0651333	0.044492	0.0555605	0.0936245
du	0.0274751	0.00835288	0.00696319	0.00445657	0.00691968	0.00737501	0.0116273	0.0142074	0.0135282	0.0138521	0.0145736	0.0219306	0.0278259	0.039529	0.0270898	0.0213804	0.0273145	0.0248673	0.0324499	0.0431115	0.0638039	0.0881097	0.074399	0.0610733	0.0522952	0.0571162	0.0518097	0.0368907	0.0466884	0.0729841
bois	0.00920727	0.00662797	0.00856094	0.00837684	0.00870672	0.0118335	0.0157523	0.0164419	0.0149146	0.0157115	0.0229973	0.0612796	0.0715861	0.0471875	0.0268829	0.0142147	0.0211455	0.0234535	0.0268718	0.0467837	0.0480433	0.0604127	0.0621038	0.0530176	0.0405437	0.0423883	0.0470135	0.0382513	0.0457622	0.0839275
de	0.0142407	0.0124914	0.0158733	0.0181875	0.0162429	0.0229098	0.0218403	0.0211233	0.013563	0.0226071	0.0342779	0.0649094	0.0682058	0.0579986	0.0587922	0.0389956	0.0437116	0.0504746	0.0439875	0.0503786	0.0389811	0.0340339	0.0435546	0.0181814	0.0156007	0.0159177	0.0177479	0.0180224	0.0406584	0.0664909
chauffe	0.0400716	0.0269361	0.0258074	0.0278489	0.0269007	0.0258542	0.0249136	0.0228072	0.0112272	0.0143453	0.0193372	0.0223643	0.0244079	0.0314699	0.0475809	0.0575429	0.0424477	0.0360085	0.0261277	0.0328871	0.0273398	0.0372617	0.0343783	0.0307836	0.0286508	0.0322982	0.03896	0.0468988	0.0641487	0.0723939
au	0.0372111	0.0322357	0.03055	0.0336193	0.0206018	0.0275876	0.0244923	0.0234377	0.0132429	0.0153058	0.0173658	0.0276294	0.0280416	0.0286122	0.0275129	0.0416339	0.0311857	0.0243038	0.0179353	0.0243879	0.0242524	0.0316359	0.0404578	0.0299943	0.0340829	0.0426751	0.0496845	0.055356	0.0602934	0.104675
champ	0.0283593	0.0240019	0.0456796	0.0445737	0.0268328	0.0235764	0.0259362	0.019192	0.0102205	0.0182403	0.0245756	0.0323387	0.0334369	0.0341123	0.0441889	0.0480948	0.0244687	0.025937	0.0157246	0.0233497	0.0184452	0.0255133	0.0249542	0.0242665	0.0241544	0.0303687	0.0406091	0.0513747	0.0831212	0.104353
</S>	0.0869853	0.0413171	0.0395105	0.0307146	0.0312216	0.0312064	0.0282257	0.0214687	0.0113353	0.00932907	0.0107831	0.0182579	0.0169224	0.0146653	0.0154338	0.0187793	0.0253786	0.0238169	0.0358381	0.0337007	0.0462226	0.0381746	0.0358015	0.0409679	0.0551108	0.0533522	0.0423481	0.0522003	0.0541873	0.0367446
