 	a	b	a	a	b	á	a	y	a	á	l	i	l	a	b	h	a	a	m	á	k	ó	n	y	i	e	b	é	e	y	é	é	d	i	o	l	e	e	l	a	t	á	n	g	a	</S>
les	0.0460937	0.0289036	0.0248168	0.011493	0.0274747	0.0280798	0.0267586	0.0186158	0.0119014	0.0136999	0.0215813	0.0215023	0.029129	0.0472369	0.0581345	0.0481978	0.0643077	0.0382022	0.0396859	0.0399538	0.0214825	0.0176286	0.020983	0.0259527	0.0184588	0.0268087	0.018746	0.0155912	0.00791872	0.00619281	0.00718315	0.00816789	0.00562757	0.0121573	0.0103539	0.00870561	0.00718912	0.00563058	0.00965279	0.0135264	0.0142292	0.0150308	0.0136728	0.0166496	0.0144322	0.0122593
hommes	0.0439442	0.0672951	0.0634832	0.0948531	0.0834667	0.0984694	0.109408	0.0794049	0.0451916	0.0137874	0.0104129	0.0102494	0.00766599	0.00555946	0.0060163	0.00711838	0.00954152	0.0100864	0.0100477	0.0121148	0.0045356	0.00664286	0.00450827	0.00740902	0.00829791	0.00539794	0.00635278	0.00526001	0.00846943	0.00351302	0.0047063	0.00496191	0.00387342	0.00958126	0.0131614	0.0190868	0.015352	0.0184101	0.00836645	0.0159042	0.0095416	0.00900659	0.00600012	0.00853237	0.00362835	0.00138401
apportent	0.0358314	0.0377497	0.0368773	0.0405188	0.0161935	0.0223782	0.021946	0.0367264	0.0288229	0.0284454	0.0395197	0.0405184	0.0272802	0.0391646	0.0332232	0.035975	0.0299272	0.0273947	0.0279109	0.0259962	0.0137016	0.0124235	0.00943151	0.00967554	0.0119014	0.00856612	0.0109173	0.00796356	0.0105553	0.00976128	0.013126	0.0122944	0.0175546	0.0149456	0.0150768	0.0193209	0.0203488	0.0231962	0.0207179	0.0252642	0.0202656	0.0138003	0.0120266	0.0116493	0.0143773	0.00873838
de	0.00801428	0.0123951	0.0125675	0.0118348	0.00938292	0.0106904	0.00617726	0.0177638	0.0195724	0.0280328	0.0275906	0.0310418	0.0308551	0.0313285	0.0327534	0.0308013	0.028478	0.031115	0.0195007	0.0219728	0.0134169	0.0127797	0.00787764	0.00798281	0.0104826	0.00637103	0.0102955	0.0103742	0.0137276	0.0209259	0.0239344	0.0290629	0.0289892	0.0387572	0.0345099	0.0301974	0.0291491	0.0358989	0.0382436	0.0222997	0.0191471	0.0220869	0.0170766	0.021176	0.0358506	0.0375183
longs	0.0155316	0.0173689	0.0149	0.0146871	0.0181078	0.0171278	0.0179285	0.0220144	0.0209402	0.0220297	0.0265741	0.0331613	0.0392024	0.0373538	0.0361931	0.0312825	0.0293174	0.0376996	0.0230738	0.0238771	0.0220692	0.0211635	0.0188103	0.0173236	0.0159639	0.0113038	0.0136034	0.0134988	0.010544	0.015721	0.0121272	0.0114441	0.0105243	0.015016	0.0138359	0.0119233	0.0176801	0.0159927	0.017357	0.0229352	0.0234315	0.0263628	0.0302387	0.0340587	0.0349651	0.0437346
fagots	0.0192491	0.0117273	0.00931598	0.00927849	0.00665245	0.00776882	0.00550961	0.0117499	0.0152766	0.0159779	0.0106856	0.0153548	0.00851282	0.00980861	0.00588117	0.0050198	0.00510354	0.00498513	0.0040214	0.00785143	0.00829456	0.0104629	0.0126689	0.0151147	0.01802	0.016794	0.0186312	0.0249937	0.0312006	0.0405852	0.0421924	0.0486619	0.0311888	0.0456951	0.0305902	0.0252846	0.0323562	0.0411834	0.0534666	0.0385109	0.0395302	0.0359884	0.0318805	0.0356665	0.0354379	0.0458701
de	0.0442249	0.0212063	0.0158552	0.0146555	0.010021	0.0132533	0.0085038	0.0220817	0.0279268	0.0291119	0.0174522	0.0256224	0.0137488	0.0130532	0.00636345	0.00659066	0.00606878	0.00497503	0.00498727	0.0096643	0.0126166	0.0154338	0.0161212	0.0141013	0.0175755	0.012223	0.0137437	0.0192208	0.0269845	0.0378488	0.0348616	0.0369265	0.0415727	0.0259718	0.0151102	0.011324	0.0169508	0.021486	0.0240182	0.0204495	0.0278922	0.0183465	0.0228076	0.035253	0.0536978	0.0920959
bois	0.0176202	0.013452	0.0116003	0.0129977	0.0113827	0.0137727	0.0157682	0.0272812	0.0245341	0.0164531	0.0110846	0.0127966	0.0160437	0.0120864	0.0108916	0.0084274	0.00907437	0.0101643	0.00819413	0.00892564	0.0108287	0.0109102	0.0120889	0.0115738	0.0126185	0.0104825	0.0122778	0.0178727	0.0116119	0.0255987	0.0225725	0.0189317	0.0218128	0.0299074	0.033182	0.0329179	0.0375732	0.0300919	0.0180816	0.0327519	0.0393394	0.0367941	0.0422958	0.0490761	0.061457	0.0847999
là	0.0260641	0.019631	0.0171158	0.0223179	0.0125872	0.0129994	0.0119802	0.00825557	0.00635559	0.00567211	0.00502266	0.00571029	0.00606847	0.00553109	0.00482385	0.00392024	0.00400538	0.00328573	0.00362869	0.00440713	0.00498046	0.00727233	0.00735939	0.00897276	0.0154494	0.0115628	0.015484	0.0206411	0.0267576	0.0339023	0.0391968	0.0509184	0.0519248	0.0507057	0.055201	0.0499996	0.0616063	0.0438567	0.01719	0.0159091	0.023491	0.0165828	0.0169649	0.0213341	0.0350216	0.108332
où	0.0267688	0.0224964	0.0208032	0.0254416	0.0160497	0.0179201	0.0132305	0.0185069	0.0175602	0.0104779	0.00806713	0.00855664	0.00747386	0.00773115	0.0064238	0.0051319	0.00527919	0.00432874	0.0041136	0.00441701	0.00414251	0.0048098	0.00340102	0.00380208	0.00509209	0.00431245	0.00632497	0.0102627	0.0126653	0.0205224	0.0229178	0.0340987	0.0420581	0.0330884	0.0343068	0.0349148	0.0369153	0.0355407	0.0323503	0.0383495	0.0376462	0.0369539	0.0443427	0.0468951	0.0639074	0.0996006
