 	o	n	g	o	n	d	ó	á	d	z	w	e	o	t	á	á	n	g	a	n	g	a	m	í	b	o	ó	b	v	ú	a	l	í	í	d	í	l	a	w	a	</S>
ongondo	0.0063109	0.00964386	0.00958466	0.0124745	0.0095457	0.0104392	0.0137381	0.026904	0.0273006	0.0328107	0.038316	0.0572773	0.0443985	0.089292	0.0782855	0.0427427	0.047633	0.0357224	0.0295816	0.0299611	0.0181449	0.0144905	0.0136445	0.014474	0.0147552	0.0117861	0.0113703	0.0100636	0.00996023	0.00983987	0.0143401	0.0161382	0.015369	0.0124866	0.0186922	0.0207728	0.0275658	0.0315685	0.0141043	0.026655	0.021816
est	0.0399577	0.0729985	0.0586142	0.0460837	0.0366941	0.0354858	0.0504509	0.0602324	0.0379145	0.0337799	0.0296429	0.037872	0.0275785	0.0289611	0.0294127	0.0243253	0.0273412	0.0391427	0.0410482	0.0485451	0.0238272	0.0113181	0.00429798	0.00503838	0.0130091	0.00235358	0.00234539	0.00526618	0.0108937	0.00963515	0.00487714	0.0030353	0.0272354	0.00888595	0.0117528	0.018517	0.0111415	0.00806577	0.00569155	0.00490983	0.00182142
allée	0.0234599	0.0285377	0.0356725	0.0331793	0.0250034	0.0342993	0.0332755	0.0386762	0.0688543	0.077026	0.0857014	0.0710353	0.0756735	0.0384956	0.0376135	0.0237277	0.035354	0.0120952	0.00656594	0.0169434	0.00697503	0.0093395	0.00840547	0.0116466	0.011192	0.00865525	0.00505115	0.00822068	0.00502473	0.00466645	0.00989546	0.00738581	0.0163662	0.00903013	0.0121817	0.0123118	0.0171545	0.0140177	0.00891662	0.00787206	0.00450155
consulter	0.0256487	0.0308454	0.030478	0.0371155	0.0437682	0.0485756	0.0392644	0.03209	0.0432331	0.0415475	0.0520434	0.038397	0.0659753	0.0287404	0.0302638	0.025741	0.0251582	0.0216151	0.021639	0.0172649	0.0149679	0.0232644	0.0269642	0.0206406	0.0155693	0.0136548	0.0219304	0.0114825	0.0121039	0.0079049	0.0105724	0.0271979	0.0130113	0.0131991	0.00917853	0.0103636	0.00926035	0.00689677	0.0066362	0.00804114	0.0177554
un	0.0173832	0.0260139	0.026707	0.029818	0.0347123	0.0421532	0.0430791	0.0425237	0.0526844	0.0397854	0.0504214	0.0497295	0.0430007	0.0458309	0.0472836	0.0395452	0.0290425	0.0166774	0.0124244	0.009246	0.00971542	0.00979885	0.0124213	0.0127099	0.0104391	0.00914885	0.0124181	0.0105871	0.0129238	0.00645857	0.00626009	0.00342544	0.011377	0.0118219	0.0191704	0.0176148	0.0203224	0.0218222	0.0181851	0.0274913	0.0378266
guérisseur	0.0478232	0.0752929	0.0653636	0.0688267	0.0691312	0.0694347	0.0655734	0.0503051	0.0431914	0.030774	0.020445	0.0284412	0.0233025	0.0194447	0.0191072	0.0217969	0.0263987	0.026631	0.0185823	0.0139935	0.0121151	0.0111599	0.00499056	0.00650696	0.00719915	0.00351265	0.00396799	0.0037037	0.00331211	0.00506718	0.00277906	0.00338969	0.0166539	0.006057	0.00829144	0.00870699	0.00437639	0.00462629	0.00982703	0.0146481	0.0552497
pour	0.0291163	0.0247889	0.0218588	0.0210096	0.0210771	0.0206137	0.021363	0.0221918	0.0246921	0.0241657	0.022967	0.0252488	0.0242277	0.0205079	0.0195232	0.0146274	0.0189094	0.01587	0.0113447	0.0130147	0.0150972	0.0314253	0.0243742	0.0252012	0.0220257	0.0128584	0.0329825	0.0284021	0.0470799	0.0266046	0.022774	0.0110401	0.0332907	0.0176218	0.0247976	0.0296816	0.0197997	0.0213248	0.0270074	0.0432359	0.0662577
ses	0.0483047	0.0259385	0.0172066	0.0172361	0.0195687	0.0197288	0.0261902	0.0230144	0.0242455	0.0169772	0.0223716	0.0258179	0.0213935	0.0163478	0.021961	0.0170087	0.0170147	0.0198399	0.0197282	0.025496	0.0223829	0.0261373	0.0250836	0.0208837	0.0304248	0.0144809	0.0178824	0.0231544	0.0342656	0.0337398	0.0170273	0.00434589	0.0170874	0.0233901	0.023898	0.0319333	0.0281057	0.0296063	0.0327429	0.048162	0.0498756
maux	0.0579989	0.0304255	0.020254	0.0142584	0.012245	0.00884711	0.00893683	0.0085409	0.0077639	0.00827245	0.00789742	0.00926314	0.0113569	0.00739242	0.00920505	0.0133565	0.0181725	0.0225438	0.0296414	0.0531103	0.0406595	0.049814	0.0413045	0.0322948	0.0494527	0.0329841	0.0389317	0.0268744	0.0279476	0.0272898	0.0265289	0.021549	0.0323459	0.0250136	0.0173416	0.0205572	0.0151095	0.0108066	0.0132504	0.0250262	0.0654354
de	0.0749547	0.0409237	0.0261672	0.0199259	0.0183732	0.0113505	0.0120886	0.0116598	0.0107158	0.0111854	0.012538	0.0144605	0.017752	0.00960415	0.0145765	0.0220224	0.0262982	0.0246848	0.02534	0.0334085	0.0294546	0.0354904	0.019455	0.0181454	0.0236201	0.0181441	0.0219634	0.017369	0.0252629	0.0206569	0.0186872	0.0166305	0.033808	0.0198784	0.018967	0.0292635	0.01785	0.0119411	0.0169795	0.0376399	0.110763
