 	b	é	á	m	w	á	s	í	á	y	a	a	o	t	ó	r	á	i	l	ú	á	b	á	m	w	á	n	a	</S>
appelle	0.0340943	0.0214955	0.0718982	0.0116024	0.0106002	0.017461	0.0279534	0.0278131	0.052891	0.0596718	0.10375	0.0821042	0.0667801	0.0547762	0.0370176	0.0263278	0.0186583	0.0172928	0.0192235	0.0145408	0.0153927	0.0142846	0.0272681	0.0274402	0.0235849	0.0360359	0.0375961	0.0255549	0.0168901
ta	0.0658449	0.0642058	0.0882046	0.105692	0.0941867	0.0948819	0.0930904	0.0652731	0.0235952	0.0257104	0.0125414	0.0117059	0.0154597	0.00813806	0.00872034	0.010181	0.0107165	0.014539	0.0104117	0.0203951	0.0147673	0.0172564	0.0177597	0.0208049	0.020489	0.0195771	0.0191824	0.0201517	0.00651742
femme	0.055547	0.0731014	0.0431462	0.0404396	0.022002	0.0325569	0.0524166	0.0319466	0.0313212	0.025298	0.0343507	0.0195052	0.021875	0.0167631	0.00947563	0.0133959	0.0147071	0.0175661	0.0584101	0.0265472	0.0322852	0.0426644	0.0437207	0.0761172	0.027298	0.0345916	0.0444263	0.0363706	0.0221545
qu'	0.014288	0.0180812	0.0272797	0.0298625	0.0453775	0.0156585	0.0219648	0.0235216	0.0202625	0.0317116	0.0448951	0.0317233	0.0366452	0.04477	0.0631691	0.0643667	0.0813252	0.0741253	0.0483842	0.0465578	0.042931	0.0452677	0.021646	0.0196155	0.014085	0.00913292	0.013916	0.0177047	0.0317312
elle	0.0631018	0.0420294	0.0244421	0.0193445	0.0164254	0.0163223	0.0173162	0.0247583	0.0367002	0.045413	0.0719919	0.0535332	0.0572216	0.0406355	0.0331667	0.0252621	0.0350597	0.0443029	0.0321348	0.0231742	0.0269151	0.0308167	0.0302806	0.0306003	0.0228065	0.0222435	0.0291616	0.0375938	0.0472462
vienne	0.0817979	0.0540251	0.0306399	0.0323118	0.0322871	0.0268929	0.0305828	0.0297152	0.0326031	0.0253209	0.0346348	0.0268309	0.0280785	0.0375353	0.0370784	0.0403328	0.0348479	0.0358606	0.0338373	0.0279972	0.0262381	0.0294556	0.0282749	0.0242764	0.0303492	0.0273709	0.0250222	0.0302485	0.0655538
ramasser	0.0479098	0.0256033	0.0352401	0.0224597	0.0302456	0.0183578	0.0248683	0.028922	0.0252617	0.0148477	0.0223911	0.0211761	0.0221518	0.0330111	0.0261275	0.0489775	0.0390711	0.0452422	0.0456254	0.0620165	0.0302773	0.0339047	0.0313506	0.0294753	0.0170184	0.0215026	0.0370951	0.0468118	0.113058
les	0.0367564	0.0266152	0.0375067	0.026519	0.0314198	0.0223884	0.0256806	0.02499	0.0199614	0.0196755	0.0173098	0.0150017	0.018281	0.0185275	0.0178149	0.0296256	0.0310979	0.0421072	0.0310196	0.0500535	0.0428767	0.0530229	0.0458374	0.0362384	0.0590396	0.0327427	0.0450588	0.0495128	0.0933189
vomissures	0.132261	0.0652433	0.0459617	0.0428167	0.025873	0.0127026	0.0132082	0.0116978	0.0089383	0.00801568	0.0255784	0.0363705	0.0491185	0.0540498	0.0550176	0.0507179	0.0221636	0.0214662	0.0183559	0.0322127	0.0204245	0.0318358	0.0215689	0.0193492	0.00961351	0.0116027	0.0332287	0.0248569	0.0957499
de	0.108059	0.0426841	0.0441562	0.0228401	0.0438644	0.0161853	0.0226864	0.0203687	0.0107809	0.00844014	0.011145	0.0134547	0.0171477	0.023797	0.0254723	0.0347098	0.025086	0.0297465	0.0144767	0.0247109	0.0135719	0.0193238	0.0251393	0.0147737	0.0189208	0.0262515	0.0316806	0.0388401	0.251686
votre	0.0641077	0.0313345	0.0250427	0.0224264	0.0174125	0.0103351	0.00797135	0.00731672	0.00794361	0.00707576	0.0147832	0.0110363	0.0131585	0.0132568	0.0108706	0.0161651	0.015076	0.0175599	0.0175166	0.0250921	0.0307478	0.0556053	0.0684631	0.0569786	0.0760126	0.0743632	0.0882419	0.0768073	0.117299
enfant	0.023937	0.0153716	0.0194012	0.0177184	0.0124463	0.00951689	0.00889212	0.0112009	0.0103318	0.00916228	0.0215492	0.0211762	0.0186677	0.0238953	0.0239581	0.0450784	0.026855	0.028267	0.0253324	0.0332354	0.0394373	0.043936	0.0489245	0.0392608	0.04764	0.0732263	0.0843441	0.0720856	0.145152
</S>	0.160823	0.0622931	0.0288899	0.0313846	0.0329341	0.0237302	0.023942	0.0193719	0.0108032	0.00887445	0.0154979	0.0108897	0.0163944	0.0219479	0.0177822	0.0256238	0.0191645	0.021568	0.0187772	0.0313166	0.0276898	0.0375629	0.0347431	0.0206765	0.0430384	0.0277147	0.0348747	0.0374106	0.134281
