 	o	l	ó	m	i	y	a	n	ω	b	ó	l	á	a	m	i	i	g	h	á	í	k	ώ	ώ	s	á	k	ú	k	u	d	í	i	</S>
ton	0.0110679	0.014071	0.0121509	0.0123266	0.0113012	0.0123962	0.0221322	0.0209026	0.0187854	0.0247793	0.0216791	0.0247104	0.0346683	0.0630831	0.0436392	0.0248637	0.0236657	0.046119	0.0214851	0.0370409	0.0328269	0.0371604	0.0273393	0.0443771	0.0165222	0.0227233	0.0260495	0.0262676	0.0227187	0.0176257	0.0424573	0.0767216	0.0560385	0.0503041
mari	0.0298061	0.0404898	0.0386444	0.0348866	0.0344159	0.0419416	0.0317579	0.0415189	0.037145	0.052556	0.0759776	0.0200857	0.0227999	0.0286651	0.0097869	0.017708	0.0198155	0.0259557	0.0335507	0.0340802	0.0170103	0.0298209	0.0102053	0.00542503	0.00933847	0.0228695	0.0328101	0.0329845	0.0381995	0.0378977	0.0425833	0.0220861	0.0195612	0.00762026
est	0.0231228	0.014154	0.0145023	0.0147179	0.0266429	0.0305515	0.0497173	0.0421013	0.0403346	0.0613489	0.0544023	0.0482618	0.0647359	0.0442525	0.0144965	0.026606	0.0296407	0.0479074	0.0463116	0.0363376	0.0452774	0.0376056	0.0504143	0.0230076	0.0333639	0.0190129	0.0136669	0.0126127	0.00725976	0.00832014	0.00568828	0.0061739	0.00466821	0.00278247
en	0.041619	0.0369422	0.0412653	0.0505299	0.0595184	0.0565978	0.0456896	0.0506716	0.0359376	0.0256538	0.0231051	0.0227307	0.0220447	0.0154982	0.0130816	0.0160253	0.0259059	0.0377688	0.0608501	0.0655855	0.0289538	0.0401298	0.0231964	0.0151305	0.0163028	0.0134771	0.0105935	0.00945802	0.00973359	0.0110133	0.0100848	0.0158835	0.0137681	0.0352538
train	0.0349181	0.0254707	0.01971	0.0139286	0.0211806	0.0173887	0.0214132	0.0199908	0.018023	0.0303931	0.0266718	0.0284736	0.0240651	0.0233968	0.0171419	0.0116202	0.0154213	0.0338867	0.0543942	0.069435	0.0449724	0.0390463	0.0431264	0.0159594	0.0275807	0.0367922	0.0260388	0.0338695	0.0355413	0.0522561	0.0338039	0.0272067	0.0274735	0.0294097
de	0.0231606	0.024854	0.0214087	0.0246594	0.0162825	0.0199178	0.0301384	0.0337546	0.0433191	0.0722436	0.0687809	0.0617587	0.0549866	0.0378801	0.0388223	0.069835	0.0676065	0.0294684	0.0294826	0.0142948	0.0114643	0.0131604	0.00512852	0.00762415	0.0058928	0.00592523	0.00672058	0.00641795	0.00730719	0.00501748	0.0098253	0.027576	0.0211064	0.084179
se	0.0264662	0.0218772	0.023434	0.0238567	0.0273517	0.0270776	0.0392597	0.039101	0.0450975	0.049037	0.0382958	0.0630913	0.0519435	0.0311183	0.0204496	0.0583289	0.0489885	0.0344064	0.0510188	0.03209	0.0271536	0.0313888	0.0314228	0.0190323	0.0217999	0.0131756	0.0110377	0.0111458	0.0152567	0.0128508	0.00939914	0.0125521	0.0168935	0.0146016
gaver	0.0496461	0.0343252	0.02832	0.0203169	0.0175019	0.0165023	0.0127121	0.0157336	0.0170163	0.0133745	0.0131363	0.0220073	0.0222669	0.0233123	0.0280272	0.0284683	0.034927	0.0443049	0.0579425	0.0639622	0.0501693	0.0490242	0.0414309	0.023883	0.044475	0.0411127	0.015406	0.0196749	0.0196511	0.0214436	0.0206364	0.016391	0.0275584	0.0453397
dans	0.0865447	0.054169	0.0414279	0.0271157	0.0174598	0.0125688	0.0103499	0.00792221	0.0145981	0.0191558	0.0183949	0.0261149	0.033016	0.0223807	0.0194584	0.0233641	0.0283187	0.0221832	0.0228792	0.0365896	0.0307744	0.0384388	0.051669	0.0426007	0.0391461	0.0347315	0.0257063	0.0231006	0.0316218	0.0199603	0.0253436	0.0173883	0.0186429	0.0568642
cette	0.0946349	0.060833	0.0492303	0.032239	0.0180513	0.0151919	0.00945761	0.0101315	0.0104354	0.0111261	0.010931	0.0126709	0.0174745	0.0187883	0.021866	0.0215699	0.0222154	0.0208586	0.0327324	0.0248514	0.0140169	0.0310074	0.0130102	0.015609	0.0243317	0.0210454	0.011284	0.00972674	0.0234861	0.017206	0.0273652	0.0396293	0.0703329	0.16666
cuisine-là	0.0813196	0.074569	0.0545455	0.0392114	0.0172083	0.0152345	0.0054815	0.00751813	0.00965739	0.00856518	0.00893978	0.0155415	0.0199684	0.0208382	0.0284157	0.0231357	0.0203182	0.0156955	0.0246523	0.0267809	0.0210185	0.0323644	0.0265046	0.0216543	0.0392305	0.021086	0.0158034	0.018617	0.0312188	0.0265675	0.0387911	0.0379731	0.0663887	0.0851854
</S>	0.112391	0.0801728	0.078057	0.0497647	0.0188415	0.0235402	0.0106276	0.0137767	0.0123084	0.00774914	0.0135512	0.0173385	0.0191246	0.00977234	0.0107776	0.0180751	0.023963	0.019406	0.025148	0.0318784	0.0114938	0.0263848	0.0203168	0.0256102	0.026575	0.0285267	0.0206135	0.018585	0.0144138	0.0141234	0.0184323	0.0195568	0.03261	0.126495
