 	n	g	ó	l	ó	m	i	y	a	b	í	s	í	á	m	o	ó	b	ó	á	b	v	a	n	d	e	</S>
notre	0.0394504	0.0396785	0.0150769	0.0074494	0.00762898	0.00780517	0.0226827	0.0267436	0.0463458	0.0487858	0.0543289	0.060314	0.0625646	0.0751597	0.0735247	0.0833943	0.0485125	0.0393851	0.0480491	0.0504617	0.036042	0.0158412	0.0150099	0.0135052	0.012969	0.0201662	0.0291245
oncle	0.451483	0.117981	0.144173	0.121968	0.0592115	0.0351463	0.0153018	0.00354995	0.00143589	0.0018713	0.00261706	0.0025102	0.00271793	0.00167912	0.00247365	0.00285246	0.0038142	0.00613912	0.00565784	0.00537923	0.00423596	0.00204394	0.00227872	0.00138548	0.00139637	0.000335387	0.000362123
a	0.0236023	0.0252498	0.0209206	0.0146273	0.0152818	0.0255003	0.0396169	0.0508342	0.0585562	0.0458466	0.0431583	0.0430547	0.0582547	0.0535188	0.0263628	0.0252141	0.0293634	0.0350346	0.0323852	0.0560946	0.0565011	0.0458402	0.0370504	0.034061	0.0395911	0.0499221	0.0145569
déjà	0.0311436	0.025482	0.033946	0.0248388	0.031157	0.0295909	0.0301694	0.0326544	0.0341206	0.0336395	0.0169275	0.0221693	0.0157352	0.0193624	0.0189782	0.021508	0.0317271	0.0417099	0.0394941	0.0400972	0.0446056	0.0803721	0.0503697	0.0471931	0.0556311	0.0630013	0.0843759
construit	0.0298407	0.0257066	0.0287947	0.0324996	0.0345382	0.0367901	0.0369709	0.0347115	0.0318166	0.0293968	0.0246242	0.0277513	0.0231933	0.0352858	0.0411152	0.0393106	0.0487355	0.037803	0.0418522	0.0441587	0.0571831	0.0566533	0.0521036	0.0546652	0.0413506	0.0208575	0.0322908
un	0.0314562	0.0238276	0.0276746	0.0422719	0.0477585	0.0479531	0.0425625	0.03847	0.0324561	0.0309863	0.0170578	0.0182094	0.0106619	0.00967193	0.00771084	0.00605272	0.0122963	0.0145146	0.0111107	0.016828	0.0330037	0.0470794	0.0611842	0.05854	0.0757054	0.100015	0.134942
barrage	0.0164958	0.0161858	0.0190671	0.0231619	0.0222406	0.0196646	0.0200012	0.0148871	0.0170456	0.0133034	0.0136606	0.0154355	0.0233397	0.0336343	0.0548519	0.0526039	0.0683769	0.0582389	0.063514	0.0584088	0.0640997	0.0652933	0.0621982	0.0650571	0.0566463	0.0237327	0.0388549
à	0.0282672	0.0310013	0.0353405	0.0457561	0.0400664	0.0377559	0.0366064	0.0213391	0.0244093	0.0134446	0.0093554	0.0107206	0.00779288	0.00756231	0.0125879	0.0106726	0.022326	0.0309111	0.0241073	0.0271539	0.0335585	0.0583176	0.0473272	0.0468722	0.063296	0.0807475	0.192704
nasses	0.0639331	0.0327834	0.0430848	0.0326369	0.0330974	0.0325004	0.0243995	0.0123504	0.00742208	0.00538219	0.00526946	0.0102132	0.0172483	0.0266862	0.022155	0.0201375	0.0311491	0.0338197	0.0331179	0.0386401	0.0355914	0.0927114	0.0510024	0.0511651	0.0475809	0.0840646	0.111857
</S>	0.0356889	0.0266627	0.0267533	0.0162914	0.0146205	0.0166006	0.0137412	0.00822122	0.00519615	0.00421452	0.00413287	0.00525651	0.00839506	0.012253	0.0136558	0.0141873	0.0242506	0.039545	0.0376242	0.0502904	0.0629171	0.106258	0.0728858	0.0763055	0.0781066	0.113516	0.11243
