 	s	i	n	g	a	y	e	é	k	a	n	í	b	á	a	m	í	b	ó	n	g	o	a	b	h	i	l	ω	n	d	i	l	ω	n	d	i	</S>
le	0.00998847	0.0157534	0.0161292	0.0183778	0.0232079	0.0140247	0.0174061	0.0268172	0.0373656	0.0376491	0.0435277	0.0524132	0.0449556	0.0477308	0.0532838	0.0884879	0.0574588	0.0344112	0.0253593	0.0219754	0.018718	0.019251	0.0211992	0.0232125	0.0247556	0.0254957	0.0229722	0.0144294	0.0190306	0.0150213	0.0126498	0.0120759	0.0146536	0.0169995	0.0202051	0.0179162	0.0150913
fil	0.0143781	0.0357502	0.0348131	0.03742	0.147652	0.224509	0.172502	0.0489992	0.0315505	0.0151902	0.0128672	0.0130797	0.00966936	0.0121446	0.00790575	0.00976672	0.0147928	0.0190889	0.0222869	0.0126412	0.00843813	0.00472396	0.0050422	0.00207048	0.0045486	0.00643382	0.0075775	0.00500897	0.00926896	0.0104779	0.00729124	0.00793666	0.00871386	0.00510251	0.00476033	0.00411098	0.00148605
qu'	0.0261859	0.0166501	0.0188824	0.029511	0.0205435	0.0211704	0.0289008	0.0334414	0.0246943	0.0219217	0.0126445	0.00716953	0.00595863	0.00813062	0.0110058	0.0169093	0.0210757	0.0330201	0.0326608	0.0219305	0.0244256	0.021722	0.0569795	0.12528	0.0807239	0.0551672	0.0446773	0.0445238	0.0275159	0.0212614	0.0146549	0.0181329	0.0187513	0.00963002	0.00804285	0.0126065	0.00349772
on	0.0184843	0.0177537	0.0221702	0.0241809	0.0205767	0.0158131	0.0110289	0.0173158	0.0252048	0.0184102	0.0201238	0.0305845	0.0494765	0.0725447	0.0513243	0.0864267	0.109687	0.109598	0.0755756	0.0360241	0.013358	0.00881495	0.0160175	0.0120549	0.00988718	0.00870206	0.00596713	0.0057602	0.00379122	0.00305189	0.00409484	0.0033036	0.0050846	0.00789262	0.0105178	0.0185188	0.0308789
a	0.0393251	0.0249304	0.040728	0.0534155	0.0409519	0.0346967	0.0281811	0.0249601	0.0139352	0.0127578	0.0110765	0.0104282	0.0080029	0.0124344	0.0079605	0.0120962	0.0158316	0.0205294	0.0241334	0.0397558	0.061237	0.0528134	0.062351	0.0586913	0.0717949	0.0373117	0.0311427	0.0198879	0.0128687	0.0122927	0.00911323	0.00762598	0.00960603	0.00660448	0.00917292	0.0260275	0.0353278
utilisé	0.0835677	0.0582586	0.0475282	0.0388034	0.0358756	0.0253587	0.023938	0.0195957	0.0167488	0.0140043	0.009079	0.00858534	0.009402	0.0108942	0.00840759	0.00879357	0.0101233	0.0187252	0.0207491	0.0244928	0.0198405	0.0241455	0.0300204	0.0299763	0.0320025	0.0500164	0.0284318	0.0351252	0.0198363	0.0238992	0.0194435	0.0142801	0.0148208	0.0189244	0.0303144	0.0426653	0.0733265
pour	0.0345642	0.0327712	0.0318222	0.0299961	0.0283449	0.0189061	0.0197574	0.0186721	0.0188817	0.0192672	0.0180159	0.0172636	0.0163872	0.0187928	0.0173578	0.0169543	0.0119064	0.0137728	0.0130201	0.0162787	0.0203288	0.0161649	0.0211925	0.0253665	0.0348091	0.0262032	0.0278472	0.0295002	0.0217806	0.03334	0.0224715	0.0217278	0.0257442	0.0378686	0.0441742	0.065839	0.112909
la	0.0330609	0.0298649	0.0290274	0.0299707	0.0388365	0.0312858	0.0318058	0.0260609	0.0241881	0.02458	0.0159486	0.0135984	0.0150939	0.0187912	0.0184421	0.0212288	0.0234874	0.0266052	0.026825	0.0376367	0.0242802	0.0155944	0.0172493	0.0121566	0.0179685	0.0136953	0.0253588	0.0223792	0.02234	0.0178632	0.0245789	0.0271919	0.0289954	0.0268706	0.0417987	0.0506485	0.0946919
passerelle	0.039719	0.0475363	0.0531334	0.0526827	0.0458481	0.024771	0.0152273	0.00542308	0.00417957	0.00389941	0.00398341	0.00404638	0.00526129	0.00823307	0.00884665	0.0174354	0.0255423	0.021316	0.0228298	0.0333805	0.0197967	0.0113556	0.0115578	0.00496703	0.011161	0.0160677	0.0200262	0.0108463	0.023251	0.0156509	0.0423433	0.021972	0.0393564	0.0447427	0.0469122	0.0479897	0.168708
est	0.0739569	0.0365854	0.026064	0.0176276	0.016743	0.0165681	0.02403	0.0244461	0.025605	0.025316	0.0192955	0.0129566	0.0133177	0.0206446	0.0212757	0.0162583	0.0142377	0.011897	0.0110682	0.0124929	0.0186526	0.0218624	0.0264535	0.0243482	0.0348946	0.0262004	0.0290052	0.0283984	0.0288081	0.0340787	0.0307164	0.0202744	0.0284989	0.0373041	0.0174596	0.0327912	0.119867
