 	i	d	u	n	ú	i	y	í	í	í	d	í	l	e	b	a	m	b	á	</S>
beaucoup	0.0469224	0.0293716	0.0310496	0.0108315	0.0105617	0.0181578	0.014133	0.0196707	0.052887	0.0724866	0.103824	0.0868521	0.16439	0.0663653	0.0887902	0.0560174	0.0493592	0.0318429	0.0228937	0.0235938
de	0.121902	0.0653293	0.0533051	0.0344112	0.0658723	0.0451877	0.0368823	0.059799	0.0862409	0.160651	0.0419137	0.0149535	0.0282701	0.00705258	0.0120174	0.013117	0.0299602	0.0258534	0.03429	0.0629911
vieillards	0.058	0.0453981	0.0473452	0.0382645	0.0979834	0.041677	0.0747383	0.159234	0.103008	0.0365491	0.0407904	0.0271216	0.0291739	0.0105756	0.0137621	0.0365968	0.0295265	0.0364918	0.0384485	0.0353157
sont	0.0942737	0.0821295	0.0517124	0.0685506	0.0691543	0.0799079	0.0453594	0.0709425	0.0485237	0.0327512	0.0172268	0.00856122	0.00934021	0.0129415	0.0337853	0.046996	0.0476303	0.0507281	0.0508468	0.0786384
avides	0.0356589	0.0448617	0.0749932	0.0815963	0.0510609	0.0664564	0.0466923	0.0518133	0.0708337	0.0484606	0.0328942	0.0531725	0.0428388	0.0320751	0.036759	0.0363151	0.0326354	0.0452872	0.0365271	0.0790685
de	0.0286307	0.0280064	0.0193411	0.0284917	0.026424	0.0288426	0.0322731	0.0571363	0.073794	0.0554989	0.0433982	0.0250404	0.0580144	0.027128	0.0645214	0.0596301	0.0880878	0.0918092	0.0928099	0.071122
viande	0.0367949	0.0463042	0.0431454	0.0514557	0.0379277	0.0344479	0.0250749	0.0197813	0.027161	0.0240033	0.0224607	0.0300112	0.0250053	0.0451402	0.0616875	0.0597515	0.0823262	0.0882244	0.0738571	0.165439
</S>	0.0361813	0.0471084	0.0501633	0.0665649	0.053548	0.0497529	0.0363571	0.0252847	0.0341927	0.0216987	0.0103247	0.0121369	0.0126917	0.0180702	0.0413138	0.0331268	0.0664398	0.101204	0.0906259	0.193214
