 	e	s	i	έ	y	ó	n	g	a	n	g	a	b	ó	ó	d	z	w	e	b	í	n	í	é	d	z	e	n	d	é	</S>
qu'	0.00652337	0.00737101	0.0112992	0.0143504	0.0204956	0.0174642	0.018913	0.0137599	0.0210938	0.0203191	0.0382402	0.067354	0.0484205	0.0744106	0.0743826	0.0615298	0.035273	0.035999	0.0279787	0.0217199	0.0253638	0.0280211	0.0497911	0.0448861	0.0391742	0.0214412	0.0203296	0.0296024	0.040546	0.0293133	0.0346334
est-ce	0.0920472	0.0754001	0.0347776	0.0279775	0.0374421	0.0533681	0.0623387	0.0513107	0.0325873	0.032805	0.0246899	0.0278198	0.0388587	0.0616038	0.06495	0.0757619	0.0366084	0.0160319	0.0141891	0.00904831	0.00788074	0.0171007	0.00484723	0.0228419	0.0103566	0.0132226	0.0156017	0.00903668	0.00973201	0.0069173	0.0128465
que	0.0338772	0.0430735	0.044434	0.0312763	0.0550132	0.111654	0.0913491	0.0450996	0.0226321	0.00849766	0.00750206	0.006089	0.0051173	0.00946197	0.0166382	0.0115346	0.0141731	0.0250558	0.0268895	0.0325802	0.0277119	0.0388755	0.022417	0.0377795	0.0312152	0.025741	0.0258651	0.0255256	0.0328141	0.0413117	0.0487947
le	0.0221495	0.0276138	0.0257967	0.0201935	0.0261724	0.0428785	0.0658435	0.036747	0.0289133	0.0165844	0.0163551	0.0114672	0.0135188	0.0238178	0.0382231	0.0329203	0.0334817	0.0305193	0.0472857	0.0718251	0.0530794	0.0518355	0.0292743	0.0427298	0.0363376	0.0331576	0.0188422	0.0160738	0.0154613	0.0225098	0.0483921
féticheur	0.0191312	0.0263992	0.0267959	0.0375672	0.0339494	0.0343949	0.0374331	0.041304	0.0307724	0.0253858	0.0259635	0.0409424	0.0442306	0.0325405	0.0263806	0.0453039	0.053196	0.0807514	0.0723089	0.094871	0.0321523	0.0408464	0.0216523	0.0102011	0.00776548	0.00782665	0.0065669	0.00671876	0.00656146	0.013644	0.0164426
vous	0.0344375	0.0426355	0.0434499	0.0509197	0.0409592	0.045861	0.0410564	0.0379692	0.0229878	0.0257923	0.0216273	0.033074	0.0196499	0.0171408	0.0222484	0.0278015	0.036916	0.0372964	0.0465868	0.0252513	0.0236125	0.0186619	0.0210962	0.020671	0.025696	0.0188441	0.0216324	0.0287573	0.0307794	0.0515018	0.0650866
a	0.0565586	0.0681537	0.0696523	0.0615259	0.0480595	0.0458921	0.0411496	0.0230875	0.0135018	0.0109789	0.00959189	0.0158431	0.0128566	0.0119206	0.0106324	0.0149634	0.0177199	0.0293972	0.0357393	0.0268667	0.0282991	0.0309725	0.0253803	0.0258237	0.0192108	0.019644	0.0260999	0.0310571	0.0490265	0.0553692	0.0650259
donné	0.0922795	0.0805391	0.0701482	0.0468002	0.0320604	0.0232733	0.0222977	0.0182076	0.0134699	0.0166737	0.0137156	0.0286246	0.031073	0.0378944	0.0332683	0.0395681	0.027061	0.0242496	0.0218004	0.0110404	0.0126822	0.0139261	0.013194	0.0209328	0.018934	0.0168846	0.0298934	0.0310354	0.0441915	0.0510602	0.0632206
comme	0.158189	0.0710013	0.047645	0.0291017	0.0210052	0.0206819	0.0159441	0.0188753	0.0141414	0.0152809	0.0160337	0.0252415	0.0281267	0.0358215	0.0287264	0.029723	0.0215134	0.0212265	0.0242501	0.00918365	0.017891	0.00934432	0.0180079	0.0185559	0.0175368	0.0175664	0.0211917	0.0318167	0.0370296	0.0565857	0.102762
conseils	0.0930493	0.0689968	0.0540626	0.0413062	0.0271437	0.0154008	0.00926368	0.00802116	0.00792973	0.00826307	0.00806488	0.0106927	0.011552	0.012122	0.00876355	0.00883329	0.00894134	0.0158769	0.0137908	0.0107112	0.0147936	0.0118848	0.0136173	0.0160715	0.0203664	0.0257256	0.0376381	0.070231	0.078495	0.119927	0.148464
</S>	0.0858155	0.0780218	0.0726204	0.0544564	0.045621	0.0345982	0.0221084	0.0143801	0.00921403	0.00825144	0.00734356	0.00781432	0.0067041	0.00729235	0.00610514	0.00546298	0.00891992	0.0180852	0.0196401	0.0112561	0.0156832	0.0165095	0.016137	0.0198654	0.0208013	0.0237258	0.0259392	0.0411716	0.0617282	0.0963849	0.138343
