 	w	a	a	b	é	r	í	a	b	v	ú	ε	m	b	ó	s	i	ω	b	v	έ	</S>
il	0.0916935	0.214768	0.15801	0.103794	0.0389658	0.0716917	0.0269227	0.012169	0.0184919	0.0143229	0.0187484	0.0241484	0.0322989	0.0691577	0.037705	0.0294876	0.0141769	0.00862706	0.00515626	0.00319056	0.002759	0.00371465
apporta	0.00843108	0.00858926	0.0110785	0.0293468	0.0280986	0.0383863	0.0998129	0.0770294	0.0628087	0.0506026	0.0582397	0.075512	0.0771833	0.0538856	0.0439818	0.0336542	0.0342037	0.0957752	0.0377133	0.0275173	0.022656	0.0254935
un	0.0301148	0.03911	0.0311149	0.0474505	0.100822	0.0681392	0.0321383	0.0375368	0.0452091	0.0515821	0.0616084	0.0459683	0.0462375	0.0490868	0.0529103	0.0648125	0.0456862	0.0319399	0.03627	0.0313872	0.0298348	0.0210406
beau	0.0452005	0.0519563	0.0510299	0.0470145	0.0374603	0.0307001	0.0094615	0.00714854	0.0144947	0.0273764	0.0477179	0.042786	0.0470018	0.0443174	0.0526508	0.054512	0.050107	0.0560418	0.0482972	0.0590592	0.0814604	0.0942058
cabri	0.0541788	0.0218646	0.0258871	0.0152312	0.0124453	0.0150505	0.0186661	0.0312951	0.0379453	0.038496	0.0337555	0.0329403	0.0472936	0.0454736	0.0908662	0.0782289	0.0491513	0.0577485	0.0531137	0.0738904	0.0933132	0.0731648
à	0.0400278	0.0393528	0.0592646	0.0448777	0.0443877	0.0521982	0.0292161	0.0188494	0.0177736	0.0188282	0.0207357	0.0209787	0.0231887	0.032539	0.0483044	0.0581692	0.0623064	0.0701453	0.073465	0.0744787	0.0740201	0.0768925
ses	0.0479464	0.0480404	0.0838173	0.0870051	0.0443056	0.0398025	0.0296779	0.0106389	0.0079276	0.00819469	0.0118946	0.0135632	0.0174153	0.0253189	0.0363081	0.0497646	0.0556595	0.0689668	0.0764048	0.0782697	0.0681084	0.0909696
beaux-parents	0.0306651	0.0321352	0.0341373	0.0411228	0.0291958	0.034417	0.0323665	0.0196216	0.0130595	0.0135668	0.0247095	0.0221835	0.0202453	0.0220725	0.0351579	0.0422212	0.0500442	0.0615285	0.0837393	0.115728	0.111636	0.130447
</S>	0.0291182	0.0323943	0.0364	0.0643552	0.0354074	0.0304029	0.0331885	0.0320582	0.0237705	0.0242421	0.0209062	0.0285823	0.0321671	0.024718	0.029623	0.0280727	0.0346254	0.0374384	0.0769699	0.102155	0.0879743	0.15543
