 	i	f	i	a	l	í	í	p	á	á	w	a	d	í	í	s	á	a	l	i	l	έ	l	έ	</S>
ce	0.0116585	0.0104149	0.0118089	0.00775842	0.0182969	0.0064166	0.0110342	0.0305008	0.0553498	0.0349354	0.0222184	0.0481526	0.0670509	0.170266	0.113712	0.03917	0.0488693	0.0589563	0.0382393	0.0442157	0.0448813	0.0425004	0.0256804	0.0183629	0.0195492
masque	0.185143	0.181478	0.250758	0.107501	0.119318	0.0342206	0.018753	0.0194857	0.00674287	0.00485969	0.00313088	0.00120365	0.00380332	0.00262024	0.0014325	0.00359605	0.00358082	0.00420146	0.00322313	0.00321146	0.00828343	0.0119606	0.00802924	0.00855953	0.0049032
qu'	0.0324805	0.00761602	0.0190656	0.0205208	0.0174994	0.0404559	0.0465491	0.0362796	0.0346296	0.0412036	0.0532055	0.0169494	0.0629218	0.0683637	0.0539446	0.0675068	0.0706187	0.0612875	0.0601213	0.0670721	0.0602992	0.0308681	0.0135794	0.0128103	0.00415145
il	0.0224931	0.0414153	0.0424364	0.0374103	0.050403	0.0514675	0.0377006	0.0258967	0.0116116	0.0164444	0.0244787	0.0547594	0.0392759	0.0956561	0.0284032	0.0341931	0.0485232	0.0441914	0.0397236	0.0336277	0.0476912	0.0280352	0.042451	0.0416784	0.060033
est	0.0315335	0.0237649	0.0507117	0.0464396	0.0454289	0.0459984	0.0502133	0.0409304	0.0603473	0.0471168	0.0281309	0.0131582	0.0132378	0.023564	0.0392704	0.0411922	0.0434747	0.0284186	0.0456637	0.0339747	0.0323941	0.0403399	0.0639832	0.0546973	0.0560155
en	0.0661457	0.0363853	0.0539484	0.0476285	0.0409042	0.0203469	0.0228745	0.0263433	0.047128	0.0292805	0.0493122	0.0102699	0.0106756	0.0339447	0.0496593	0.0414378	0.0315573	0.0288894	0.0293978	0.0408913	0.0499715	0.0549578	0.0575711	0.0569988	0.06348
train	0.0576994	0.0371898	0.0513467	0.0521528	0.042931	0.0185371	0.0148275	0.0198712	0.0381865	0.0262368	0.0438082	0.0221442	0.0110329	0.0290799	0.0284201	0.0350808	0.0263226	0.0273788	0.0280996	0.0346017	0.0575647	0.0629351	0.0613239	0.075555	0.0976735
de	0.0749935	0.0926428	0.104308	0.123368	0.0689041	0.0378445	0.0333627	0.0418007	0.0389323	0.0234425	0.0129411	0.00563776	0.0028252	0.00764497	0.00731105	0.0193285	0.0190638	0.00968591	0.0183843	0.0114418	0.0148437	0.010762	0.0440815	0.0350988	0.141351
tailler	0.237102	0.1417	0.0867526	0.103818	0.0805394	0.048584	0.0293949	0.0275648	0.0109055	0.0101342	0.016815	0.00380695	0.0042706	0.00450349	0.00446137	0.00656976	0.0050029	0.0045519	0.00586089	0.00847287	0.0197639	0.0181231	0.0274969	0.0287715	0.0650337
présente	0.0633674	0.0621678	0.0660885	0.0646337	0.0584526	0.0562134	0.0530719	0.0384431	0.0277036	0.0257191	0.0247025	0.0192601	0.00815661	0.0114237	0.0106668	0.0228274	0.0172331	0.00871987	0.0205337	0.0166659	0.0272907	0.0250016	0.0518742	0.059802	0.159981
encore	0.0641513	0.0599619	0.0744276	0.0758718	0.0539387	0.061659	0.0338745	0.0251288	0.012874	0.0218935	0.0327226	0.0222192	0.008353	0.0129368	0.0172814	0.0274403	0.0119559	0.0135588	0.0201014	0.0170115	0.0332539	0.0360692	0.0559278	0.0823826	0.125004
des	0.0620202	0.0655642	0.0717287	0.0636659	0.0383061	0.0299334	0.023346	0.0206418	0.0169648	0.0192644	0.042349	0.0213484	0.00678639	0.0135321	0.0177774	0.0246916	0.0124394	0.0152965	0.017223	0.0181021	0.0299735	0.0420774	0.0734331	0.0857324	0.167802
défectuosités	0.128649	0.0729933	0.069855	0.0290648	0.0137136	0.0130438	0.0143769	0.00789865	0.0069421	0.00845717	0.0279625	0.0120115	0.00783554	0.0157325	0.0241565	0.0226038	0.0183588	0.0134719	0.0175337	0.0179446	0.0267338	0.045483	0.0628118	0.105081	0.217285
</S>	0.0740711	0.0912072	0.115995	0.0858371	0.0327736	0.0256024	0.0247963	0.0152638	0.011355	0.0113434	0.0199583	0.0135528	0.00505011	0.00809356	0.0107047	0.0163912	0.00953794	0.00851456	0.012798	0.0113854	0.0221255	0.033558	0.0565828	0.0824064	0.201096
