 	b	í	s	í	b	ó	l	é	e	b	v	u	n	á	l	o	k	y	έ	m	b	έ	k	á	s	i	m	é	m	b	ώ	s	í	</S>
nous	0.192884	0.172467	0.106413	0.0557591	0.0470057	0.0299858	0.0377223	0.0242041	0.0197318	0.0170179	0.028534	0.0293173	0.0209126	0.0206438	0.0143539	0.0114177	0.00745832	0.00602469	0.00795499	0.00726712	0.00851045	0.0102488	0.00960036	0.0144677	0.0122785	0.0107941	0.00743697	0.00850885	0.00624865	0.00691291	0.00938693	0.0113472	0.010288	0.0168962
nous	0.0726721	0.120263	0.0420307	0.0155893	0.011774	0.0218901	0.0211971	0.0394037	0.0449254	0.052627	0.0556091	0.0554361	0.0625925	0.0683777	0.063003	0.0417273	0.0307313	0.0377594	0.0185004	0.0170393	0.0148014	0.0119892	0.00888936	0.00749178	0.0121609	0.0113067	0.0111098	0.0105267	0.00626466	0.00416253	0.00295891	0.00150088	0.00152984	0.00215878
acharnons	0.0133964	0.0205852	0.0333199	0.0348236	0.0503131	0.0395764	0.0522636	0.0472995	0.0452312	0.0599589	0.0585257	0.0683096	0.0698606	0.0862262	0.0629668	0.0344488	0.0150879	0.0235533	0.02821	0.0248942	0.0223048	0.0173503	0.0127127	0.00992932	0.0112364	0.00755047	0.0081293	0.00601087	0.0068131	0.00478889	0.00621763	0.00541612	0.00703544	0.00565377
à	0.0104374	0.00774421	0.0107082	0.0117412	0.0151892	0.0273151	0.0311981	0.0401382	0.0369085	0.0514618	0.038634	0.0445885	0.0457635	0.0487039	0.0567041	0.0373128	0.0239928	0.0301576	0.0245814	0.0233164	0.0223	0.0240182	0.0205469	0.020701	0.0340944	0.0315067	0.0489779	0.0486719	0.0324628	0.0249179	0.0251053	0.0167756	0.0179795	0.0153451
écrire	0.00706917	0.00579442	0.00531928	0.00568242	0.0106021	0.0158594	0.0207331	0.0265965	0.0282327	0.0326869	0.0347984	0.0361365	0.0396941	0.0380385	0.0290871	0.0279743	0.0323443	0.0297382	0.0399927	0.0298058	0.0333476	0.0338948	0.0342542	0.0389466	0.0360589	0.0445063	0.0536971	0.0472948	0.0375468	0.0294505	0.0279451	0.0266211	0.0259739	0.0342763
des	0.00914524	0.0244852	0.014703	0.0136851	0.0204863	0.0120159	0.0165397	0.0198633	0.0177804	0.0174595	0.0188029	0.0150175	0.0170842	0.0166332	0.0164492	0.0171515	0.0230241	0.0281386	0.0361567	0.0381705	0.049514	0.0524921	0.0455406	0.0388892	0.0431597	0.073821	0.045269	0.0523519	0.0357075	0.0352595	0.0311612	0.0286503	0.0329385	0.0424536
livres	0.00488467	0.0161991	0.0177995	0.0184123	0.0236848	0.0159835	0.0216433	0.0252602	0.0191406	0.0232631	0.024245	0.0177747	0.0220866	0.0202461	0.0234753	0.0300121	0.0388738	0.047467	0.0526583	0.0580054	0.0567782	0.0488857	0.0345165	0.0276937	0.0293024	0.0618517	0.0311336	0.0398564	0.025907	0.0296322	0.0223418	0.0204272	0.0256613	0.0248971
en	0.0092297	0.026669	0.0307267	0.0302579	0.0319039	0.0259268	0.0245002	0.0232097	0.019416	0.0234983	0.0244121	0.0241578	0.0305783	0.0281546	0.0344084	0.0432369	0.0419783	0.0440249	0.0379719	0.043054	0.0386137	0.0320083	0.0249419	0.0194348	0.0222383	0.0431445	0.0224418	0.0232426	0.021286	0.026435	0.026598	0.0272324	0.0376836	0.0373835
mbochi	0.0115981	0.0179302	0.0186664	0.0148151	0.0166343	0.0113016	0.0124147	0.0135492	0.013485	0.0155381	0.0201308	0.0183864	0.0269014	0.0310115	0.036545	0.0415804	0.0404141	0.0319199	0.030696	0.0338601	0.0394155	0.0442082	0.0368135	0.0293338	0.035537	0.0627641	0.0287571	0.0258631	0.0287337	0.0345229	0.0396992	0.0363207	0.0517436	0.0489089
</S>	0.0182911	0.0196153	0.0230688	0.0370134	0.030618	0.020815	0.0178237	0.0267943	0.0241855	0.0262827	0.0238223	0.0221255	0.0200436	0.0234101	0.0215072	0.0292465	0.0311935	0.0467472	0.0398915	0.0470457	0.0487709	0.0431246	0.0381992	0.0255137	0.0216975	0.0145418	0.0132916	0.00866676	0.0228654	0.0210705	0.0210874	0.0220212	0.0302376	0.119371
