 	o	d	i	m	í	á	b	ó	r	i	i	n	g	á	p	ώ	ω	m	b	v	á	a	t	á	á	y	a	b	í	s	í	</S>
mon	0.00695498	0.00698526	0.00729506	0.00766567	0.00780161	0.00876433	0.0119417	0.0229135	0.0163377	0.0213757	0.0438861	0.0537932	0.0467839	0.0527473	0.0383217	0.0244954	0.0195846	0.0210099	0.0171589	0.0267859	0.0246452	0.0354952	0.0329862	0.0325356	0.0483546	0.0464922	0.0532005	0.0408466	0.0696137	0.0500466	0.0532979	0.0498833
cadet	0.0607609	0.044354	0.0626543	0.0489082	0.060994	0.0438558	0.0728877	0.123837	0.102868	0.0524661	0.0528931	0.0343087	0.0346198	0.0387922	0.0377428	0.024186	0.0224182	0.0202776	0.0150232	0.00743447	0.00274652	0.00268172	0.00186844	0.00453947	0.00331383	0.00415053	0.00472366	0.00398038	0.00255901	0.00321829	0.00333419	0.00160199
m'	0.0226284	0.0146926	0.0125635	0.0103745	0.0106616	0.019124	0.0283934	0.0247245	0.0228715	0.0147399	0.0147852	0.0292275	0.0677305	0.0734488	0.0423487	0.0464722	0.0323822	0.0428374	0.0464213	0.0616856	0.0384026	0.0623241	0.0347345	0.0539528	0.0819512	0.0342093	0.0196378	0.00849866	0.00988947	0.00642239	0.00775238	0.00411128
a	0.0492357	0.0376654	0.0339079	0.032302	0.0350483	0.0321892	0.0371666	0.0404304	0.0533666	0.0526183	0.0341717	0.0298466	0.042989	0.053794	0.0499086	0.0493297	0.0404101	0.03946	0.0400336	0.0280538	0.0169004	0.0180159	0.0130907	0.0116163	0.0200542	0.0147895	0.0114409	0.015557	0.011061	0.0164453	0.0144185	0.0246824
calomnié	0.031127	0.0276603	0.0329504	0.0268494	0.0271761	0.0220835	0.0222473	0.0226661	0.0258685	0.0241981	0.0227121	0.0233659	0.0278443	0.0265247	0.0379573	0.0729643	0.0751219	0.0482471	0.0520791	0.0473197	0.0409681	0.0340148	0.0281502	0.0328723	0.0151327	0.0149696	0.0164083	0.0127154	0.0156059	0.024064	0.0298844	0.038251
auprès	0.0311359	0.0374134	0.045022	0.0292109	0.03765	0.0223587	0.0234455	0.0306577	0.0358182	0.0297736	0.0344974	0.0361831	0.0374504	0.0344759	0.0352423	0.04604	0.0517059	0.041991	0.0318292	0.0169718	0.0050734	0.0110021	0.00481918	0.0182572	0.0217909	0.0254441	0.0238442	0.0401543	0.0260185	0.052389	0.0354447	0.0468899
de	0.0292796	0.0352856	0.0393246	0.0226638	0.0147883	0.0128861	0.0146981	0.0160636	0.0141847	0.0128136	0.0131935	0.0142877	0.0147966	0.0189633	0.0238954	0.0357063	0.0557227	0.063872	0.045823	0.0323397	0.0282398	0.0266567	0.0279634	0.0311711	0.0317922	0.027295	0.0270852	0.057973	0.0435505	0.0457587	0.0540149	0.0679115
notre	0.0588258	0.0391972	0.0327727	0.0203789	0.0122788	0.0093937	0.00830182	0.0085046	0.00842806	0.00805207	0.0083204	0.00845737	0.00894405	0.00916808	0.0114702	0.0218394	0.031226	0.0358484	0.025049	0.0317001	0.0167689	0.0221185	0.0190145	0.0371179	0.0483017	0.0480322	0.0548733	0.0683018	0.0688722	0.0674651	0.0714845	0.0794927
père	0.0761853	0.0501424	0.0318976	0.017501	0.0105645	0.00522335	0.00448647	0.00579328	0.00684318	0.00774298	0.00980871	0.011558	0.016865	0.0172109	0.0329672	0.0564614	0.0454929	0.0414577	0.0240181	0.0129805	0.00585495	0.005123	0.0051942	0.00410289	0.0116083	0.0215594	0.0238529	0.0265225	0.0153033	0.104561	0.0416094	0.249508
</S>	0.101863	0.0696497	0.0432786	0.02635	0.0156081	0.00954183	0.00763559	0.00805029	0.00770626	0.00714459	0.00997899	0.00977745	0.0171746	0.0115157	0.0195841	0.0410466	0.0568642	0.0498633	0.0270455	0.0205783	0.00682924	0.00866459	0.00457819	0.00798597	0.0172551	0.0213353	0.0272929	0.0422695	0.0327277	0.073639	0.0523344	0.144831
