 	e	l	a	a	s	í	l	í	y	é	é	l	a	a	s	á	w	a	b	í	s	í	i	k	y	έ	m	b	ε	é	d	i	e	b	é	</S>
sa	0.0174972	0.0190575	0.0194376	0.0166732	0.0228047	0.0170604	0.0121791	0.0229413	0.0398771	0.0315756	0.036503	0.0320631	0.0421181	0.091062	0.057442	0.0912296	0.0462239	0.0304181	0.0252122	0.0289586	0.0323022	0.0351064	0.0224916	0.00776318	0.00754209	0.0110835	0.00995912	0.00450653	0.00646532	0.00850944	0.00903522	0.0123181	0.027553	0.0294478	0.0488124	0.02677
manière	0.00496723	0.00699915	0.0104096	0.00628132	0.00903863	0.00903545	0.0265235	0.0208798	0.0244671	0.0325491	0.0365574	0.0440879	0.10911	0.0641136	0.0843579	0.0501615	0.0487219	0.0624227	0.0372575	0.0499036	0.0474469	0.0548152	0.0206201	0.0232226	0.00880796	0.0187782	0.0082407	0.00906591	0.015745	0.02579	0.0119089	0.00825891	0.00663979	0.00116243	0.000957911	0.000694279
de	0.14931	0.0684841	0.100315	0.0974947	0.0923454	0.103022	0.072388	0.0175621	0.0142145	0.0146289	0.0177851	0.0137807	0.0208007	0.0121483	0.0140518	0.0133341	0.012492	0.0206328	0.0158569	0.0172674	0.0138544	0.00892293	0.00846883	0.00428978	0.00538647	0.00560593	0.00399494	0.00381858	0.00402193	0.00632942	0.00398663	0.00581243	0.00762634	0.00569805	0.0132765	0.0109922
nous	0.0751446	0.0782169	0.0640467	0.0775323	0.0378053	0.0237385	0.0150898	0.0140885	0.0188149	0.0411839	0.0615192	0.037783	0.0256518	0.0148575	0.00995612	0.0120471	0.00847668	0.0192782	0.0204874	0.0287489	0.0332509	0.0596212	0.0240293	0.0139307	0.00893949	0.0186629	0.00944413	0.00893357	0.00750149	0.0123566	0.0155363	0.0118638	0.0107673	0.0106654	0.0169258	0.053104
apprendre	0.0524279	0.0679108	0.0806811	0.110301	0.0677604	0.0502541	0.0273684	0.0252994	0.0231506	0.0296878	0.0306844	0.0236423	0.0108237	0.0109474	0.0107629	0.011905	0.0123576	0.0207412	0.0236209	0.0285156	0.0245593	0.031973	0.0173667	0.0156906	0.0101747	0.0200461	0.0184265	0.0145447	0.0186796	0.0138446	0.0165011	0.0153248	0.0130294	0.0103997	0.0173309	0.0232656
à	0.0745732	0.0546096	0.0579374	0.076131	0.0566694	0.0294432	0.0266461	0.0217899	0.0207903	0.0324099	0.0358467	0.0322328	0.0188671	0.017767	0.0134229	0.0168168	0.008352	0.0134969	0.0123989	0.0214627	0.0236852	0.012319	0.0152497	0.0103342	0.00443664	0.0192909	0.0114903	0.0213673	0.0220761	0.0302158	0.020199	0.0360749	0.0374345	0.0186543	0.0447503	0.0307582
écrire	0.101372	0.0644196	0.0565175	0.0553533	0.0393575	0.0680028	0.0511578	0.0386981	0.0316765	0.0354094	0.0367449	0.0269706	0.0142359	0.0117118	0.00794738	0.00702634	0.00891133	0.00885038	0.00960256	0.0120683	0.0089172	0.0129969	0.0111812	0.012821	0.0112754	0.0190237	0.0151221	0.0117225	0.0112133	0.0228855	0.0144027	0.0227099	0.0248977	0.0220309	0.0410432	0.0517227
est	0.0493013	0.0388042	0.045937	0.0493645	0.0263154	0.0267127	0.0335013	0.0317988	0.0270307	0.030664	0.017375	0.0151028	0.0163895	0.0171151	0.0135958	0.0147443	0.0113655	0.0140295	0.0154147	0.0181189	0.0201079	0.00679649	0.0174658	0.0160878	0.00644936	0.0157213	0.00678421	0.00723027	0.0170863	0.0193983	0.0126225	0.0155077	0.0459522	0.0600579	0.0834874	0.136564
mauvaise	0.0223148	0.0368541	0.0792737	0.103945	0.065041	0.0497824	0.052825	0.0410015	0.0238541	0.0299373	0.013757	0.0097618	0.00867684	0.0120887	0.00908036	0.00794308	0.00847917	0.0134544	0.00900618	0.0229315	0.0168726	0.00828821	0.015773	0.0102814	0.00754451	0.0122433	0.00894828	0.0126541	0.0107105	0.0177886	0.0157285	0.0142985	0.0265683	0.0354394	0.037616	0.129237
</S>	0.0282543	0.0216053	0.0271211	0.022206	0.0178421	0.0111314	0.017012	0.0148285	0.0143661	0.0171843	0.0136004	0.0115536	0.0142872	0.0181248	0.0188684	0.0234666	0.0159592	0.0184166	0.0206187	0.0286316	0.0301366	0.0111341	0.0210263	0.0130636	0.00933116	0.0182053	0.0122522	0.0105375	0.0275273	0.0209867	0.0179287	0.0160238	0.0623277	0.0815443	0.0914312	0.181465
