 	o	k	ω	r	i	s	á	n	d	é	e	w	ú	u	n	d	a	</S>
celui	0.00398823	0.00537267	0.00565071	0.00645681	0.00854656	0.0147884	0.0272569	0.0159584	0.0166705	0.0187459	0.0265562	0.119563	0.108251	0.115583	0.0896458	0.167673	0.114003	0.135291
qui	0.289021	0.216512	0.0850968	0.069939	0.0359303	0.0382712	0.0299654	0.0287366	0.0177989	0.0120305	0.0099365	0.00366142	0.00528525	0.0192991	0.0145933	0.0216703	0.0416319	0.0606204
tousse	0.0315671	0.0234601	0.0126709	0.00792684	0.0078314	0.00917504	0.00492097	0.00525899	0.00647697	0.00686678	0.0110027	0.0204379	0.0273485	0.0434748	0.0299495	0.0711181	0.148019	0.532495
dans	0.12297	0.0990778	0.0289347	0.0195131	0.0201777	0.025061	0.0154373	0.03144	0.0186859	0.0178063	0.0354889	0.0156727	0.0135458	0.0269741	0.0368652	0.0638416	0.125573	0.282934
la	0.104607	0.0545643	0.050988	0.048131	0.0444373	0.0295091	0.0183509	0.0136789	0.0129573	0.0132743	0.0315774	0.0318056	0.027078	0.0875722	0.0590458	0.102066	0.0988253	0.17153
maison-là	0.0734409	0.0953256	0.121349	0.0683598	0.0558796	0.057532	0.0280193	0.0306503	0.0322243	0.0322627	0.0510052	0.0229704	0.0263023	0.0423965	0.0290114	0.0501321	0.0605341	0.122605
c'	0.180903	0.146372	0.0934928	0.0390647	0.0303532	0.0319924	0.0294824	0.0320162	0.0330758	0.0274341	0.0544514	0.0187276	0.0121437	0.049152	0.0200339	0.03547	0.0510625	0.114773
est	0.042295	0.0366974	0.0420854	0.0401622	0.0334605	0.0322785	0.0254545	0.0190044	0.0162356	0.0157311	0.0162894	0.0392002	0.0707398	0.081761	0.0494379	0.0716723	0.110355	0.25714
qui	0.228395	0.143114	0.0733871	0.0355898	0.0220997	0.0360708	0.0111175	0.0099004	0.00720466	0.00747917	0.00797959	0.00993232	0.018853	0.0391313	0.0476675	0.0772507	0.0741858	0.150642
</S>	0.156973	0.106847	0.0665997	0.0675286	0.0421814	0.0351836	0.014226	0.0137484	0.0122458	0.0104957	0.0152464	0.0274681	0.0357349	0.0511456	0.0570097	0.0759272	0.0707194	0.14072
