 	b	á	n	a	b	á	p	á	a	r	á	a	d	í	á	d	i	t	á	á	l	a	n	g	ó	o	ω	k	a	n	d	á	έ	</S>
les	0.0179302	0.0102434	0.0262037	0.0221565	0.0161088	0.0161949	0.00855744	0.00870879	0.0105743	0.0130945	0.0234672	0.0182078	0.0233373	0.029461	0.0424649	0.0844535	0.0877498	0.0868337	0.0837562	0.0505333	0.0640677	0.0335855	0.0371052	0.0257859	0.024677	0.0235328	0.0152471	0.0143291	0.0190519	0.0152278	0.0143481	0.0127158	0.0118743	0.00841448
enfants	0.115783	0.0896208	0.07006	0.0975854	0.082127	0.0620334	0.0285193	0.0190515	0.022701	0.0208443	0.0251279	0.0159306	0.0196087	0.0124108	0.0158525	0.0122488	0.013077	0.0236061	0.0337784	0.0119627	0.00991393	0.0142826	0.0127269	0.0184624	0.0160698	0.0169991	0.0212224	0.0206088	0.020953	0.0187883	0.0134712	0.00940862	0.00848105	0.00668239
de	0.0716965	0.0509688	0.0625874	0.0613646	0.0510199	0.0378108	0.0260477	0.0258369	0.0368706	0.0405014	0.0604707	0.0469201	0.0260366	0.0425852	0.0385992	0.0242378	0.0344769	0.0318147	0.0398205	0.030145	0.0118285	0.0160778	0.011225	0.0199047	0.0112118	0.0106357	0.0119762	0.0093026	0.0146108	0.00911434	0.00969409	0.00689457	0.0102957	0.00741679
l'	0.0117898	0.0190551	0.019112	0.0304123	0.0286913	0.0169574	0.0134211	0.0188837	0.0201067	0.0248453	0.0405313	0.0347823	0.0376872	0.0626764	0.0420487	0.0298416	0.0369289	0.0285484	0.0195054	0.0213498	0.0155142	0.0256411	0.0195372	0.0278644	0.0269508	0.0297548	0.0395759	0.0350648	0.0348067	0.0305798	0.0352395	0.0354499	0.0362728	0.0505733
époque	0.023118	0.0212423	0.0192055	0.027709	0.0252327	0.0229392	0.0219987	0.0247062	0.0276683	0.0277676	0.0364636	0.0346578	0.032874	0.0497126	0.0446287	0.0404939	0.0500301	0.0533122	0.0518648	0.0428686	0.0367849	0.0295153	0.0256441	0.0253445	0.0212153	0.023943	0.0221104	0.0194636	0.0174248	0.0157262	0.0132715	0.0169621	0.0222122	0.0318883
actuelle	0.0267279	0.0218951	0.0201066	0.0216364	0.0267785	0.0302576	0.0291146	0.0329623	0.0360108	0.0293809	0.0292029	0.0317504	0.0167043	0.0317473	0.019742	0.010682	0.016705	0.0181005	0.0199856	0.0185623	0.0254671	0.0232082	0.0278414	0.0236098	0.0370568	0.0315646	0.0340712	0.0500707	0.0488646	0.0429408	0.0345681	0.0313906	0.0438336	0.05746
ne	0.0318959	0.0241649	0.0233881	0.0243338	0.0233949	0.0285937	0.0263859	0.0329195	0.0500133	0.0385482	0.0397686	0.0413067	0.0207456	0.0128973	0.0152667	0.00789871	0.00612965	0.00511688	0.00441339	0.00890929	0.0187843	0.0159142	0.0230586	0.0149553	0.025015	0.0423069	0.0404877	0.05053	0.0508507	0.0389928	0.0410186	0.037071	0.0576343	0.0772894
respectent	0.0296897	0.0247512	0.0176098	0.0174288	0.0212832	0.0245933	0.0247528	0.0228005	0.019491	0.0157094	0.0193888	0.0158437	0.00726958	0.0132794	0.00891346	0.00537619	0.00692278	0.00870519	0.0115637	0.0150525	0.021271	0.0240081	0.0307461	0.0279623	0.0453492	0.0381864	0.0435296	0.0574008	0.0530441	0.056925	0.0637067	0.0654928	0.06666	0.0752928
plus	0.029501	0.0322661	0.0253237	0.0239827	0.0284417	0.0468923	0.0476559	0.0463379	0.038478	0.029483	0.0462609	0.0333873	0.0220634	0.0240338	0.0230215	0.0152051	0.015489	0.0220417	0.0306014	0.0207534	0.0329244	0.0196751	0.0326174	0.0177348	0.0280072	0.0179129	0.0152246	0.0142952	0.0134485	0.0163541	0.0209326	0.0291044	0.0449085	0.0956402
les	0.105823	0.0872494	0.0452594	0.0509804	0.0484785	0.0376148	0.0214259	0.0219398	0.0147188	0.0111779	0.0106442	0.0150508	0.00719378	0.00685982	0.00926207	0.00653897	0.0061831	0.00477125	0.00370696	0.0068213	0.0134049	0.0114958	0.0208877	0.0127526	0.0307169	0.0234837	0.0296125	0.0252058	0.0211338	0.0405394	0.0338988	0.0460294	0.0404351	0.128703
parents	0.0339857	0.0193886	0.0181605	0.0234851	0.0162194	0.0146493	0.0156058	0.0151275	0.0148031	0.0164331	0.0164819	0.0168547	0.0100744	0.0170393	0.0166685	0.0167843	0.0242692	0.0215252	0.0216317	0.0348938	0.0395322	0.0387003	0.0431288	0.0372836	0.0435754	0.0407351	0.0387481	0.035836	0.0313953	0.0358897	0.041988	0.0465846	0.0606972	0.0818245
</S>	0.060034	0.0290926	0.0192138	0.0209921	0.0211522	0.0212035	0.017262	0.0119541	0.00908693	0.0137504	0.00904105	0.0096332	0.00543031	0.0080353	0.00590796	0.00470291	0.00677989	0.00732785	0.00680186	0.0116541	0.013883	0.0201066	0.0276983	0.0308192	0.0544881	0.0429526	0.0543813	0.0509422	0.0515995	0.0605081	0.0579402	0.0682516	0.0705168	0.0968564
