 	n	g	á	b	ó	l	í	i	f	u	n	g	á	l	o	t	ó	n	g	á	n	d	é	e	</S>
je	0.132357	0.308775	0.27801	0.0657753	0.0202156	0.00597505	0.00832618	0.00599857	0.00465644	0.00368429	0.00534671	0.00676504	0.00987867	0.0109421	0.0106078	0.0106514	0.00863969	0.015326	0.0322519	0.0162576	0.00843547	0.00834958	0.0073951	0.00836662	0.00701249
suis	0.0413428	0.0237008	0.0209491	0.0398537	0.0746566	0.0799192	0.043016	0.046209	0.113443	0.0814041	0.0855998	0.0524971	0.0445643	0.0222457	0.0186829	0.0116017	0.00728069	0.0290169	0.0346472	0.0284675	0.0334193	0.020802	0.0257343	0.0104174	0.0105289
en	0.0128983	0.020819	0.0411274	0.0443667	0.0328853	0.0296904	0.017015	0.0145849	0.0290821	0.0295843	0.0373968	0.0376686	0.0496732	0.0495378	0.0298486	0.0506688	0.0485071	0.0420916	0.0324634	0.0676707	0.0859661	0.0609538	0.0362207	0.0470129	0.0522665
train	0.00945227	0.00753908	0.0101326	0.00735164	0.0145668	0.031359	0.0637144	0.0507458	0.0256195	0.0267389	0.0216024	0.0232349	0.0235155	0.0343827	0.0969913	0.146032	0.151096	0.0825757	0.0170508	0.0174469	0.0219642	0.017279	0.0153971	0.0500158	0.0341965
de	0.0887431	0.0822267	0.0509068	0.026428	0.0155896	0.0257866	0.0289892	0.0358906	0.0273466	0.0309731	0.0444066	0.0550769	0.059804	0.0466588	0.0163637	0.0349282	0.0282353	0.026489	0.0373721	0.0508974	0.0306485	0.0239954	0.0187612	0.0269163	0.0865662
me	0.0565819	0.0529932	0.023224	0.00803425	0.0264365	0.0353426	0.0476517	0.0630384	0.121643	0.0912159	0.0609684	0.0509226	0.0652708	0.0535599	0.0232239	0.034761	0.0226323	0.0266256	0.0237677	0.0219551	0.0192088	0.0136201	0.0145385	0.0160938	0.0266898
battre	0.0482076	0.022669	0.0186795	0.0124355	0.0201002	0.019318	0.0216717	0.0202057	0.030028	0.0283065	0.0282453	0.0355491	0.0627538	0.0572224	0.0326076	0.0585159	0.046518	0.0548127	0.0428952	0.0475935	0.0611914	0.0496117	0.0519663	0.0592132	0.0696823
pour	0.0525599	0.0294693	0.0171346	0.0127046	0.0120917	0.0107447	0.0149841	0.0213693	0.0245335	0.0190265	0.0155965	0.0223085	0.0424012	0.0313188	0.0191515	0.0277786	0.0270977	0.0275824	0.0537083	0.0664575	0.0858368	0.0586038	0.076616	0.07727	0.153654
construire	0.0488592	0.0314289	0.0185191	0.0192626	0.0188853	0.0159548	0.0154545	0.0159669	0.0125879	0.0163435	0.0177287	0.025745	0.0390155	0.0383627	0.0406526	0.0501546	0.0720874	0.0597904	0.0855317	0.101091	0.0630546	0.0406274	0.0471216	0.0479275	0.057846
ma	0.0858002	0.0386288	0.0216624	0.018742	0.0185185	0.0140287	0.0100625	0.0117731	0.0114051	0.0143225	0.00947215	0.0128627	0.0283582	0.0160839	0.015429	0.0224304	0.0299077	0.0246347	0.0296485	0.062644	0.0884882	0.0885826	0.0935055	0.111753	0.121255
maison	0.0368199	0.0148526	0.00919771	0.0100656	0.00677269	0.00357954	0.00563431	0.00682717	0.00547018	0.00651572	0.00453103	0.011038	0.0138693	0.0139752	0.0280807	0.0322655	0.0487048	0.0339509	0.0385088	0.0848947	0.100268	0.121068	0.103333	0.126313	0.133464
</S>	0.0715862	0.0199669	0.0167992	0.0127995	0.0199322	0.0175929	0.0204298	0.0170544	0.0128699	0.0127385	0.0129758	0.0128055	0.0241353	0.0186681	0.0314995	0.0451401	0.0595808	0.0568115	0.0397472	0.0575116	0.0642088	0.0696033	0.0586202	0.111373	0.11555
