 	o	y	ú	r	u	y	e	e	d	í	s	ε	n	g	έ	l	á	a	l	á	r	á	i	k	á	n	d	á	m	á	w	ó	n	g	ó	l	o	</S>
une	0.0211906	0.0358343	0.027635	0.01993	0.0137463	0.0122242	0.0155459	0.0169505	0.018702	0.0380888	0.0272875	0.0270126	0.0510222	0.0252364	0.0315374	0.0267602	0.0259853	0.0187824	0.0142591	0.018813	0.0209229	0.0113424	0.0131573	0.0129763	0.0104445	0.0116081	0.0132213	0.0215173	0.0287886	0.0292419	0.0289441	0.0242209	0.0346298	0.0385567	0.0508054	0.0687285	0.04468	0.0496705
femme	0.0480963	0.237687	0.245335	0.156473	0.0557127	0.0211163	0.0203542	0.0117647	0.00745511	0.00778715	0.00431031	0.00717344	0.0176034	0.00813535	0.0250047	0.00937068	0.0142135	0.0150747	0.0186481	0.00621446	0.00617826	0.0061055	0.00382285	0.00408902	0.00518423	0.00365418	0.00261794	0.0018708	0.00183295	0.00285372	0.00313745	0.00388021	0.00494897	0.00504843	0.00244101	0.00202874	0.00141927	0.00135542
enceinte	0.0351475	0.0144914	0.00632844	0.00836348	0.0204597	0.0118766	0.0219401	0.0195008	0.0157047	0.0166882	0.0298332	0.0330103	0.0690073	0.0845051	0.0463017	0.0306584	0.027093	0.016706	0.0254208	0.0249195	0.0194137	0.0234257	0.0359887	0.0254633	0.0342414	0.0568773	0.0569509	0.0287378	0.0180587	0.0181505	0.0116941	0.0247873	0.0235114	0.015271	0.0105197	0.0139802	0.013152	0.0118202
porte	0.00778393	0.00910768	0.0118683	0.014937	0.0251289	0.0164364	0.0186052	0.0140897	0.00966422	0.00886774	0.0105141	0.0131991	0.0185988	0.033911	0.0321114	0.0346654	0.0464917	0.0443902	0.0444662	0.0719886	0.0587499	0.0501175	0.0651424	0.0657291	0.0572844	0.0536142	0.0257174	0.0167973	0.0131345	0.0185218	0.00763255	0.00761712	0.00847408	0.00903794	0.0084203	0.00828372	0.0169024	0.0219978
des	0.019759	0.0202481	0.0187132	0.0251131	0.0445148	0.0322298	0.0313011	0.022646	0.0143345	0.0165436	0.0190439	0.0182125	0.0234117	0.0344255	0.0393145	0.046365	0.048163	0.0501746	0.0595349	0.0529834	0.0495089	0.0314174	0.0314023	0.0425654	0.0484381	0.0343475	0.0237945	0.0139083	0.00989055	0.00650998	0.00600535	0.0045862	0.00545384	0.00488189	0.00637603	0.00600792	0.0091795	0.0286942
habits	0.0283948	0.0290607	0.0310623	0.0317011	0.0527397	0.04943	0.0413147	0.0412491	0.027904	0.0391889	0.0567453	0.0600436	0.0307737	0.0269601	0.0224026	0.0154015	0.01932	0.0162381	0.0186974	0.0125939	0.0114701	0.00917008	0.00719202	0.0101639	0.0171157	0.0163659	0.0181534	0.014794	0.0139089	0.0142528	0.0216623	0.0227891	0.0226059	0.0207605	0.0240447	0.0255889	0.0230763	0.055664
amples	0.0612889	0.0544196	0.0433771	0.0357194	0.0588291	0.0557497	0.0484465	0.0477389	0.0378455	0.0406305	0.0509168	0.0481429	0.0218996	0.0274078	0.0122841	0.00907331	0.0235075	0.0213799	0.0196805	0.0155727	0.0141485	0.00784877	0.0082677	0.0103631	0.0118936	0.011498	0.0122931	0.00948294	0.00984181	0.00756339	0.0125505	0.00896005	0.0125697	0.0141976	0.0129374	0.0156187	0.0199758	0.0660789
</S>	0.0610827	0.0533663	0.0460823	0.0430547	0.0313268	0.0302486	0.0269898	0.0303751	0.0375004	0.0410157	0.0394148	0.0374412	0.0190447	0.0159247	0.0105729	0.012853	0.0161717	0.012558	0.0106633	0.0079729	0.0131475	0.00787316	0.00777665	0.00909152	0.00860691	0.0090964	0.0136321	0.00978868	0.00858161	0.0105178	0.0147528	0.0212674	0.019819	0.026162	0.0309544	0.0474051	0.0494836	0.108384
