 	y	e	s	ú	á	y	a	á	m	í	b	h	o	l	i	s	a	l	á	b	a	r	e	á	t	s	ω	</S>
jésus	0.0100925	0.00693492	0.0046225	0.00875066	0.0129576	0.0251056	0.0387692	0.0417886	0.0568414	0.0573697	0.0381843	0.0282206	0.0592702	0.0414611	0.0630624	0.0502988	0.0457948	0.0429404	0.0477505	0.051475	0.0488989	0.0548758	0.0537245	0.0234095	0.0306158	0.0186719	0.0197916	0.0183213
était	0.0708893	0.0576713	0.042795	0.0338817	0.0452956	0.0649893	0.0679837	0.0436278	0.0757068	0.0548726	0.0424228	0.0527376	0.0472577	0.0421985	0.0663427	0.0293704	0.0211307	0.0179425	0.0173968	0.0277814	0.0224411	0.0148434	0.0120151	0.00697452	0.00531612	0.00394424	0.00554948	0.00662156
venu	0.0345162	0.0475464	0.0521858	0.0625763	0.0659041	0.0599694	0.0556851	0.0783918	0.0710631	0.0457857	0.030093	0.0284449	0.0234525	0.0322151	0.0341139	0.0407184	0.044595	0.0341178	0.0275869	0.028021	0.0228868	0.0169047	0.0139775	0.00885488	0.0103541	0.00867103	0.00869085	0.0126778
pour	0.0484281	0.082025	0.0762362	0.0561753	0.0466401	0.0465364	0.0328073	0.0355793	0.0783444	0.0768413	0.068667	0.0495659	0.032816	0.0318007	0.0247248	0.0209881	0.0151175	0.00784218	0.00945272	0.00757518	0.00824699	0.00960931	0.0132426	0.0107517	0.0161607	0.0175098	0.0254732	0.0508424
sauver	0.0135267	0.0116159	0.0127312	0.0190173	0.0155989	0.0189549	0.02005	0.023483	0.0306488	0.0391248	0.036167	0.0567244	0.0438964	0.0558075	0.053317	0.0560188	0.0549086	0.0520549	0.0527758	0.0469183	0.0480376	0.0383303	0.0271809	0.021251	0.0258938	0.0284709	0.0334175	0.0640776
tout	0.0201168	0.0159724	0.0170708	0.0187696	0.0153448	0.0161534	0.0171688	0.018501	0.0209534	0.0232182	0.0279391	0.0493341	0.0360484	0.0548075	0.0527317	0.0571093	0.056627	0.0459296	0.0451013	0.0432252	0.0443841	0.0346037	0.025819	0.0269973	0.0374312	0.0440198	0.0498694	0.0847533
le	0.0431779	0.038053	0.0344152	0.0308992	0.0263359	0.0275546	0.0298474	0.0307963	0.0279654	0.0270896	0.0276039	0.0243018	0.0213382	0.0211996	0.0242917	0.0283197	0.0307254	0.0296152	0.0302783	0.0423587	0.0462846	0.0391111	0.0345352	0.032217	0.0478215	0.0535405	0.0618028	0.0885205
monde	0.0546946	0.0511424	0.0418294	0.0416614	0.0406963	0.0384317	0.0268009	0.0358782	0.0296656	0.029678	0.0255085	0.0219629	0.0193423	0.0210436	0.015056	0.0143549	0.0142193	0.0144413	0.0177479	0.0283193	0.0338976	0.0537686	0.053225	0.0426616	0.0404751	0.0518109	0.0661507	0.0755358
</S>	0.0391264	0.0276919	0.0229096	0.0233542	0.0242445	0.0249662	0.0221271	0.0276382	0.0315777	0.0385418	0.0339916	0.0198709	0.0178	0.0241181	0.0240793	0.0245875	0.0270529	0.0244865	0.0304075	0.0483599	0.0436761	0.05898	0.0563542	0.0541838	0.0541183	0.0565218	0.0578413	0.0613922
