 	o	k	w	é	m	á	n	g	ó	o	m	ó	o	l	ω	ώ	w	a	w	ú	r	á	i	b	h	a	n	á	a	í	b	a	á	</S>
l'	0.0120964	0.0113327	0.0131018	0.0123923	0.0172659	0.0228904	0.0294727	0.0321474	0.0302687	0.0350296	0.043649	0.0513799	0.0486426	0.0652197	0.0885153	0.0408648	0.0251199	0.0271789	0.02854	0.03107	0.0184539	0.0218609	0.0156023	0.02027	0.017733	0.0188783	0.021064	0.0246248	0.0292027	0.0323368	0.0364222	0.0352627	0.0224907	0.0196196
esprit	0.0134784	0.0322675	0.0772125	0.131028	0.174578	0.0378066	0.159851	0.106367	0.0971139	0.053518	0.0314779	0.0345119	0.0100212	0.00868759	0.00352692	0.00169788	0.00181491	0.00355086	0.00150222	0.00147417	0.00193643	0.000546995	0.0014407	0.00245616	0.00253445	0.000696595	0.000621969	0.00215291	0.0022341	0.000807292	0.00138022	0.00104094	0.000290831	0.000374675
de	0.0204144	0.0185443	0.0351661	0.0397374	0.0506964	0.0365462	0.0561319	0.0277144	0.0138485	0.0189264	0.0129127	0.0189803	0.0202319	0.0208721	0.0162381	0.00822326	0.0199902	0.0244758	0.0201652	0.0281426	0.0166486	0.0365128	0.0468265	0.0271753	0.0270803	0.0289675	0.0471455	0.124137	0.0380994	0.0217173	0.0234143	0.0354106	0.0113694	0.00753745
sa	0.0236647	0.0439855	0.0502714	0.0468836	0.0559503	0.0487206	0.0284164	0.0187717	0.0207835	0.0190433	0.0251166	0.0268327	0.0167481	0.022649	0.0121283	0.0138889	0.0107597	0.018859	0.0340133	0.0352845	0.026683	0.0386594	0.041225	0.0160971	0.0263003	0.034148	0.0390639	0.0252508	0.0165863	0.0223792	0.025977	0.0259281	0.0220684	0.0668623
mère	0.0111978	0.00813484	0.0174791	0.0224129	0.0318285	0.0193913	0.0305472	0.0259741	0.0267484	0.0377886	0.041337	0.0455358	0.0405476	0.0557436	0.0373938	0.0213153	0.0502336	0.0347706	0.0395191	0.053057	0.0262815	0.0264544	0.0385879	0.0466087	0.0438642	0.0280464	0.0488214	0.0200629	0.0101341	0.00885348	0.0100722	0.0171739	0.0066563	0.0174264
l'	0.00976153	0.00734448	0.00594676	0.00635649	0.00854509	0.0108114	0.0105528	0.0143596	0.027713	0.0423746	0.0348343	0.049702	0.0320932	0.0415313	0.0276023	0.0352846	0.0259697	0.0284847	0.037592	0.066356	0.0529926	0.0550332	0.060529	0.0418488	0.0525025	0.0263581	0.0256276	0.0270176	0.0315706	0.0127804	0.0166128	0.0231975	0.0173739	0.0333393
envoûte	0.0314279	0.028101	0.0316402	0.023048	0.0235472	0.0384954	0.0297535	0.0367089	0.0374552	0.044487	0.0341965	0.0348373	0.0318169	0.0342277	0.0308604	0.0318615	0.0196569	0.0359421	0.0353046	0.0422961	0.0436396	0.0251081	0.0376028	0.0282026	0.0190689	0.0108289	0.010674	0.0160632	0.0217943	0.00853921	0.0103591	0.0269704	0.0185457	0.066939
depuis	0.0312446	0.044723	0.0539099	0.045444	0.0454702	0.0508282	0.0460569	0.049275	0.0477636	0.0397427	0.0294885	0.0349931	0.0288198	0.0302841	0.0111843	0.0162818	0.00747026	0.0100332	0.0187125	0.0114515	0.0297299	0.0161546	0.0335458	0.0138537	0.0158859	0.0117279	0.0117027	0.0105823	0.0135057	0.00929273	0.0100088	0.0186827	0.0224008	0.129749
deux	0.0487122	0.0455652	0.0474383	0.0408588	0.0373891	0.0410289	0.0245116	0.0242962	0.0261111	0.0312273	0.0202656	0.0242611	0.0156572	0.0149799	0.0100508	0.0123649	0.00879262	0.0143691	0.0193309	0.0315161	0.0453693	0.0191351	0.028452	0.0130254	0.0115853	0.0110206	0.0170203	0.0246282	0.0240606	0.0123589	0.0160877	0.0569512	0.0455078	0.136071
ans	0.067688	0.0436801	0.0368914	0.0327817	0.0284975	0.028454	0.0172161	0.0138908	0.00944544	0.0127791	0.0112158	0.0152303	0.0135312	0.0116822	0.0125658	0.01459	0.0184244	0.0230963	0.0216081	0.0477804	0.0556844	0.0300412	0.0291687	0.0128829	0.00608903	0.00723685	0.0102748	0.0287337	0.0473146	0.0135218	0.0199099	0.0708125	0.0626821	0.124599
</S>	0.0440439	0.0410902	0.0331725	0.0220191	0.0201482	0.0192764	0.016801	0.0149899	0.0160812	0.0156247	0.0114164	0.0192271	0.0248559	0.0280465	0.020714	0.018438	0.0155435	0.0188429	0.0319665	0.0362253	0.0504444	0.0366486	0.0446055	0.0330782	0.0314016	0.0393796	0.0291976	0.0445014	0.0237313	0.0236151	0.0261071	0.0318477	0.0353797	0.0815389
