 	b	á	n	a	b	á	n	d	z	é	s	i	á	m	i	s	á	á	o	k	ú	b	h	á	o	k	y	ε	s	í	m	ó	ó	k	a	n	g	í	n	g	á	</S>
les	0.0480422	0.0577249	0.0435756	0.0532576	0.0225234	0.0247454	0.0104592	0.0134754	0.0173503	0.0197011	0.0153448	0.040094	0.0792924	0.114378	0.109373	0.0479302	0.0255137	0.0125139	0.00940678	0.00894883	0.0093829	0.0106755	0.0061188	0.012905	0.00759049	0.00819709	0.00911675	0.00622853	0.00884647	0.00834261	0.00601864	0.00697263	0.00607568	0.00748984	0.00820403	0.00858279	0.0129005	0.0137944	0.0168571	0.0190712	0.0206656	0.0123123
jeunes	0.0393604	0.0490902	0.0706894	0.0706475	0.0750948	0.0646623	0.0597092	0.0285488	0.0180888	0.0197407	0.0151066	0.01741	0.0146038	0.013731	0.0149559	0.0124365	0.00934017	0.00783241	0.00707096	0.00704515	0.00549992	0.00521869	0.00585239	0.0124901	0.0155177	0.0218396	0.0188686	0.0278143	0.0342178	0.0396751	0.0409776	0.0321658	0.0300645	0.0226344	0.0177761	0.0129205	0.0121787	0.00589469	0.0107061	0.00572556	0.00469335	0.00210374
ont	0.0796257	0.0349139	0.0444505	0.0495119	0.0572019	0.0807838	0.0428566	0.0360966	0.014864	0.0176228	0.017486	0.0315887	0.0135613	0.0102029	0.0129463	0.0117417	0.013547	0.00544032	0.00692111	0.00897893	0.00576602	0.00841613	0.00842537	0.00735623	0.0100499	0.0134872	0.0140606	0.0169193	0.0203153	0.0214505	0.0230246	0.02245	0.0297291	0.0380928	0.0355154	0.0267858	0.0358055	0.0178952	0.0217892	0.012372	0.00962062	0.0103313
déjà	0.00846919	0.00852769	0.016289	0.0109593	0.0165892	0.00686552	0.0122269	0.0128321	0.00943675	0.0112598	0.00922276	0.0113672	0.0117902	0.0094373	0.00723556	0.00708449	0.00566148	0.00507742	0.00562096	0.0080078	0.00904199	0.0122847	0.0121996	0.00928061	0.0144432	0.0170534	0.0199467	0.0253428	0.02973	0.0401327	0.0337039	0.045847	0.076041	0.0719685	0.103193	0.0520184	0.0673911	0.0472175	0.0562237	0.0266	0.0195502	0.0168298
troué	0.0289165	0.0294508	0.0285096	0.0193989	0.0373291	0.0322567	0.0324313	0.0321935	0.0226449	0.0253219	0.0268944	0.0221629	0.0235403	0.0245378	0.0173834	0.0224001	0.0303741	0.0274012	0.0269113	0.0290946	0.0288725	0.0288931	0.0279098	0.0247389	0.0217502	0.026957	0.0221725	0.022085	0.0191846	0.0136116	0.0153896	0.0192137	0.0303887	0.027472	0.0172199	0.011191	0.0118619	0.00496252	0.0174393	0.0096464	0.0221154	0.0377713
le	0.0349635	0.0171622	0.0136304	0.0162826	0.0194747	0.0156767	0.0162287	0.0244148	0.0146573	0.0109283	0.0125497	0.0141746	0.0105226	0.0137748	0.014707	0.0114289	0.0143416	0.0108186	0.0133597	0.0116135	0.0177877	0.0134728	0.0283829	0.0145346	0.0243723	0.0392498	0.0301438	0.0416245	0.0480439	0.0381381	0.0310559	0.0266095	0.0247026	0.0204596	0.0170378	0.0155908	0.0122205	0.0254861	0.039842	0.050122	0.0499177	0.0804949
barrage	0.0305991	0.012221	0.00974714	0.0117483	0.0175544	0.016313	0.0147596	0.0155209	0.0100757	0.00960136	0.00795485	0.00770446	0.00406281	0.00485156	0.00456358	0.00803454	0.0209832	0.0189883	0.0262694	0.0213181	0.0284906	0.0264614	0.0354634	0.0361811	0.0364826	0.0376522	0.0364654	0.039441	0.0422796	0.0375649	0.0358613	0.0346818	0.0346704	0.0333872	0.0295348	0.031101	0.0235849	0.0237519	0.0326283	0.029888	0.0298903	0.0316664
que	0.0213901	0.013072	0.00923785	0.0102428	0.00861864	0.00736233	0.00842534	0.0102199	0.00822434	0.00649532	0.00431998	0.00318832	0.00233304	0.00196471	0.00249018	0.00305729	0.00959844	0.00803332	0.0148851	0.0119251	0.0163904	0.0177362	0.0308544	0.018329	0.0343112	0.0452135	0.03935	0.0422019	0.0582977	0.056557	0.0711618	0.0802036	0.0817042	0.0357793	0.0196091	0.014332	0.017972	0.0161961	0.028441	0.0290996	0.03387	0.0473058
j'	0.0215253	0.0106017	0.00695566	0.0127845	0.0179555	0.0289132	0.0251486	0.0255962	0.0112034	0.0149679	0.00948617	0.0108754	0.00847684	0.00531134	0.00545341	0.00642909	0.0131473	0.0132215	0.0243409	0.0243013	0.0257212	0.0293585	0.0439139	0.0277892	0.0335748	0.04272	0.0297398	0.0317013	0.0380164	0.027659	0.0298194	0.0199784	0.0271268	0.0214136	0.0148478	0.0206363	0.023809	0.0258654	0.0559524	0.0408156	0.0445709	0.0482753
avais	0.0756381	0.0287227	0.0173414	0.0141083	0.0114939	0.00923411	0.00899313	0.00692813	0.0111254	0.00959582	0.0126435	0.00744364	0.00663156	0.00467592	0.00495286	0.0080853	0.0168475	0.0201723	0.024549	0.0266666	0.0245583	0.0301212	0.030946	0.0203753	0.0280838	0.0200504	0.0196192	0.0182288	0.0206432	0.0176084	0.0200581	0.0292467	0.0422387	0.0318596	0.0236598	0.0169005	0.0290334	0.0183005	0.0282164	0.0364115	0.0570554	0.110936
