 	i	b	h	é	m	b	a	l	í	í	d	w	e	b	á	a	í	s	ú	u	o	b	é	</S>
la	0.0632818	0.0295131	0.0185121	0.0151936	0.0133365	0.00824865	0.0116881	0.0175063	0.0410345	0.0854512	0.0520607	0.0633803	0.0970045	0.0560961	0.0454101	0.052781	0.0580936	0.0598269	0.0527827	0.0465525	0.0341486	0.026418	0.0307558	0.0209234
promenade	0.0853963	0.123912	0.263929	0.24854	0.112485	0.0424878	0.0279817	0.0123906	0.0356095	0.00558861	0.00613961	0.00306136	0.00349572	0.00220434	0.00204075	0.00312795	0.00606326	0.00665365	0.00262903	0.00159458	0.00150902	0.00130023	0.000879576	0.000979977
à	0.0541045	0.0695344	0.0554345	0.0594427	0.0540173	0.0675853	0.0538315	0.0284115	0.00955211	0.0237174	0.0152264	0.0354388	0.0294787	0.0201836	0.0618791	0.0500277	0.0472022	0.0527652	0.0650816	0.053633	0.0436258	0.0190123	0.0191745	0.0116398
laquelle	0.0220839	0.0506187	0.0885565	0.126025	0.0654108	0.049163	0.0396806	0.0567672	0.0448516	0.0248425	0.0236816	0.0292843	0.0349331	0.051624	0.050626	0.0277597	0.0169017	0.0217375	0.0301111	0.035011	0.0359857	0.0270849	0.0202414	0.0270179
ils	0.0718609	0.0551657	0.0615832	0.051387	0.0417555	0.0372012	0.036107	0.0382549	0.0303391	0.0477815	0.0380764	0.0240962	0.0272595	0.0200729	0.0320903	0.0377753	0.038199	0.0396945	0.0447712	0.0252594	0.0287018	0.0416586	0.0359297	0.0949793
sont	0.0517252	0.044106	0.0514595	0.068425	0.0667834	0.0493885	0.047436	0.0478707	0.0292243	0.0184557	0.0201454	0.0304839	0.0306072	0.0453671	0.0421185	0.0254493	0.0265037	0.0313	0.0363643	0.0333755	0.039105	0.0434299	0.0374067	0.0834692
partis	0.0860633	0.0631478	0.0725658	0.0849698	0.0760969	0.0497256	0.0296597	0.0181489	0.0114164	0.00552062	0.00729442	0.0150045	0.00987787	0.00784277	0.00950884	0.0131074	0.0317999	0.0512057	0.0542061	0.0450145	0.0464661	0.0536348	0.0482697	0.109452
s'	0.0844244	0.0614859	0.0508986	0.0410297	0.0429016	0.0394045	0.0232202	0.0152686	0.00984675	0.00422917	0.00911449	0.0183204	0.0226918	0.0216785	0.0290837	0.0250467	0.0284617	0.0392119	0.0495251	0.0598039	0.0753518	0.0744706	0.0653335	0.109197
est	0.142165	0.0967822	0.0975517	0.0645076	0.059299	0.0273246	0.0124253	0.00793021	0.00710311	0.00318402	0.00525017	0.00956252	0.00851612	0.00821923	0.0128209	0.00913552	0.0122046	0.0253829	0.025607	0.0392818	0.0546836	0.0784995	0.0788785	0.113685
mal	0.107014	0.0797089	0.0771226	0.0579184	0.034869	0.0129834	0.0061348	0.00431268	0.00340563	0.00242703	0.00283133	0.00862777	0.0105252	0.0141649	0.0110021	0.010292	0.0167784	0.0295881	0.0285621	0.0461865	0.063321	0.102565	0.117416	0.152243
terminée	0.0494479	0.0361989	0.0306532	0.0230077	0.0144226	0.0103185	0.00639741	0.00500001	0.00332219	0.0026604	0.00286396	0.00533855	0.00739842	0.0177739	0.0186364	0.0213738	0.0486161	0.103747	0.0831695	0.101502	0.0925289	0.100683	0.0883578	0.126582
</S>	0.0724922	0.0577886	0.0636176	0.053935	0.0409965	0.0295457	0.0172355	0.0125537	0.00859856	0.00534383	0.00870543	0.013937	0.017231	0.0264306	0.0251849	0.0202509	0.0195566	0.0296257	0.0464191	0.0506465	0.0727666	0.0905065	0.0882805	0.128352
