 	m	b	í	m	b	a	y	é	é	d	í	l	a	m	b	ó	s	i	y	a	d	á	o	k	o	y	é	e	b	h	í	s	á	d	z	é	m	i	</S>
l'	0.0132322	0.0196644	0.0175886	0.0178699	0.0198933	0.017843	0.0149176	0.0134609	0.0206026	0.0385553	0.0578684	0.0734825	0.0577798	0.0532582	0.0187334	0.0417908	0.0393035	0.0247301	0.0239069	0.0223765	0.0184095	0.0191003	0.024046	0.0243022	0.0222903	0.0212147	0.0230584	0.0229125	0.0175894	0.0196326	0.0173671	0.0176436	0.0199556	0.0169386	0.0172796	0.0203549	0.023102	0.0229597	0.0249854
embonpoint	0.00965622	0.0347279	0.0655623	0.0794714	0.0655149	0.0738901	0.0595117	0.0720556	0.0413217	0.034079	0.0785817	0.0518625	0.0296003	0.0321901	0.0120467	0.0487822	0.0416302	0.0159695	0.0180243	0.00726058	0.00868661	0.00543686	0.00478235	0.00465459	0.00272569	0.00312637	0.0012933	0.00222056	0.00236732	0.00381171	0.00912392	0.00801605	0.0131231	0.0215522	0.0103818	0.00987859	0.010474	0.00391534	0.00269083
qu'	0.0625175	0.0440104	0.0321445	0.0370635	0.0449422	0.0359544	0.0254702	0.0188986	0.0123449	0.00953155	0.00543763	0.00340806	0.00252651	0.00526627	0.0119964	0.0208635	0.021705	0.0285037	0.0373206	0.0401369	0.0568313	0.0631502	0.0483868	0.0394358	0.0416918	0.0349142	0.0263177	0.0240489	0.0195968	0.0169077	0.0213075	0.0299315	0.0168044	0.0139162	0.0101686	0.00820937	0.00643975	0.0109872	0.0109119
a	0.019773	0.0246603	0.0200941	0.0120839	0.00726139	0.00521824	0.00530881	0.00477207	0.00535709	0.00717118	0.00719789	0.00982838	0.00802251	0.0122459	0.0150958	0.0782098	0.0632907	0.0742749	0.0535466	0.0345755	0.0467535	0.0206263	0.0252376	0.0270099	0.0261068	0.030174	0.0258542	0.0341	0.0169809	0.0204689	0.0186504	0.0115813	0.0207942	0.0201984	0.0190975	0.0274866	0.0265636	0.0460157	0.0683121
la	0.0238921	0.0206583	0.0232452	0.0230671	0.0261429	0.0214372	0.0139525	0.0164979	0.0126648	0.0125037	0.0189494	0.00916861	0.0052882	0.00836658	0.0188868	0.048753	0.0545973	0.0762711	0.0879398	0.0942181	0.0834182	0.0568095	0.0489637	0.0324086	0.023389	0.0233098	0.0163342	0.00993618	0.00924535	0.00987754	0.00635713	0.00518358	0.00796327	0.00606059	0.00450023	0.00623705	0.00649264	0.0115697	0.0154432
chèvre	0.0245478	0.0224261	0.0386631	0.0508161	0.0665019	0.0452467	0.032356	0.0340977	0.0172819	0.0119026	0.0174208	0.0097109	0.0085762	0.0128577	0.0196067	0.0309686	0.0422889	0.0402749	0.0274426	0.0276757	0.0456692	0.0333262	0.0308178	0.0330419	0.0214805	0.0274381	0.025907	0.015616	0.0193816	0.0154905	0.0152549	0.0122286	0.0139115	0.0119073	0.0135003	0.0129394	0.0168697	0.0204399	0.0341166
de	0.0299981	0.0156133	0.0151903	0.0129075	0.0118646	0.00738516	0.00493276	0.00568566	0.00549972	0.0040879	0.00481577	0.00505937	0.00768186	0.00939235	0.0195759	0.0228963	0.0409229	0.0352226	0.0280994	0.0236549	0.0192915	0.0207347	0.0312009	0.0522901	0.0415076	0.0594917	0.0404895	0.044175	0.0226684	0.0311749	0.0178196	0.0128611	0.0219519	0.0324504	0.0284319	0.0413902	0.0436718	0.0521391	0.0757734
monsieur	0.0728521	0.0504592	0.0568293	0.0556129	0.0412911	0.0272232	0.0235145	0.0361439	0.026049	0.0237984	0.0240247	0.0206358	0.0157253	0.0129711	0.0094942	0.0134121	0.0161001	0.0125882	0.0106045	0.00815309	0.0158921	0.0122937	0.0174078	0.0298532	0.02211	0.0485869	0.0260536	0.0231282	0.0169089	0.0175808	0.0129985	0.00403595	0.00882477	0.0136575	0.0180162	0.0184018	0.0279054	0.0327804	0.0760818
oko	0.0611635	0.0541183	0.0392823	0.0229965	0.0119962	0.00980114	0.00897198	0.00717461	0.00928952	0.00810209	0.00905475	0.0113239	0.00847751	0.00907063	0.00862394	0.0120337	0.0101123	0.0094248	0.00649608	0.00499495	0.00720714	0.00490437	0.00841089	0.0134102	0.0135238	0.0270018	0.0209352	0.0280106	0.0237185	0.0342472	0.0204717	0.0110687	0.0195539	0.0332201	0.0412082	0.0579494	0.0722055	0.0849343	0.15551
cache	0.0413388	0.0427858	0.0301784	0.0170094	0.0129428	0.010925	0.0106651	0.0113477	0.0132126	0.010741	0.00825847	0.00930235	0.00777241	0.00947743	0.0192229	0.0162603	0.0145422	0.014058	0.0116072	0.0168337	0.0183348	0.0135005	0.0129653	0.0181882	0.0188426	0.0229744	0.0259645	0.0401398	0.0297945	0.0451333	0.0359793	0.0310341	0.0368152	0.0304945	0.0276893	0.0320341	0.0268966	0.0364343	0.168303
sa	0.0671579	0.0458173	0.0285986	0.0137389	0.00687232	0.00492276	0.00540635	0.00547252	0.00715124	0.00479207	0.00433707	0.00600254	0.0049159	0.00636542	0.00976927	0.0185611	0.012796	0.00882875	0.0158012	0.0151798	0.0225645	0.0175082	0.0178019	0.0277424	0.0253003	0.0398135	0.0368188	0.0373006	0.0323799	0.0368969	0.0388121	0.027823	0.0341721	0.0432579	0.0390742	0.041813	0.0365703	0.0451842	0.106679
grossesse	0.0979487	0.0380188	0.0250358	0.00838476	0.00370754	0.00349443	0.00277849	0.00345659	0.00393361	0.00353768	0.00377918	0.00513654	0.00631027	0.00977819	0.0169795	0.0156406	0.0140619	0.013569	0.0114298	0.00964335	0.00906738	0.0115526	0.016684	0.0221643	0.0221155	0.0241345	0.0158805	0.0284797	0.0134346	0.0239311	0.0204285	0.0208158	0.0421897	0.0720868	0.072129	0.0884052	0.0724822	0.0447472	0.0826466
</S>	0.0736981	0.0414435	0.0232609	0.00871076	0.00630048	0.00802878	0.00789765	0.0102881	0.0119695	0.00630242	0.00626702	0.00564226	0.00642991	0.00605975	0.00790405	0.007616	0.00742193	0.0035142	0.00277727	0.00321648	0.00697229	0.00753563	0.00750815	0.0158585	0.0123813	0.0222198	0.0175939	0.0368766	0.0279837	0.0586082	0.049467	0.0271443	0.0527753	0.0678382	0.0692237	0.0677637	0.0556047	0.0363845	0.105511
