 	e	l	á	á	s	í	l	í	y	é	é	l	á	á	s	í	n	g	ó	o	w	a	é	p	έ	ε	b	a	r	e	e	s	ε	</S>
la	0.011766	0.0206663	0.0264014	0.0300198	0.0229703	0.0143496	0.00982507	0.031142	0.0429927	0.0418833	0.0586484	0.0878598	0.0922925	0.0832015	0.0524569	0.0375828	0.0169487	0.0190781	0.0171765	0.0217938	0.0223235	0.0167198	0.0263232	0.0114081	0.0160072	0.0207648	0.00984858	0.0202854	0.0206688	0.0223116	0.0194055	0.019149	0.0183849	0.0173442
manière	0.0028888	0.00538728	0.0121017	0.0115076	0.0252153	0.0323362	0.0161401	0.0145024	0.0303209	0.0427841	0.071152	0.0747283	0.0643289	0.0886884	0.050241	0.058043	0.0813551	0.0587475	0.0339349	0.0683742	0.0564268	0.02791	0.0238472	0.0168021	0.00522635	0.00440674	0.003659	0.00677021	0.00355326	0.00263734	0.00326422	0.00125028	0.0010679	0.00040082
dont	0.0782213	0.048764	0.0289454	0.0234922	0.0250545	0.0169754	0.0138059	0.0085619	0.00674285	0.00761128	0.0108113	0.0220503	0.0366591	0.0463383	0.060048	0.0851077	0.0701211	0.0612429	0.0417784	0.058024	0.0521664	0.0329181	0.0316245	0.0348986	0.0119949	0.0116341	0.0119696	0.00837335	0.00833824	0.0058661	0.0072336	0.00890178	0.0104626	0.0132625
sa	0.0390816	0.0443717	0.0422838	0.0193817	0.0202454	0.0113136	0.00817366	0.0127199	0.0125294	0.010402	0.0170988	0.0289235	0.0383767	0.034703	0.0360046	0.0484068	0.0695127	0.0408118	0.0628185	0.0600782	0.0713614	0.103533	0.0241588	0.0379375	0.0119697	0.00596931	0.00514591	0.00356003	0.00401641	0.00405294	0.00309673	0.0075144	0.010206	0.0502406
mère	0.0392646	0.0232574	0.03273	0.0322099	0.0857859	0.0683481	0.0391649	0.0274666	0.0199488	0.0183906	0.0353323	0.0365531	0.0270144	0.0231636	0.0285415	0.0331099	0.0410405	0.0350018	0.0224514	0.0417804	0.0273039	0.0369591	0.032449	0.0381869	0.019831	0.0163197	0.0129927	0.00845803	0.00923062	0.00768478	0.0106918	0.0111298	0.0161676	0.0420394
l'	0.0457353	0.0401311	0.0483943	0.0591313	0.0695481	0.0631161	0.0578147	0.0392971	0.0297445	0.0209054	0.0197688	0.0152423	0.0105574	0.00925783	0.00795428	0.0106664	0.0210912	0.0216669	0.0149348	0.0228993	0.0182544	0.0273913	0.0216867	0.0288672	0.0231564	0.0320238	0.0305317	0.026049	0.0338661	0.0245529	0.0207134	0.0230435	0.0243725	0.0376341
avait	0.0690636	0.0514091	0.0394794	0.0329911	0.0407334	0.0446436	0.0382095	0.0211967	0.0186588	0.0175881	0.0278382	0.0175342	0.0150188	0.0107994	0.00982951	0.0118875	0.0188524	0.022796	0.0234666	0.0228001	0.0101512	0.013033	0.0101858	0.0136803	0.0221375	0.0291719	0.0182974	0.0285629	0.0297679	0.0287943	0.0386027	0.0446612	0.058109	0.100049
d'	0.0877148	0.0511924	0.0447116	0.0457928	0.0392776	0.062167	0.0703501	0.0401084	0.0344067	0.0252482	0.0203402	0.0134097	0.008341	0.0077008	0.00544294	0.00653224	0.0141903	0.0124362	0.00942452	0.0118749	0.00344201	0.00458169	0.00494804	0.00847419	0.0118625	0.0168399	0.0142059	0.0222846	0.0303708	0.031563	0.0341412	0.0509721	0.0440448	0.111607
habillé	0.0450835	0.0405431	0.0377816	0.0393157	0.0208988	0.0203438	0.0244741	0.0217391	0.0189332	0.0214616	0.0166881	0.0115193	0.0101283	0.0109069	0.00966201	0.0101048	0.0225961	0.0151961	0.017565	0.0119628	0.00914088	0.00450064	0.00453855	0.00757582	0.013228	0.0218896	0.0213911	0.0276673	0.0313974	0.040416	0.0547002	0.0667456	0.0787508	0.191154
a	0.0893198	0.0673004	0.0349935	0.020498	0.0119789	0.00981864	0.00942155	0.00932769	0.0105561	0.0129091	0.00925707	0.00707846	0.00649212	0.0075527	0.007941	0.00991869	0.0205793	0.0230718	0.0290587	0.0152057	0.0165194	0.00662085	0.00557055	0.0114857	0.0132006	0.023328	0.0276447	0.0272387	0.0273281	0.0330269	0.0535518	0.0850943	0.102477	0.154634
plu	0.108759	0.0409884	0.0104213	0.0051162	0.00481797	0.00499996	0.00524836	0.00579113	0.00673188	0.00881046	0.00677821	0.00484119	0.00504622	0.00621851	0.00810146	0.0123627	0.0240491	0.0386705	0.0233488	0.0166406	0.0156607	0.00688459	0.00592016	0.00538868	0.00767773	0.00943447	0.0126808	0.0200478	0.0238516	0.0287527	0.0933653	0.114836	0.134774	0.172984
aux	0.0963431	0.0545608	0.0339556	0.018984	0.0129853	0.0144976	0.0130776	0.00842385	0.0099154	0.00575973	0.00453467	0.0050241	0.00335892	0.00386049	0.00386702	0.00507754	0.012029	0.0187416	0.0136088	0.0225537	0.00560159	0.00612934	0.00471883	0.00696687	0.0102324	0.0136529	0.0102594	0.0281591	0.0395472	0.0468329	0.0887283	0.112693	0.121307	0.144013
gens	0.0450458	0.0243074	0.0128064	0.00569496	0.00441034	0.00490203	0.00449022	0.00490887	0.00656558	0.00765264	0.00761504	0.00609252	0.00563121	0.00587124	0.00692225	0.00869853	0.0122801	0.0145262	0.00891153	0.0147244	0.00243199	0.00187021	0.00678716	0.00486134	0.0109402	0.0165382	0.0160145	0.0390151	0.055345	0.0729421	0.134214	0.129663	0.139776	0.157544
</S>	0.0385622	0.0221632	0.0158431	0.00927123	0.00639128	0.00598653	0.00562529	0.00568299	0.00650757	0.00675905	0.00552164	0.00389556	0.00360319	0.00360313	0.00389445	0.00473822	0.0108349	0.0103479	0.011332	0.0117964	0.00515398	0.00548312	0.00556532	0.00987022	0.0155839	0.0261103	0.0302541	0.0487064	0.0612967	0.0828916	0.111648	0.125649	0.128824	0.150604
