 	a	s	é	i	k	y	e	b	h	é	k	y	e	b	h	é	b	á	a	b	έ	r	έ	a	k	ω	í	</S>
les	0.0985738	0.0500639	0.032628	0.0400238	0.0404363	0.0389126	0.0398483	0.0342605	0.0410086	0.0411076	0.0409707	0.0549547	0.0702761	0.0560788	0.0406487	0.0388691	0.0232144	0.019855	0.0196009	0.0165081	0.0174195	0.0217199	0.0269103	0.0181538	0.0183084	0.0169687	0.022663	0.0200163
danseurs	0.0583495	0.0731018	0.0756087	0.137276	0.127262	0.113225	0.0732185	0.0222009	0.0419736	0.0380048	0.0112023	0.0155584	0.0137503	0.0120969	0.0130229	0.0177608	0.0211126	0.0143697	0.0168404	0.0210471	0.0174484	0.0166423	0.0121819	0.00834816	0.00901483	0.00716084	0.00677094	0.0054508
de	0.065907	0.0412633	0.0568629	0.0449438	0.045589	0.0645958	0.0935526	0.0985606	0.104915	0.0890268	0.0586053	0.0596511	0.0285008	0.0164643	0.0149226	0.0201642	0.0107734	0.00586076	0.00660545	0.0062798	0.00868347	0.0143764	0.00968652	0.0076816	0.00738349	0.00529776	0.00705817	0.00678786
kyebé-kyebé	0.0236302	0.0337684	0.054108	0.0364268	0.0418385	0.044876	0.0533946	0.0620719	0.0704041	0.0719923	0.0624666	0.0538826	0.0317071	0.0267802	0.033567	0.0280151	0.0238701	0.0110951	0.0218763	0.0129942	0.0112276	0.0156184	0.0162938	0.0157603	0.0225066	0.0247392	0.0283005	0.0667887
obtiennent	0.0419725	0.0467277	0.0436493	0.040179	0.0402199	0.0426659	0.0374795	0.0324178	0.02597	0.0205828	0.0183776	0.0223263	0.024148	0.0366218	0.0495735	0.0416752	0.0284599	0.0117027	0.0183713	0.0190036	0.0229647	0.0332075	0.038491	0.0457798	0.0457152	0.0375224	0.0525318	0.0816634
un	0.0224396	0.0351617	0.0398842	0.0349297	0.0459031	0.0493314	0.058599	0.0761679	0.0736859	0.0759567	0.0662833	0.0533888	0.0303838	0.0286319	0.0316969	0.0386577	0.0267697	0.017389	0.014388	0.0141224	0.0129296	0.0167784	0.0164198	0.0195606	0.0188071	0.0184006	0.0214749	0.0418583
rythme	0.05274	0.0496444	0.0397698	0.0384293	0.0366332	0.0392156	0.0356741	0.0257435	0.0249026	0.0267868	0.0371875	0.0351432	0.0423138	0.0341417	0.0359257	0.033	0.0303407	0.0113352	0.0124601	0.0249867	0.0293763	0.0367528	0.0396303	0.0417655	0.0440823	0.0422487	0.0392855	0.0604844
en	0.0238936	0.0190705	0.0176254	0.017297	0.0163786	0.0170778	0.0175452	0.0225111	0.0221316	0.0323929	0.0465624	0.0403336	0.052199	0.0525401	0.0487745	0.0322624	0.031824	0.0215771	0.0377101	0.0437586	0.0305861	0.0315847	0.0392453	0.035555	0.0500679	0.0644822	0.0588824	0.076131
battant	0.063113	0.0549247	0.0497425	0.0444235	0.0519007	0.040118	0.0270408	0.0112561	0.018662	0.0232695	0.0334615	0.0202965	0.0290572	0.0279273	0.0189301	0.0120144	0.0131326	0.0079047	0.00669256	0.0102761	0.00812819	0.0116869	0.0217312	0.0266281	0.0639652	0.0790165	0.0638415	0.160859
la	0.0407397	0.0288764	0.0378371	0.0254066	0.0315549	0.0332299	0.0353395	0.0278923	0.0260461	0.015865	0.0167438	0.0153068	0.0176188	0.0169088	0.0173129	0.0222654	0.0238151	0.02994	0.0527117	0.0290735	0.0193801	0.0264395	0.0378847	0.037467	0.0739512	0.0835905	0.0702725	0.10653
main	0.0305438	0.0429106	0.0332099	0.0441735	0.0261999	0.0147569	0.0125984	0.0102355	0.0105049	0.00891175	0.00870728	0.00752311	0.00996079	0.01473	0.0113922	0.00673324	0.00661571	0.00479901	0.00581223	0.0156155	0.0163943	0.0328882	0.0715482	0.0823059	0.0963151	0.0985113	0.0983794	0.177723
sur	0.0440781	0.0592864	0.0554441	0.0490927	0.0408485	0.0265961	0.0195915	0.0113501	0.0106794	0.00814143	0.00995874	0.00458087	0.00492278	0.00489189	0.00812851	0.0162455	0.0221117	0.0212892	0.0274276	0.034405	0.0169525	0.0230752	0.0363802	0.0420756	0.0593618	0.0809522	0.0692756	0.192857
le	0.0316588	0.0293946	0.0517672	0.0209383	0.0338754	0.0363884	0.0303838	0.0164802	0.0130066	0.00726346	0.00769581	0.00489935	0.00451822	0.00531716	0.00738914	0.0168098	0.0262298	0.0324785	0.0463479	0.0422854	0.0384474	0.0459133	0.0507242	0.0633388	0.0861238	0.0854232	0.0740936	0.0908078
bras	0.0173812	0.0196789	0.0186305	0.0156917	0.0143639	0.0113078	0.00754212	0.00350439	0.00494335	0.00419746	0.00627012	0.0070422	0.0121568	0.0163034	0.0201242	0.0185413	0.0171244	0.0105368	0.0119245	0.0378408	0.030793	0.0542021	0.0780403	0.0967149	0.108576	0.112842	0.110491	0.133234
gauche	0.0336126	0.0282182	0.0254274	0.0134928	0.0134791	0.010877	0.00888743	0.00524245	0.00514465	0.00475729	0.0066301	0.00571532	0.0100791	0.00844256	0.0103331	0.0193425	0.0273221	0.0304753	0.031469	0.0395055	0.0260943	0.0230218	0.0314032	0.0518539	0.0603553	0.0773717	0.0608435	0.330603
plié	0.0233252	0.0159283	0.016723	0.00951537	0.0114098	0.00849329	0.00757781	0.0043746	0.00362833	0.00362145	0.00536541	0.00469833	0.0061829	0.00474268	0.00585288	0.0140946	0.0199743	0.0224372	0.0306306	0.0389192	0.0344778	0.0315389	0.0375627	0.0607938	0.0766767	0.0948986	0.0786306	0.327926
</S>	0.0174193	0.022189	0.0242497	0.0112005	0.00978929	0.00907854	0.00902813	0.00671404	0.0126571	0.0130433	0.0161935	0.00827191	0.0070564	0.00959521	0.0148096	0.0153034	0.0193344	0.0192867	0.0225694	0.0551627	0.0414858	0.0417534	0.0601192	0.0817348	0.0771374	0.0879403	0.076558	0.210319
