 	e	k	u	n	g	a	y	á	a	n	d	z	á	a	é	b	h	i	y	é	e	y	a	á	m	á	l	á	a	b	e	n	g	i	</S>
une	0.0105363	0.0116883	0.0158921	0.0233012	0.0216985	0.0256653	0.0187682	0.0299146	0.0399426	0.0414863	0.0326502	0.0653878	0.0293437	0.0418346	0.0308156	0.0501413	0.0343378	0.0366956	0.0211975	0.0194563	0.0161945	0.012636	0.0156908	0.0198527	0.0217295	0.0280724	0.0272762	0.0365176	0.0334328	0.0348358	0.0353999	0.0306513	0.0339933	0.031065	0.0218982
bande	0.0411691	0.0922147	0.0577001	0.0272861	0.0218785	0.0195004	0.0143903	0.010573	0.0104529	0.0306144	0.0270841	0.0914069	0.027589	0.0863664	0.0689777	0.0790685	0.0643117	0.0784887	0.0486274	0.0296108	0.00735658	0.00542928	0.00358953	0.00372901	0.00454283	0.00253654	0.00363566	0.00706594	0.0105879	0.0093601	0.00576394	0.00448024	0.00213599	0.00162088	0.000854702
de	0.0167275	0.0128231	0.0190584	0.0280121	0.0359546	0.0431322	0.0538515	0.0475406	0.0399073	0.0415596	0.0310226	0.0186763	0.0121279	0.0101313	0.00969586	0.00666689	0.0106947	0.0148449	0.0114291	0.0175083	0.022274	0.0351607	0.0498134	0.0476315	0.0564485	0.0827964	0.0707437	0.0552135	0.0355302	0.021908	0.0173282	0.0100284	0.00432135	0.00616792	0.00326934
buffles	0.0271409	0.0481866	0.0566836	0.0566114	0.0616507	0.0511312	0.0631917	0.064097	0.0525913	0.0636927	0.0524534	0.0372563	0.027927	0.0152911	0.0157635	0.0165761	0.0181623	0.0191376	0.01531	0.0163109	0.0209768	0.0198051	0.0133099	0.0145228	0.0148277	0.0236197	0.0130899	0.0151892	0.0108794	0.0153786	0.00824936	0.0155327	0.00682572	0.00741104	0.0212168
se	0.0556184	0.0380778	0.0343552	0.035816	0.0354019	0.0340269	0.0339149	0.0335479	0.029895	0.0333065	0.0272469	0.0294636	0.0378215	0.0258568	0.0242493	0.0293416	0.0228724	0.0244481	0.0261734	0.0270619	0.0303427	0.0347869	0.02892	0.0308714	0.0267485	0.0310154	0.0187304	0.0202657	0.0169063	0.0146067	0.0126591	0.0159153	0.0201315	0.0213622	0.0382415
dirigea	0.0403109	0.0291009	0.0172191	0.0141809	0.0115655	0.0143246	0.0187468	0.0109154	0.0153453	0.0215841	0.0255555	0.0203255	0.028396	0.0335786	0.0491879	0.0369396	0.0396353	0.0453198	0.0442973	0.0378737	0.0374153	0.0379389	0.0313481	0.0256931	0.0324829	0.0255872	0.0212261	0.0248035	0.0269848	0.02459	0.0284587	0.0263069	0.0370615	0.0267662	0.0389344
vers	0.0277735	0.0231196	0.0271371	0.033592	0.0365989	0.0379657	0.047001	0.0439884	0.0409797	0.0392079	0.0392815	0.0264282	0.0287218	0.0208878	0.0273485	0.0136262	0.0199587	0.0199772	0.0149839	0.0147504	0.0221636	0.0310785	0.0250573	0.0216626	0.0315833	0.0215652	0.0183068	0.0186041	0.023289	0.0232559	0.0276289	0.0299255	0.0349753	0.0342456	0.0533309
les	0.0641545	0.0453753	0.038457	0.0421014	0.0464056	0.0405075	0.0286331	0.0269858	0.0255091	0.0283955	0.0264697	0.0213863	0.0201585	0.0155642	0.0142597	0.0111931	0.0107253	0.00983305	0.0107548	0.0146734	0.02423	0.021466	0.0176966	0.0117292	0.0200788	0.0151398	0.0222191	0.0207837	0.0225864	0.0317552	0.0249669	0.0500308	0.0306556	0.0439819	0.101137
chasseurs	0.163392	0.0849779	0.0505731	0.0170032	0.00898702	0.00579844	0.00504373	0.00828898	0.0111305	0.016571	0.0134442	0.0131606	0.0163993	0.0160971	0.0172991	0.0207317	0.0172313	0.0214964	0.0308889	0.0475083	0.0370778	0.018971	0.0146457	0.0109944	0.0124159	0.00704306	0.0151523	0.00995625	0.0173767	0.03108	0.0181602	0.0377428	0.0270476	0.0416753	0.114638
</S>	0.127788	0.0537188	0.0345726	0.0341105	0.0297312	0.030109	0.0236393	0.0208152	0.0144058	0.0170883	0.015777	0.013987	0.0189727	0.011491	0.00766563	0.00623067	0.00570325	0.00609791	0.00701133	0.0133963	0.0272927	0.0285314	0.017575	0.0169811	0.0284484	0.0282851	0.0271954	0.0198771	0.0229759	0.0341785	0.0272179	0.0543823	0.0332699	0.0442782	0.0971994
