 	a	m	b	ω	s	í	b	á	m	b	o	n	d	z	i	á	d	í	b	o	a	o	b	h	e	r	a	k	a	á	</S>
les	0.0289223	0.0455261	0.0316631	0.0256468	0.0368658	0.0248177	0.0364466	0.0322474	0.0417953	0.0394122	0.039841	0.0385859	0.0384055	0.0453867	0.0338925	0.0365333	0.0341248	0.0624803	0.081318	0.0344708	0.0316146	0.0120234	0.0114463	0.0147961	0.0217833	0.026018	0.0267365	0.0237918	0.0179553	0.0152831	0.0101696
mbochis	0.0284419	0.0210427	0.0241319	0.030102	0.0299615	0.0389341	0.0417876	0.0352834	0.0274994	0.0455034	0.0844356	0.0792777	0.0877006	0.134874	0.0419938	0.041609	0.0164887	0.0314786	0.0247577	0.0233094	0.0192553	0.0168299	0.0135185	0.0105608	0.00877386	0.0104191	0.0130823	0.0076562	0.00499206	0.00380448	0.00249507
de	0.0295926	0.0269002	0.0331154	0.0304802	0.0407989	0.0608368	0.0496711	0.0879353	0.0474952	0.0479108	0.0445346	0.0386036	0.0452459	0.0426558	0.0543059	0.0304489	0.0421946	0.0343722	0.0314812	0.0204105	0.0158026	0.0152584	0.0145261	0.0132554	0.0179636	0.0209464	0.0158606	0.0124677	0.0141676	0.0136988	0.00706322
boundji	0.0108744	0.0123489	0.0193651	0.0280712	0.0574468	0.0500577	0.0404041	0.073708	0.0552624	0.0737129	0.0594101	0.0548121	0.051901	0.0265289	0.0144616	0.00933976	0.0100924	0.00660051	0.00898455	0.0119322	0.0175332	0.026381	0.0363265	0.0357631	0.0421996	0.0309889	0.033723	0.0312303	0.0253745	0.0242985	0.0208669
ne	0.0230782	0.0173957	0.0137669	0.0195993	0.021684	0.0241081	0.0256551	0.0269841	0.0291418	0.0291834	0.0305181	0.0336205	0.0365173	0.0340502	0.0403538	0.0479021	0.0574775	0.0338077	0.047618	0.0450119	0.0426856	0.0381339	0.0370178	0.0292322	0.0302149	0.0273295	0.0298456	0.0257352	0.0268769	0.03407	0.0413846
connaissent	0.00752162	0.00972931	0.0122123	0.0188921	0.0451061	0.0353846	0.0339649	0.0431377	0.0431259	0.0504911	0.0378031	0.0387752	0.0353397	0.0262429	0.030573	0.0207726	0.0214321	0.0121124	0.0170074	0.018243	0.0288788	0.0247327	0.0358986	0.0392553	0.0470544	0.0474393	0.0379166	0.0374658	0.0472613	0.0556615	0.0405689
pas	0.0308534	0.0215706	0.0148903	0.0170593	0.0216805	0.0247667	0.0269641	0.030991	0.0293126	0.0352991	0.0349745	0.0326666	0.0337614	0.0264886	0.0343336	0.0268526	0.025845	0.0154836	0.0259181	0.0283881	0.0352242	0.0377978	0.0465786	0.0495556	0.0449451	0.0387692	0.0526142	0.0526276	0.0265695	0.035576	0.0416426
la	0.0211229	0.0170562	0.0156283	0.0226359	0.0252349	0.0235922	0.0287323	0.027912	0.0261657	0.0211375	0.018025	0.0177481	0.0190261	0.0176424	0.0123759	0.0125266	0.0142901	0.00818368	0.00914498	0.0119133	0.0234638	0.0324139	0.0484151	0.0636077	0.0497315	0.0500308	0.0484202	0.0644253	0.0716704	0.0694607	0.108267
poterie	0.0306162	0.0237478	0.0210448	0.0359283	0.0325157	0.0176766	0.0127332	0.0107433	0.0115376	0.0111019	0.0189743	0.0176447	0.0172893	0.0230469	0.0113747	0.0168471	0.0331221	0.035701	0.0620122	0.0700625	0.0609119	0.0373966	0.0426776	0.0404175	0.0191075	0.0161849	0.0146621	0.0435164	0.020744	0.0486569	0.142004
</S>	0.0213134	0.0195498	0.0246737	0.0373469	0.0316127	0.0243503	0.0228417	0.0234327	0.0176493	0.0154974	0.0100074	0.0126655	0.0140353	0.0128708	0.013855	0.0128876	0.0123795	0.0079643	0.00767524	0.00798754	0.0111638	0.0131707	0.0274961	0.0408823	0.0511787	0.0586737	0.0451111	0.076655	0.0811539	0.10469	0.139229
