 	b	á	n	a	b	á	b	a	a	b	á	a	l	ώ	b	h	ώ	b	á	n	a	b	á	y	ú	r	u	ó	k	ó	ó	y	a	l	e	k	ώ	ώ	l	i	</S>
sur	0.0215782	0.0359266	0.0408381	0.027994	0.022634	0.0153983	0.00847688	0.0109302	0.0158246	0.0197656	0.0273958	0.0310804	0.0379602	0.0518988	0.0609447	0.0492273	0.0318204	0.045413	0.0452683	0.0480447	0.0410574	0.0396081	0.0324999	0.0167976	0.0295673	0.0181536	0.0176177	0.0157346	0.018523	0.00971949	0.00856488	0.0121192	0.0172712	0.0141979	0.0107362	0.0079006	0.00947885	0.00786211	0.00814772	0.00923628	0.00678656
le	0.126108	0.0939042	0.0754582	0.032497	0.0367228	0.0234379	0.0238678	0.01821	0.0154174	0.0171573	0.0158758	0.0245721	0.0270849	0.0424665	0.0689647	0.0324796	0.0123621	0.0174719	0.0167046	0.011442	0.015207	0.0116551	0.0126533	0.0101539	0.0221901	0.0127024	0.0159353	0.0110568	0.01789	0.0265206	0.0182396	0.0231704	0.0132335	0.0127471	0.0131177	0.00467775	0.0060263	0.00319283	0.00246675	0.00391353	0.0110451
chemin	0.0721195	0.0727753	0.0834704	0.0502517	0.0431627	0.0323373	0.0351558	0.0666729	0.0346631	0.0243948	0.0281552	0.0164318	0.00935559	0.00606796	0.00823776	0.00315175	0.00260648	0.00465546	0.00456378	0.00269687	0.00371147	0.00558103	0.012714	0.00906337	0.0153022	0.0297037	0.0227122	0.0185975	0.0147425	0.0118806	0.0183286	0.0220053	0.0281544	0.0520078	0.0389071	0.0257786	0.0310462	0.00956055	0.00544268	0.00818533	0.0156486
de	0.0336107	0.0269624	0.0239317	0.0172544	0.0159507	0.0133593	0.014443	0.0233189	0.0214136	0.0172715	0.0202546	0.0333063	0.0542219	0.055095	0.0394533	0.0236882	0.0369697	0.0232076	0.0185745	0.0112506	0.0151177	0.0189741	0.0210491	0.0283428	0.0238528	0.021393	0.0205052	0.0232823	0.0189111	0.0241722	0.0295716	0.0181039	0.0246868	0.0183866	0.0291541	0.0195575	0.01854	0.0173711	0.0210623	0.0230643	0.0413637
l'	0.0166626	0.0148334	0.0152266	0.0146352	0.0157268	0.0230643	0.0241483	0.0267285	0.0328444	0.0318875	0.0334046	0.03292	0.0368365	0.0335809	0.047256	0.0255501	0.0227139	0.0446999	0.0330756	0.0272865	0.0253029	0.0174334	0.021119	0.0217697	0.0261846	0.0218195	0.0205479	0.0222952	0.0218058	0.0124924	0.0168046	0.0128213	0.0143763	0.013891	0.0158325	0.0136248	0.0136265	0.0121736	0.0147809	0.0293913	0.0788251
école	0.0317689	0.016202	0.0232189	0.0177596	0.0133643	0.02545	0.0184173	0.0161625	0.0145182	0.0167192	0.0133573	0.0152602	0.0166441	0.0184388	0.0216901	0.0281025	0.036059	0.0479012	0.0438044	0.0370667	0.030874	0.0294687	0.0308038	0.0261573	0.0270824	0.0287127	0.0242821	0.0285387	0.0279716	0.0185769	0.0233959	0.0219285	0.0194258	0.0209532	0.0249106	0.0164418	0.0172428	0.0174864	0.0164133	0.0251756	0.0522528
les	0.0214812	0.0139578	0.0154087	0.0147999	0.0130261	0.0236615	0.0326587	0.0403088	0.0457588	0.0401244	0.0404707	0.041145	0.0339492	0.0221229	0.0160028	0.010833	0.0129887	0.0110642	0.0102233	0.00889321	0.0106152	0.00917585	0.0147808	0.0149391	0.0167918	0.0168751	0.0186387	0.019169	0.021957	0.0255355	0.0322013	0.0260807	0.0241948	0.0196933	0.034702	0.0269112	0.0252945	0.0325897	0.0233759	0.0361573	0.0814423
jeunes	0.0206871	0.0132823	0.0130254	0.0112709	0.0147983	0.0201595	0.0136309	0.0116483	0.0110707	0.0106819	0.0122407	0.0156027	0.0151457	0.0147804	0.014925	0.0160652	0.0172806	0.0182207	0.0161121	0.0131844	0.0139383	0.0156153	0.017306	0.0209622	0.0251745	0.0211532	0.0255019	0.0312932	0.0349029	0.036521	0.0485383	0.0504342	0.0421791	0.0327006	0.0349064	0.0237212	0.0312262	0.0385934	0.0356886	0.0524462	0.0733848
garçons	0.0509724	0.0187531	0.0177538	0.014536	0.0173031	0.0201168	0.0172888	0.0121636	0.0104892	0.0122492	0.0119206	0.0158912	0.0158195	0.0132713	0.0131353	0.0115096	0.0146802	0.00877239	0.00793671	0.00750561	0.0102292	0.00855069	0.01641	0.0178472	0.0191437	0.0287757	0.0300474	0.027879	0.0329413	0.0347423	0.0470654	0.0478336	0.0464359	0.0431037	0.0427573	0.0397219	0.0393697	0.0372227	0.0303144	0.0386574	0.0488831
provoquent	0.0362221	0.01942	0.0154591	0.0167366	0.0208098	0.0238558	0.0209294	0.0151557	0.0126392	0.0132206	0.0130439	0.0128072	0.0114997	0.00884936	0.00876321	0.00728945	0.00893459	0.00549404	0.00493714	0.00620185	0.00834857	0.00641115	0.013051	0.0117167	0.01261	0.0149542	0.0191305	0.0174003	0.0217349	0.0242238	0.0395864	0.0393982	0.0436413	0.0345325	0.0370583	0.0587907	0.0604641	0.0616696	0.0686052	0.0642313	0.0601727
les	0.0289512	0.0197604	0.0120167	0.0121414	0.024456	0.0274196	0.0272219	0.0248838	0.01938	0.0217095	0.0181981	0.0140882	0.0130929	0.0113858	0.0113573	0.00940967	0.00924382	0.00661338	0.006239	0.00651465	0.00882335	0.00715601	0.00945915	0.0113729	0.0148397	0.018514	0.0296928	0.0329805	0.0349	0.0398177	0.0449562	0.042828	0.0346137	0.0253162	0.0269004	0.0261586	0.0314704	0.0353935	0.0460781	0.0682696	0.0863757
jeunes	0.0524561	0.0233212	0.0203683	0.0171445	0.0167197	0.014177	0.0134768	0.011218	0.00992677	0.0115856	0.00989447	0.0105509	0.0101341	0.009771	0.0106604	0.0118302	0.0183748	0.0123587	0.0129851	0.0140529	0.0143371	0.0159794	0.0235694	0.0268439	0.0268604	0.0294358	0.0298708	0.0228197	0.0239486	0.0232666	0.0307405	0.0324985	0.0360523	0.0313327	0.0376548	0.0419078	0.0449314	0.0450372	0.0473283	0.0506803	0.0538978
filles	0.0679096	0.0221951	0.0216938	0.0165929	0.0200284	0.0156012	0.0101891	0.00928005	0.00935021	0.0117309	0.00958496	0.0103169	0.0102352	0.00923161	0.0107722	0.0115702	0.0132849	0.00802761	0.00808809	0.00938261	0.0128101	0.0133608	0.022828	0.0240732	0.0246635	0.0296067	0.0312918	0.0243166	0.0264678	0.0268536	0.0353341	0.0426959	0.0396263	0.0335034	0.042126	0.0407461	0.0417808	0.0401188	0.0415253	0.0480569	0.0531487
