 	m	w	á	n	a	w	ó	l	á	a	p	f	ú	r	á	o	d	z	w	á	n	g	y	ε	l	έ	m	á	b	h	í	s	i	</S>
cet	0.00258176	0.00466402	0.00594653	0.00474921	0.00176239	0.00213041	0.00214614	0.00202197	0.00676976	0.0168761	0.0286698	0.0265059	0.111736	0.0798891	0.115798	0.142007	0.0536814	0.058944	0.0220983	0.0230431	0.0255215	0.0247339	0.017151	0.0181531	0.0187095	0.0188649	0.0204425	0.02038	0.0195549	0.0177709	0.0233329	0.021275	0.0247484	0.0173406
enfant	0.0589865	0.0408326	0.0839491	0.121408	0.147361	0.179394	0.0645797	0.163999	0.0434308	0.00840219	0.00633116	0.010866	0.00614306	0.00246317	0.00227902	0.00203172	0.00374228	0.00284878	0.00242348	0.00676749	0.00178516	0.00310805	0.00316957	0.00527375	0.00142848	0.00307175	0.0084339	0.000719287	0.00393262	0.00296645	0.00189111	0.00286398	0.00231555	0.000800338
veut	0.0168024	0.021515	0.0267333	0.0191644	0.0459688	0.0498896	0.0514547	0.0659747	0.0774401	0.0637203	0.0256516	0.042965	0.0190974	0.0242475	0.0515289	0.0308494	0.0344496	0.0214962	0.0398122	0.0196869	0.0138513	0.00799929	0.0155062	0.0181199	0.014698	0.0262687	0.0371329	0.0290005	0.0262282	0.0200768	0.0142449	0.0116367	0.00850942	0.00827912
partir	0.0242229	0.0068797	0.00706455	0.00955752	0.0105038	0.0110461	0.0118301	0.0144788	0.0156637	0.0255938	0.0216737	0.0250024	0.0277664	0.012319	0.0368677	0.0279055	0.0239659	0.0267655	0.0243829	0.0228072	0.0299169	0.0238	0.0488193	0.0368353	0.0459388	0.0448143	0.0424659	0.0582356	0.04469	0.0417997	0.0428437	0.0628315	0.0503329	0.0403786
à	0.100263	0.0387552	0.0410233	0.036086	0.0381558	0.0278171	0.0196337	0.0139315	0.0204125	0.0286402	0.0330478	0.0302135	0.0320602	0.0251247	0.0297678	0.0202812	0.0290696	0.0338948	0.0182932	0.0119124	0.0184034	0.0164679	0.0261557	0.0274122	0.0242452	0.0286956	0.0258204	0.0228708	0.0259454	0.0236514	0.0280668	0.0235342	0.0245163	0.0558314
brazaville	0.034236	0.0183948	0.0137996	0.0221974	0.0117741	0.0089773	0.00954927	0.00787397	0.0100405	0.0161488	0.0303482	0.0272245	0.0237541	0.0134159	0.0226925	0.0193183	0.0181202	0.0237757	0.0133789	0.0105164	0.0149727	0.0291787	0.0351065	0.0451562	0.0460384	0.0545513	0.0473517	0.0427216	0.0520755	0.0484039	0.0547861	0.040731	0.0445226	0.0888676
clandestinement	0.0785538	0.0231585	0.02394	0.0364687	0.0242173	0.0224404	0.0275148	0.0213155	0.0201582	0.0184566	0.0326633	0.0363581	0.0259984	0.0296315	0.0425647	0.0337875	0.0393032	0.0455498	0.0226383	0.0262883	0.0246462	0.029238	0.0273648	0.0249417	0.0141762	0.0176685	0.0331327	0.00935561	0.0445206	0.0342141	0.0167026	0.0255426	0.0140969	0.0533924
</S>	0.0353143	0.0115513	0.00739871	0.0139182	0.0120674	0.0107963	0.014956	0.0114934	0.0138676	0.0110998	0.0170221	0.0182492	0.0118492	0.00828482	0.0154379	0.0161661	0.0226954	0.022388	0.0161864	0.0177078	0.0268688	0.0486056	0.0687386	0.0568732	0.0602236	0.0515258	0.0450552	0.0335236	0.0339943	0.0384727	0.0402698	0.0389188	0.0454346	0.103046
