 	w	a	á	b	é	n	y	i	ω	k	á	n	d	á	m	ώ	ώ	p	έ	n	g	á	w	a	</S>
il	0.181765	0.316582	0.156057	0.114068	0.0783942	0.0167036	0.00724848	0.00412571	0.0064154	0.00602722	0.0095758	0.0106794	0.00905601	0.00952258	0.00798853	0.0059627	0.00523692	0.0046757	0.00643032	0.00591213	0.00767023	0.00746374	0.0080132	0.00798247	0.00644293
a	0.0960498	0.112843	0.0842428	0.0533917	0.057456	0.0944542	0.128739	0.145724	0.0710289	0.0413238	0.0184157	0.00817313	0.0059762	0.00252862	0.00383547	0.00545424	0.00547003	0.00567404	0.00486519	0.00348784	0.00792263	0.00413738	0.00467134	0.0140203	0.0201154
accepté	0.0169151	0.0128833	0.00666661	0.00713335	0.014755	0.0175111	0.0331091	0.0526598	0.0793804	0.0983161	0.0572689	0.044265	0.0613703	0.0583484	0.0752925	0.0730725	0.0655835	0.0379026	0.0356068	0.0383056	0.0273394	0.0312187	0.0149727	0.0248369	0.0152862
le	0.0354887	0.04336	0.0210362	0.0260093	0.0250451	0.0412907	0.0389251	0.037197	0.0495632	0.0520654	0.0282191	0.0301697	0.0281876	0.0391659	0.0318338	0.0278145	0.0422619	0.0359843	0.0455577	0.0562787	0.0475251	0.0619667	0.050427	0.0363115	0.0683157
vêtement	0.00553312	0.00811915	0.00499204	0.0042221	0.00401808	0.0060239	0.0185079	0.0192645	0.019161	0.0314685	0.0336693	0.0342619	0.0465107	0.0581827	0.0949674	0.165441	0.149175	0.0795665	0.0516298	0.0563136	0.0187503	0.0186503	0.0112174	0.0187964	0.0415577
que	0.008289	0.00769642	0.00811186	0.00543333	0.00775089	0.0123714	0.0239414	0.0445675	0.04142	0.0479361	0.0796197	0.07508	0.039849	0.0356135	0.0476127	0.0533668	0.0696519	0.0596238	0.0438393	0.0315703	0.0279343	0.0406387	0.0345778	0.031823	0.121681
je	0.0137717	0.0069484	0.00583605	0.00452653	0.00751174	0.0180049	0.0222836	0.0265844	0.0237907	0.0300601	0.0290411	0.0281273	0.028887	0.0277716	0.031913	0.067894	0.0989911	0.0700438	0.054632	0.0444899	0.0514382	0.0538194	0.0355259	0.0654342	0.152674
lui	0.0322517	0.0132821	0.013197	0.0139075	0.0230899	0.0307386	0.0362316	0.0487674	0.0359536	0.041861	0.0469709	0.0469796	0.0444045	0.0378748	0.0395446	0.0331627	0.0474122	0.0402615	0.0402423	0.0322233	0.042949	0.0440908	0.0348635	0.0587257	0.121014
ai	0.051383	0.0404718	0.0385135	0.0381863	0.0298993	0.0362427	0.0319193	0.0323896	0.0252945	0.0299828	0.0313914	0.0291372	0.034248	0.0230722	0.0259061	0.0284555	0.0362853	0.0348272	0.0354456	0.0327099	0.0424568	0.0404435	0.0554238	0.0692058	0.126709
donné	0.0398049	0.0357021	0.0323606	0.0352694	0.0334025	0.0303887	0.032925	0.01868	0.0185582	0.0154096	0.0175326	0.0168672	0.0138614	0.0132463	0.0135522	0.0101437	0.0128897	0.020637	0.0218087	0.0293128	0.0461771	0.0404001	0.11581	0.114513	0.220747
</S>	0.0483004	0.024857	0.0285098	0.0261376	0.0239644	0.013257	0.0113057	0.00794187	0.00750264	0.0109228	0.0150197	0.0173708	0.0128183	0.0152552	0.013818	0.0137307	0.0202453	0.040746	0.036402	0.0545233	0.0624472	0.0626631	0.154667	0.0959873	0.181607
