 	m	ó	n	g	á	k	á	a	l	é	s	í	í	s	a	i	s	á	l	a	p	á	b	h	a	l	a	p	á	b	h	a	</S>
selon	0.0104384	0.0110387	0.011135	0.014389	0.0167723	0.0201951	0.0284445	0.0326798	0.0437767	0.0636695	0.0855366	0.058036	0.0655636	0.0279029	0.0344529	0.0373156	0.0234503	0.0212745	0.0229567	0.0408561	0.0308235	0.0351129	0.0250239	0.0219642	0.0271903	0.0237654	0.0222234	0.0286428	0.0287493	0.0322315	0.0240876	0.0155419	0.014759
moi	0.0450864	0.031048	0.0285355	0.0253246	0.023204	0.0138219	0.00924088	0.00686746	0.00639378	0.00699192	0.00704569	0.00405778	0.00741211	0.00787349	0.00785652	0.0179811	0.019036	0.0171522	0.0555036	0.0492381	0.092457	0.0894725	0.102182	0.0858499	0.0626882	0.0324799	0.036076	0.0311499	0.0198882	0.0140386	0.011063	0.0159179	0.0170662
nous	0.0764996	0.0366329	0.0216992	0.015305	0.0135036	0.0169298	0.0156733	0.0213409	0.0234794	0.0312138	0.0261776	0.0147566	0.024623	0.0265947	0.00666812	0.0149633	0.0277106	0.00971424	0.0100497	0.00655945	0.0117193	0.0134731	0.018595	0.0440284	0.0469467	0.0273363	0.040761	0.0495889	0.0569716	0.0649764	0.0749554	0.078662	0.031891
devrions	0.0696468	0.0605944	0.0498282	0.0430069	0.0463147	0.0588146	0.0490672	0.0564834	0.0437932	0.0207951	0.0242555	0.0145253	0.0201441	0.0305406	0.0134138	0.0184319	0.0223287	0.0133007	0.0147016	0.00857247	0.0125107	0.0175257	0.019341	0.0227797	0.0172878	0.02601	0.0213913	0.0194382	0.0222868	0.0249096	0.0310653	0.029939	0.0569558
finir	0.0243064	0.0552063	0.0554842	0.0443995	0.0442828	0.041126	0.0353028	0.0384203	0.0378038	0.0374763	0.0291422	0.0316244	0.0526909	0.0349707	0.0456822	0.0372077	0.0233438	0.0269631	0.0183412	0.0211651	0.0195831	0.026438	0.0232675	0.0239881	0.0296768	0.0207152	0.0240558	0.0176782	0.0157155	0.0139878	0.0120468	0.0136944	0.0242133
le	0.023702	0.0348211	0.0344554	0.037621	0.0435698	0.0442314	0.0581571	0.0548646	0.0701856	0.0549747	0.0412076	0.043253	0.0486858	0.0376457	0.0368076	0.0437776	0.0273107	0.028724	0.0140731	0.0155919	0.0140941	0.0185483	0.0150728	0.0182645	0.0159057	0.00921767	0.011531	0.0117633	0.00788235	0.011502	0.00840322	0.0158497	0.0483056
travail	0.0233434	0.0376904	0.0312133	0.0425892	0.0494336	0.0534395	0.0575734	0.0547008	0.0483864	0.0423536	0.0317697	0.0292027	0.0388501	0.0344991	0.0340704	0.030428	0.0240522	0.023583	0.0183335	0.0193028	0.018765	0.0246004	0.0189692	0.0223506	0.011856	0.0158189	0.0152413	0.0159269	0.0131393	0.0190743	0.0157516	0.0292241	0.0544672
aujourd'	0.0263936	0.0332054	0.0239209	0.0325236	0.0380902	0.040198	0.0370012	0.0310095	0.0251747	0.0252729	0.0416434	0.0427008	0.0736411	0.0604162	0.0637775	0.0461231	0.0305632	0.0347135	0.0321598	0.0290622	0.0224708	0.0335142	0.0162207	0.0139904	0.00853227	0.00734192	0.0115072	0.0132131	0.0104179	0.0137403	0.0120002	0.0234748	0.0459854
hui	0.0610538	0.0420658	0.0262518	0.0222578	0.0236211	0.0203709	0.0177733	0.0161641	0.0146109	0.0130773	0.0203857	0.0240869	0.0488209	0.0396214	0.04598	0.0412526	0.0208743	0.0313075	0.0267198	0.0310039	0.0281798	0.039923	0.0281279	0.0265054	0.0248811	0.0222477	0.0313412	0.0333922	0.0204044	0.0232392	0.0217672	0.0380173	0.0746738
même	0.0515331	0.0340073	0.027136	0.0247635	0.0249163	0.02184	0.0138796	0.0130642	0.0139708	0.0130803	0.016341	0.0162377	0.0199372	0.0214856	0.0217724	0.0214038	0.0151558	0.017111	0.0139355	0.0147961	0.0150412	0.0149353	0.0173582	0.017045	0.0175916	0.0287755	0.0378146	0.0495491	0.0581007	0.0625263	0.0697822	0.0870802	0.108033
</S>	0.0572789	0.0394796	0.0338531	0.0322558	0.031663	0.0310998	0.0290319	0.0279782	0.0223211	0.0209705	0.0194398	0.0170732	0.0138022	0.017798	0.0115869	0.0143926	0.0121395	0.0100099	0.00698076	0.00626853	0.00641283	0.00727211	0.0112355	0.0156374	0.0240935	0.0279641	0.0421135	0.0509356	0.0511895	0.0636933	0.0638922	0.0670057	0.113131
