 	o	k	á	n	d	i	m	w	ε	n	έ	á	d	z	e	n	d	a	</S>
qui	0.00828715	0.013736	0.0236947	0.0144106	0.0105645	0.0113654	0.0106978	0.0241331	0.0205241	0.0319196	0.0797677	0.0444429	0.0857611	0.0702425	0.0913383	0.127842	0.081807	0.14166	0.107806
est	0.244933	0.169749	0.143177	0.0832595	0.0405252	0.0253371	0.0192157	0.0127342	0.00935356	0.00733896	0.00512966	0.0102211	0.0344299	0.0489953	0.0411551	0.0353373	0.0199333	0.0171692	0.0320049
ce	0.0617883	0.0304124	0.0263195	0.0138328	0.010738	0.0140716	0.0228467	0.0219088	0.00621559	0.0214776	0.0315976	0.0853497	0.111131	0.14385	0.140582	0.0983363	0.0409345	0.0429181	0.0756892
qui	0.0861502	0.0546127	0.0479926	0.0429403	0.0399315	0.0236909	0.0174295	0.0220469	0.0114278	0.0274493	0.0421329	0.0913036	0.13706	0.105632	0.0926904	0.0640698	0.0128289	0.0353367	0.0452747
a	0.0415876	0.0455799	0.0673495	0.0473062	0.0659193	0.0435864	0.0412152	0.0794785	0.0537708	0.0333527	0.0284929	0.057915	0.078763	0.0744085	0.0638938	0.0423076	0.0182551	0.0297894	0.0870287
affronté	0.0460501	0.0836663	0.121675	0.100676	0.12292	0.0317542	0.0507436	0.0616246	0.0432823	0.0408703	0.0290675	0.0357386	0.0239405	0.0271259	0.0286655	0.0358163	0.0121203	0.0305445	0.0737177
le	0.0967684	0.0617089	0.0552761	0.0407029	0.0578166	0.019482	0.022417	0.0146202	0.0154397	0.0174688	0.0196982	0.0361694	0.046619	0.0531135	0.0537548	0.0577524	0.0185705	0.072327	0.240295
chef	0.133872	0.145626	0.0752129	0.0749309	0.0645144	0.0260318	0.04193	0.0318721	0.00911162	0.0137968	0.0131313	0.0156246	0.0206979	0.0288107	0.0459222	0.0425444	0.0303924	0.0486778	0.1373
traditionnel	0.315897	0.104826	0.0637743	0.0426019	0.0256099	0.0153143	0.0153027	0.0119385	0.0111577	0.0168193	0.0236505	0.0313432	0.0364668	0.0531425	0.0463686	0.0470043	0.00823341	0.0582379	0.0723109
</S>	0.299767	0.141408	0.105338	0.0522285	0.0264834	0.00991387	0.00907035	0.00802553	0.00631884	0.0068706	0.0102646	0.0111959	0.0153436	0.0258004	0.0262803	0.0435678	0.0103598	0.0707114	0.121053
