 	k	ú	r	ú	ú	l	ó	w	é	e	í	t	s	ω	í	b	v	u	u	l	a	m	w	á	s	í	</S>
tous	0.0190775	0.0230524	0.0119012	0.00999899	0.00704707	0.0106821	0.016528	0.0332729	0.0261632	0.0472734	0.0471949	0.0634864	0.0552839	0.0643824	0.0489222	0.0557412	0.056849	0.0449341	0.039752	0.0424633	0.038443	0.0355435	0.0458812	0.0346145	0.037723	0.0534177	0.030371
les	0.0580196	0.0536339	0.119991	0.113545	0.118407	0.0936901	0.0382762	0.0418826	0.0204536	0.0495652	0.0402497	0.0433149	0.0176672	0.0234689	0.0300319	0.0320113	0.0173693	0.0140303	0.0177427	0.00908901	0.00990056	0.012614	0.00462169	0.00359513	0.0030654	0.0042461	0.00951827
biens	0.0339815	0.0245035	0.0468731	0.0499334	0.0480438	0.0505617	0.0528342	0.037642	0.0354579	0.0287274	0.0275847	0.0397418	0.028887	0.0376187	0.0452321	0.0530506	0.0494254	0.0580768	0.0518372	0.0391012	0.0396904	0.0392905	0.0263809	0.0124402	0.0104057	0.0142045	0.0184739
du	0.029469	0.0401783	0.0656985	0.0736638	0.0657889	0.0529683	0.0465085	0.0428047	0.0442477	0.0327035	0.0255069	0.0252156	0.0164907	0.0194551	0.024145	0.0307207	0.0481252	0.041764	0.0368649	0.026114	0.0168693	0.0258201	0.0190879	0.0197101	0.0243965	0.0257175	0.0799654
défunt	0.0190265	0.017937	0.0157017	0.0224213	0.0241734	0.0352123	0.043064	0.0464763	0.0357716	0.035208	0.0494444	0.0386397	0.035144	0.0364773	0.0429107	0.0467676	0.0472084	0.0477274	0.0418845	0.040554	0.0294139	0.0338481	0.0291526	0.0313448	0.0393944	0.0546167	0.0604794
sont	0.0341177	0.0277985	0.0224587	0.019933	0.0262081	0.0281878	0.0420672	0.0330498	0.0343357	0.0316258	0.0489174	0.0394759	0.0445431	0.0402358	0.0328821	0.0377566	0.0360532	0.0385757	0.0429055	0.0341374	0.0315517	0.0402142	0.038023	0.0354204	0.0393513	0.0482341	0.0719402
hérités	0.022102	0.0265987	0.0259846	0.0261665	0.0293684	0.0259435	0.0188014	0.0138135	0.0173594	0.0153364	0.0185554	0.0222796	0.0204417	0.0254073	0.0293639	0.0372153	0.0417487	0.0374626	0.0396064	0.0417936	0.0273142	0.0455131	0.0625674	0.0379714	0.074643	0.0947662	0.121876
par	0.0644373	0.0737286	0.0472633	0.0424488	0.0463387	0.0416294	0.0394744	0.0321714	0.0285212	0.0281471	0.0392619	0.0433692	0.0572715	0.0762945	0.0495498	0.0466853	0.0281609	0.0195322	0.0224731	0.0159801	0.0131829	0.0102762	0.00787867	0.0141326	0.0330572	0.0215111	0.0572227
son	0.0944593	0.0792605	0.0635506	0.0444217	0.0398697	0.0187931	0.0136119	0.0171922	0.0121745	0.0179341	0.0237319	0.0242061	0.0250229	0.0322848	0.0310554	0.0318836	0.0290658	0.0179852	0.0424689	0.0339228	0.0230871	0.0365042	0.0250426	0.0219345	0.0502181	0.041913	0.108406
épouse	0.0521354	0.0457956	0.0253969	0.0216035	0.0191176	0.0116423	0.00928371	0.0116903	0.00794316	0.00977484	0.0127372	0.0150258	0.0284992	0.0304845	0.0455709	0.0446712	0.0396218	0.0261375	0.0374921	0.0322195	0.0162078	0.0284826	0.0247049	0.0193517	0.0802962	0.0815628	0.222551
</S>	0.0565017	0.0694204	0.0611237	0.0425796	0.0298715	0.0251402	0.0138361	0.00348512	0.00527305	0.00329041	0.00486169	0.00502168	0.00531014	0.00658812	0.0054344	0.00974445	0.0104302	0.0183207	0.0361063	0.0393819	0.0335045	0.0376888	0.0419592	0.0522904	0.112929	0.0806713	0.189235
