 	b	á	n	a	b	á	n	d	z	é	s	i	á	p	i	i	l	e	b	á	n	a	l	á	m	b	ω	ώ	</S>
de	0.020678	0.0345893	0.0187801	0.0111264	0.0093386	0.0088409	0.00727348	0.00746107	0.00902586	0.018059	0.0463699	0.0794597	0.126025	0.131165	0.111422	0.0831628	0.0653032	0.0315072	0.0302136	0.0275907	0.0143654	0.0192073	0.0135636	0.0172659	0.0128654	0.0121678	0.00949415	0.0118884	0.0117894
petits	0.0395332	0.0401393	0.048825	0.0422086	0.0349057	0.0324347	0.027636	0.0310947	0.0273514	0.0318167	0.0214472	0.0181571	0.0244112	0.016816	0.0157133	0.022562	0.0836781	0.0702475	0.0521053	0.0513746	0.0425742	0.0337904	0.0342141	0.0379247	0.0352861	0.0312075	0.017463	0.0165542	0.0185281
enfants	0.0817958	0.0704141	0.0573959	0.0321921	0.0615344	0.0527414	0.0456306	0.043219	0.0321117	0.035697	0.0314815	0.01718	0.0207485	0.0154231	0.0114645	0.016055	0.0319313	0.0419227	0.0447791	0.0580258	0.030436	0.0304336	0.0162246	0.0155336	0.0138592	0.0150882	0.0162872	0.0210252	0.0393688
ont	0.0385319	0.0324639	0.0446493	0.0247508	0.0199422	0.0152995	0.0178401	0.0181335	0.0263591	0.0397673	0.0551203	0.0557377	0.0598195	0.0610023	0.0714563	0.0650611	0.0404272	0.0266426	0.0233274	0.0170864	0.0189318	0.0193814	0.019885	0.0204046	0.028968	0.0308801	0.0271816	0.0356216	0.0453274
capturé	0.0200522	0.0151958	0.0149833	0.0153619	0.0145974	0.0222073	0.0249321	0.026716	0.0322096	0.0377613	0.0459185	0.0440451	0.0468555	0.0526385	0.0614457	0.0658762	0.0487988	0.0457527	0.0436862	0.0382178	0.0334271	0.0297369	0.0210235	0.0199962	0.0199954	0.0216768	0.0264338	0.0359378	0.0745207
les	0.0422834	0.0316951	0.0189442	0.0192814	0.0271047	0.0300589	0.0330453	0.0354474	0.0344391	0.0286936	0.031725	0.0197892	0.0122185	0.0101084	0.00983897	0.00997826	0.0151811	0.0244514	0.0299196	0.0347164	0.0460721	0.037043	0.0419498	0.0386556	0.0401007	0.0405789	0.0708552	0.0821963	0.103629
petits	0.0265701	0.0203572	0.0179496	0.0178331	0.0174984	0.0219557	0.0254913	0.0229755	0.0221221	0.0178704	0.0203846	0.0166713	0.0164268	0.016978	0.020509	0.0190165	0.0221209	0.0269135	0.0461285	0.0475091	0.0541877	0.0664213	0.0469496	0.0536401	0.047587	0.0415805	0.0590872	0.0713307	0.0959341
du	0.016545	0.019517	0.0220057	0.0208198	0.0157539	0.0214335	0.0294591	0.0256726	0.0242359	0.0207347	0.0232797	0.0197939	0.0188499	0.0168699	0.0215128	0.0212374	0.0233097	0.0284912	0.0504199	0.0478096	0.0583061	0.0604622	0.0561789	0.051409	0.050071	0.0399363	0.0519479	0.057005	0.0869325
tilapia	0.0592138	0.0430406	0.0395532	0.0345918	0.0313686	0.0226004	0.0245051	0.0165156	0.0230972	0.0307399	0.0339425	0.0291256	0.030435	0.0267238	0.0250465	0.021122	0.0236792	0.0261447	0.0357913	0.0245825	0.0324173	0.044525	0.0362655	0.0414463	0.0398863	0.0325886	0.0542078	0.0679779	0.0488659
</S>	0.0564708	0.036028	0.0356718	0.037478	0.0326151	0.0359101	0.0370603	0.0323979	0.0300829	0.0192868	0.0156493	0.0150598	0.0100694	0.00657003	0.00693536	0.0125262	0.018003	0.0336566	0.0371087	0.037958	0.0509222	0.0439658	0.0466686	0.0372349	0.0388019	0.044778	0.0451654	0.0571649	0.0887599
