 	ó	b	h	έ	ε	o	p	ε	p	ε	ó	y	ε	í	o	b	é	n	y	á	w	á	r	e	m	w	é	s	é	ó	p	é	n	d	í	m	ú	a	m	ó	p	á	m	i	</S>
ainsi	0.00722854	0.0104794	0.0126497	0.0148503	0.0247786	0.0263008	0.0370681	0.0331877	0.037475	0.0386339	0.0383888	0.0367288	0.0362214	0.0419642	0.0377271	0.0346677	0.0226596	0.0286936	0.0134263	0.0123087	0.0102164	0.0130687	0.0112522	0.00690374	0.00522323	0.00491132	0.00674513	0.00457414	0.00985209	0.012499	0.0146759	0.0153844	0.0258239	0.026901	0.0327918	0.0330276	0.0285758	0.0291839	0.0281332	0.0214655	0.0260748	0.0229038	0.0240563	0.0217976	0.0185203
la	0.0677876	0.045146	0.0316312	0.0313398	0.0257819	0.0206005	0.0192517	0.0136946	0.0139175	0.0224287	0.0188707	0.0245277	0.0377665	0.0447924	0.0555504	0.0691107	0.0581058	0.0245826	0.0217554	0.0173551	0.0140341	0.0240037	0.016333	0.0182204	0.0194508	0.0206573	0.0380157	0.0292577	0.0256974	0.0197182	0.0119011	0.0167016	0.010647	0.0080903	0.0046711	0.00343581	0.00367833	0.00301677	0.00421348	0.00658501	0.00508828	0.00586287	0.00978776	0.00503102	0.0119046
bise	0.0321301	0.0376764	0.045535	0.0480315	0.0645237	0.0546961	0.0555658	0.0299088	0.014904	0.0205944	0.00606057	0.00221235	0.0027301	0.00427566	0.00725429	0.00645902	0.0102116	0.0168976	0.124492	0.0248889	0.0120514	0.0210374	0.0144552	0.0180235	0.0048099	0.00412222	0.00251461	0.00363292	0.00528911	0.00567359	0.00883652	0.0135034	0.00663729	0.00640599	0.00738974	0.013101	0.0109189	0.0119936	0.0173905	0.0339546	0.0386577	0.0362953	0.0419975	0.0322752	0.0199849
a	0.0209062	0.0250363	0.0299056	0.0280314	0.029741	0.0253476	0.0173039	0.0167979	0.0220575	0.0242952	0.0260602	0.0299113	0.0376445	0.0303934	0.034141	0.0365204	0.051987	0.0500868	0.159989	0.0297182	0.0260277	0.0253777	0.0191367	0.0215332	0.0226328	0.00698102	0.00675023	0.0114001	0.0094109	0.00876691	0.0109909	0.00862034	0.00449557	0.00299882	0.00353071	0.00285299	0.00361818	0.00451132	0.00527028	0.00756643	0.0108843	0.0106238	0.00939888	0.00985707	0.020889
finalement	0.0384138	0.0497638	0.0626759	0.0521717	0.0615524	0.0409091	0.0551433	0.0350701	0.0229971	0.0208742	0.0181666	0.00905163	0.00775776	0.00925222	0.00908214	0.0102331	0.011352	0.0241079	0.024032	0.0272174	0.0276406	0.0290454	0.0290253	0.0235131	0.0165669	0.00507094	0.00675441	0.0107275	0.00852571	0.00954004	0.0145246	0.0148636	0.0077346	0.00744683	0.00387617	0.00474531	0.00423851	0.00754812	0.00386199	0.00750814	0.00835362	0.00789135	0.0229953	0.0459236	0.0822543
reconnu	0.0397694	0.0386149	0.0417792	0.0428892	0.0504592	0.0373301	0.0393202	0.0321589	0.027362	0.0256855	0.0277869	0.019285	0.0260049	0.0270298	0.0256665	0.02752	0.0241619	0.0206063	0.0165214	0.0153078	0.0118067	0.0130895	0.0124735	0.0129158	0.0170609	0.0157143	0.017153	0.0312237	0.0280896	0.0279944	0.0292	0.0173777	0.00928748	0.0101404	0.005567	0.00492571	0.00743843	0.0101903	0.00957601	0.0133041	0.0140752	0.0132917	0.0171206	0.0166354	0.0290895
que	0.0118404	0.0084796	0.00835119	0.00913011	0.0101154	0.0105311	0.0139482	0.017869	0.0231196	0.0181398	0.0177025	0.0143609	0.0166755	0.017357	0.0141918	0.0228357	0.0333197	0.0251372	0.0155501	0.0238317	0.0233216	0.0287166	0.0369458	0.0230044	0.0361467	0.0380031	0.0366623	0.0318624	0.0319375	0.0323051	0.0267549	0.0188583	0.0226952	0.0201916	0.0256756	0.0229547	0.0253713	0.0261858	0.0295953	0.0287884	0.0260954	0.0235443	0.0182765	0.0190612	0.0145597
le	0.017578	0.0144039	0.0124776	0.0143712	0.0168993	0.0226119	0.0228754	0.0252177	0.0301111	0.0252894	0.0254022	0.0223923	0.0205977	0.0239546	0.022409	0.0224353	0.0176707	0.0175442	0.0130111	0.016186	0.0118492	0.0160236	0.0200595	0.0170038	0.0231718	0.0289042	0.0319132	0.0388325	0.0344544	0.0317737	0.0351285	0.0224189	0.0176675	0.0158687	0.0155495	0.0152044	0.0177698	0.0210196	0.0218135	0.0212361	0.0206429	0.0192169	0.0270035	0.022174	0.0498619
soleil	0.0335657	0.0174599	0.0145384	0.0118802	0.00984759	0.00844966	0.0075207	0.00954024	0.0131991	0.013257	0.0135265	0.0139874	0.0142213	0.0186281	0.0259821	0.0276794	0.0273725	0.0342924	0.0346357	0.0317368	0.0293513	0.0254922	0.0200234	0.0245886	0.0287346	0.00972938	0.0224387	0.0281603	0.0246875	0.0257432	0.0291098	0.0308562	0.0355197	0.0232723	0.0196438	0.0182576	0.0131132	0.0106232	0.00877382	0.00780248	0.0182222	0.0213148	0.0420913	0.0370279	0.0641019
était	0.0698337	0.0277177	0.0225576	0.0203482	0.0185718	0.0141705	0.0109252	0.00669628	0.0069915	0.00617963	0.00621539	0.00672427	0.00911341	0.00920896	0.00915806	0.011649	0.0115547	0.0143526	0.019349	0.0197099	0.0251281	0.0146101	0.0217642	0.0155587	0.0421422	0.0228591	0.0287863	0.0386788	0.0282887	0.0318866	0.0356877	0.0275738	0.0274222	0.0136033	0.0185674	0.0152206	0.017158	0.0182526	0.0206615	0.017924	0.0259837	0.0302323	0.0414707	0.0419583	0.0575535
