 	w	a	l	á	a	k	ú	m	á	a	t	ú	e	m	ó	y	έ	έ	s	ε	r	έ	b	á	a	w	a	</S>
il	0.122175	0.180978	0.208841	0.21683	0.0914629	0.0649597	0.0364239	0.0250207	0.00624156	0.00304945	0.000737495	0.00243532	0.00139629	0.00168862	0.0019019	0.00421735	0.00271929	0.00262438	0.00298526	0.00206361	0.00257127	0.00325829	0.00300279	0.00270123	0.00240258	0.00221708	0.00282931	0.00226583
est	0.0137832	0.00576286	0.00805664	0.0143744	0.0255737	0.0188677	0.020312	0.103845	0.0987758	0.0996694	0.159809	0.107593	0.135597	0.0756732	0.0324398	0.0151926	0.0065315	0.00599566	0.00539128	0.00491732	0.00465171	0.00318769	0.00251063	0.00258108	0.00304918	0.00414325	0.00722363	0.0144923
attentif	0.019928	0.020994	0.020857	0.0229791	0.0264459	0.0156611	0.015081	0.0157813	0.0150656	0.0182925	0.0209734	0.0275817	0.0409129	0.0400367	0.0489443	0.0588081	0.0838816	0.111255	0.114599	0.0854684	0.0370524	0.0369908	0.0163406	0.024415	0.0114118	0.0109856	0.0137673	0.02549
à	0.0130964	0.0121919	0.0123372	0.0121797	0.013091	0.0190937	0.0196718	0.0251713	0.0256463	0.0281305	0.0330239	0.0592816	0.061301	0.0659399	0.0666258	0.065558	0.0643173	0.0440566	0.0358495	0.0469852	0.0350969	0.0448154	0.0194139	0.0393987	0.0241819	0.0222965	0.0264445	0.0648036
ce	0.0168898	0.0161618	0.014532	0.0161163	0.016417	0.0204537	0.0130685	0.0151952	0.0158138	0.0170749	0.0222239	0.020619	0.022165	0.0213082	0.0229048	0.0252377	0.0349712	0.0558299	0.0615949	0.0684217	0.0614272	0.0655513	0.0523962	0.0650938	0.0610378	0.0501793	0.0525931	0.0747219
qu'	0.0183927	0.0325078	0.0347664	0.0204372	0.0159191	0.00876238	0.0112546	0.00909055	0.0175908	0.0229569	0.0223143	0.0257078	0.0304344	0.0221831	0.0236433	0.0239045	0.0375985	0.0639472	0.0468407	0.0571018	0.0631851	0.0387699	0.0510356	0.0429637	0.049444	0.0646653	0.0657228	0.0788594
on	0.0154918	0.0270639	0.0299987	0.0170438	0.0162857	0.0109539	0.0142491	0.01764	0.0274136	0.0435185	0.0332484	0.0270467	0.0488334	0.0333417	0.0387767	0.0283872	0.0336999	0.0301952	0.0224006	0.0310951	0.0258183	0.0309708	0.053705	0.0421	0.0617698	0.0621486	0.0572844	0.119519
lui	0.0302001	0.0229854	0.0181516	0.0211244	0.0307803	0.033366	0.0353496	0.0423426	0.0498416	0.0508749	0.035088	0.0228532	0.0219885	0.0161564	0.0106326	0.0128691	0.0141647	0.03161	0.0187066	0.0273323	0.0527903	0.0560276	0.0543843	0.0481965	0.0314206	0.0577103	0.0675911	0.0854615
dit	0.032311	0.0308086	0.0343235	0.0291464	0.0240354	0.0207851	0.0194	0.0175657	0.0188673	0.0203668	0.0154991	0.0178105	0.0156298	0.0137328	0.0130701	0.0169927	0.0233811	0.0403863	0.0256538	0.0323361	0.0512553	0.0566942	0.0524844	0.0686756	0.0470848	0.0753232	0.0780575	0.108323
</S>	0.0325237	0.0325313	0.0334825	0.0331828	0.0332296	0.0332476	0.0330875	0.0330403	0.0339292	0.0344559	0.0228385	0.0210411	0.0166505	0.0135095	0.0102908	0.013064	0.0118302	0.0184407	0.0139202	0.0265637	0.0582343	0.0530261	0.0552575	0.055126	0.0453408	0.0661579	0.0631626	0.102835
