 	n	g	a	n	g	a	á	k	w	ε	r	i	w	á	l	e	k	ó	m	á	ó	t	ó	o	</S>
le	0.0217573	0.0451353	0.0465547	0.0391351	0.0247115	0.0285506	0.011253	0.0210283	0.00601719	0.0336396	0.034332	0.0417664	0.0596311	0.057407	0.0464632	0.0617805	0.0676487	0.0596893	0.0685177	0.0826595	0.0394683	0.0208709	0.0288829	0.0267242	0.0263758
guérisseur	0.08501	0.16903	0.0774366	0.225501	0.101731	0.104693	0.0738693	0.0533273	0.0157252	0.0112584	0.0225909	0.00858607	0.0126929	0.00997622	0.00616342	0.00363403	0.00401878	0.00356774	0.00116954	0.00212562	0.00259414	0.00163991	0.00167965	0.00138839	0.000591449
lui	0.00768953	0.00783978	0.0123725	0.0198837	0.0158919	0.0281749	0.107149	0.053975	0.118992	0.0397642	0.111548	0.0457357	0.0371304	0.0289385	0.0145353	0.022241	0.0389587	0.041297	0.0282236	0.046972	0.0482673	0.0393689	0.0232465	0.0279278	0.0338764
a	0.0252483	0.0185161	0.0108438	0.0190171	0.0160156	0.0211257	0.0474401	0.0490065	0.0965036	0.0419941	0.07361	0.0424625	0.0585676	0.0671251	0.0441238	0.0289069	0.0259449	0.0398117	0.0887393	0.0562331	0.0297594	0.0209735	0.0179314	0.0274736	0.0326265
fait	0.084764	0.0275457	0.0158579	0.0295292	0.0165252	0.0289071	0.0536361	0.0739025	0.0663619	0.0318005	0.0398505	0.0182198	0.0131919	0.0193494	0.0243214	0.0232003	0.0314868	0.0296665	0.0508793	0.0664418	0.0498586	0.0370673	0.0356607	0.0515166	0.0804592
une	0.0426942	0.0178204	0.0124939	0.0182585	0.013176	0.0188759	0.0367669	0.0406301	0.0633715	0.0332047	0.0520661	0.0247617	0.0215073	0.0294426	0.0367835	0.0302207	0.0390451	0.0293223	0.0378861	0.0447987	0.0526457	0.0361724	0.0632759	0.0806868	0.124093
incision	0.0243039	0.0173585	0.0146986	0.0150018	0.0142305	0.0181636	0.020234	0.0144267	0.0153755	0.0327293	0.0076607	0.00928809	0.00912878	0.0412157	0.06899	0.107331	0.0930902	0.0345452	0.0277283	0.0299049	0.039968	0.0477919	0.0610925	0.0955537	0.140189
à	0.0234596	0.021174	0.0201565	0.0207225	0.0202635	0.0206804	0.0253862	0.0236914	0.0509403	0.0386087	0.0264391	0.0310655	0.0256201	0.0583391	0.0612224	0.0832285	0.0663002	0.0446032	0.0543131	0.0376536	0.0370075	0.0413548	0.0483521	0.0576813	0.0617367
la	0.0337179	0.0230575	0.0169536	0.0253	0.0193482	0.0217565	0.0322548	0.0270761	0.0253618	0.0217562	0.0180809	0.0135286	0.0340159	0.0512577	0.0419388	0.0584893	0.0820065	0.0689984	0.0704369	0.0485576	0.0425494	0.02824	0.0310564	0.0728811	0.0913798
poitrine	0.0273343	0.0170481	0.0149777	0.0186648	0.0124652	0.0128308	0.0127586	0.0178266	0.0615718	0.0288623	0.0329233	0.0189877	0.0258915	0.0873867	0.0550705	0.0905972	0.125105	0.0439648	0.0406217	0.0473828	0.0366931	0.0217465	0.0272916	0.0453322	0.0766647
</S>	0.0419901	0.0295983	0.0163179	0.0336889	0.010954	0.0127926	0.0120545	0.0230471	0.0357913	0.0142106	0.0145625	0.0076497	0.0106746	0.0413747	0.0357764	0.0611182	0.119249	0.0501323	0.0783047	0.0839773	0.0610196	0.0432471	0.0485788	0.0572573	0.0566318
