 	p	á	b	h	a	b	v	ú	s	á	b	í	s	ε	m	έ	l	á	n	z	a	m	b	é	</S>
aujourd'	0.0781432	0.178503	0.229727	0.0420228	0.0206375	0.0152739	0.0303949	0.036885	0.0221911	0.0349329	0.0326136	0.0320548	0.02916	0.0282498	0.0227516	0.0232411	0.0230439	0.0242423	0.0154979	0.0146881	0.0129765	0.0142186	0.0111868	0.0152456	0.0121184
hui	0.0328385	0.0477146	0.0313482	0.0526178	0.0541397	0.0912632	0.105685	0.0675745	0.0604814	0.0356047	0.0615035	0.0412599	0.049154	0.0459731	0.0323112	0.032018	0.0243701	0.0268978	0.0246205	0.0203195	0.0139208	0.0189835	0.00845163	0.00791366	0.0130353
c'	0.0517834	0.0588227	0.0433981	0.0482047	0.0515154	0.0636938	0.0486535	0.0428681	0.0524992	0.0801072	0.0567492	0.0402272	0.0238413	0.0231781	0.0293887	0.053755	0.0407306	0.0451522	0.0327053	0.0223828	0.0211834	0.0255687	0.0208517	0.0145356	0.00820429
est	0.0591739	0.040374	0.0246747	0.0260531	0.022638	0.0228314	0.0200595	0.0237837	0.0239701	0.0327977	0.025606	0.0228982	0.0160486	0.0189189	0.0209476	0.0357138	0.0378103	0.0352632	0.0371479	0.0432388	0.0504398	0.073893	0.100691	0.0887233	0.0963039
le	0.0554389	0.0341352	0.0274373	0.0305631	0.0315388	0.045714	0.0543568	0.0605558	0.0579417	0.0594839	0.0419082	0.0287384	0.0271014	0.0248134	0.0417536	0.0439868	0.0450734	0.0445589	0.0427506	0.02819	0.028064	0.0283454	0.0263594	0.0242933	0.0668976
jour	0.0256089	0.0190147	0.0112723	0.0155936	0.0243643	0.0569945	0.0871402	0.090711	0.0563316	0.0434906	0.0234779	0.0177628	0.0201188	0.0244869	0.034493	0.0299647	0.0318822	0.0446561	0.0417685	0.0367481	0.0299643	0.0360779	0.0413339	0.0472377	0.109505
où	0.0378141	0.0251543	0.0214691	0.0160775	0.0229947	0.0391447	0.0438967	0.0359398	0.0323026	0.0523842	0.0464667	0.0316003	0.0240343	0.0274214	0.0363311	0.0455561	0.0503719	0.0459961	0.0392214	0.0396548	0.0461811	0.0487996	0.0551228	0.058101	0.0779638
l'	0.029215	0.0201303	0.0162099	0.0260059	0.0288435	0.055962	0.0588268	0.0442091	0.0383516	0.0393614	0.03366	0.0187758	0.0162931	0.0172018	0.020403	0.0229276	0.0295873	0.0325229	0.0362387	0.045623	0.0369911	0.0447211	0.0531056	0.074678	0.160155
on	0.0793357	0.0448272	0.0448449	0.0687083	0.0705668	0.0874327	0.0767989	0.0368025	0.0192011	0.0202342	0.0181342	0.0154501	0.0154469	0.0179275	0.0210917	0.0170156	0.0108158	0.0229756	0.0193732	0.0208618	0.0239876	0.0334846	0.0395384	0.0459325	0.129212
prie	0.0548531	0.0309412	0.0243391	0.0365179	0.0274449	0.0256968	0.0248834	0.0197398	0.0177415	0.0181873	0.0157734	0.0116119	0.0105574	0.0150432	0.0201729	0.028626	0.0401628	0.0498495	0.0449932	0.0422706	0.0570254	0.0717148	0.0898771	0.0921846	0.129792
dieu	0.0567467	0.032318	0.0305179	0.0411122	0.0424031	0.0472253	0.0515537	0.0252546	0.0131962	0.0129201	0.00874236	0.00549301	0.00545688	0.00721112	0.00750461	0.0089954	0.00915555	0.0254431	0.0321561	0.0448235	0.0592112	0.08724	0.0998022	0.115498	0.130019
</S>	0.0508621	0.0284599	0.0281745	0.0421281	0.0439433	0.0436951	0.0459603	0.022329	0.0145814	0.0133413	0.0095531	0.00586901	0.00574607	0.00813507	0.00975632	0.013967	0.0168803	0.0273404	0.0290128	0.0323935	0.0509451	0.0715176	0.100475	0.114148	0.170786
