 	n	d	é	e	y	é	é	s	á	a	o	k	ó	á	o	k	ó	b	h	o	m	ó	m	b	a	n	g	e	y	é	k	a	á	</S>
cette	0.031027	0.0255847	0.0265149	0.0154496	0.0171268	0.0164675	0.0195281	0.0310577	0.0520453	0.0396121	0.0465472	0.0627951	0.0834763	0.0603823	0.0551544	0.0175752	0.0142535	0.0141066	0.0130538	0.0145954	0.00924219	0.0118998	0.0102724	0.0140661	0.0159131	0.0140811	0.0242762	0.0279491	0.0338616	0.0365382	0.0455653	0.0387165	0.0340003	0.0272647
maison	0.0620926	0.0637114	0.108126	0.0535631	0.0245706	0.0218052	0.0166173	0.0140532	0.0158494	0.0325322	0.0284812	0.0461089	0.0451501	0.0416578	0.0240243	0.0159667	0.00978361	0.0205807	0.00345366	0.015541	0.0075755	0.0173742	0.0235845	0.0616117	0.0533026	0.0470909	0.0639102	0.0284795	0.0159196	0.00718573	0.00548986	0.00188467	0.00201021	0.00091197
n'	0.0797407	0.0477778	0.0392897	0.0437532	0.0447571	0.0563854	0.0428011	0.0426446	0.0200802	0.015985	0.0227958	0.0164351	0.0402728	0.0160761	0.0233808	0.0142428	0.0360936	0.0307	0.0347088	0.0284193	0.0234509	0.0229094	0.0110442	0.0183402	0.0144422	0.0215518	0.0317983	0.0587193	0.027388	0.0281985	0.0235304	0.0108962	0.00746891	0.00392206
est	0.051404	0.0719878	0.106571	0.120592	0.113851	0.104046	0.0666011	0.0382701	0.0130937	0.0110376	0.0159455	0.0101617	0.0160148	0.0242524	0.029377	0.0305338	0.0401719	0.0249781	0.0221691	0.0195305	0.014136	0.00865156	0.00520439	0.0061301	0.00480374	0.00311556	0.00368395	0.00124558	0.00178482	0.00302884	0.00358459	0.00388532	0.00360663	0.00654942
pas	0.0618714	0.0410505	0.0388158	0.0421557	0.0328643	0.0315991	0.0240451	0.0169767	0.0115763	0.0158432	0.032247	0.0283848	0.0264902	0.0446084	0.0319347	0.0240374	0.0168806	0.0205306	0.00984772	0.021415	0.0124477	0.0176352	0.0244747	0.0512284	0.0384273	0.0307319	0.0445514	0.0457352	0.0283973	0.0214565	0.0256872	0.0295341	0.0292028	0.0273159
encore	0.0152757	0.0100725	0.0106845	0.0161908	0.0274109	0.0230226	0.0172724	0.0132528	0.00886838	0.0148397	0.0205613	0.0155593	0.0220592	0.0226137	0.0288321	0.0266546	0.0230886	0.0382831	0.013883	0.0420826	0.0362755	0.0353016	0.0497235	0.0596045	0.043318	0.0405826	0.0525312	0.0564693	0.048561	0.0355461	0.0369285	0.0242757	0.0341642	0.0362104
peinte	0.0140729	0.00889837	0.0148568	0.0204107	0.023748	0.0299134	0.0308617	0.0276834	0.0216574	0.0267829	0.0259585	0.0184014	0.0179258	0.0253304	0.030717	0.0443661	0.0337744	0.0632421	0.0359409	0.0748535	0.0686534	0.0438754	0.038847	0.0471729	0.0281028	0.0268767	0.0230064	0.0247351	0.0229078	0.0162212	0.0162405	0.015492	0.0186097	0.0198635
de	0.0170318	0.014644	0.0182989	0.0304487	0.0590858	0.0712312	0.0680975	0.0471615	0.0333199	0.0309939	0.0250288	0.0239975	0.017225	0.0283042	0.0191792	0.022552	0.0143473	0.0268714	0.0257173	0.0365898	0.0440985	0.0390191	0.0326763	0.0304451	0.0158576	0.0197623	0.0190534	0.0179574	0.0209685	0.0137782	0.0153661	0.0275616	0.0317503	0.0415804
ce	0.0435276	0.029035	0.022344	0.0324164	0.0428095	0.0328283	0.0224695	0.0157312	0.0149202	0.014195	0.0156647	0.0138737	0.0150809	0.0139947	0.0160008	0.026633	0.023644	0.0241873	0.0237241	0.0216604	0.027905	0.0357742	0.0429064	0.0386938	0.0341103	0.0417316	0.0400165	0.0304213	0.0340869	0.0243704	0.0253183	0.0431804	0.0487652	0.0679791
côté	0.026898	0.0228801	0.0139424	0.0123272	0.00670709	0.00532773	0.00455211	0.00456402	0.00436946	0.00500185	0.00555425	0.00521615	0.00554984	0.0110307	0.0109026	0.0363883	0.0410194	0.0761309	0.0773182	0.11044	0.087675	0.0850824	0.0653147	0.0363978	0.0243879	0.0273618	0.0208086	0.0128916	0.016765	0.0118887	0.0144653	0.0272269	0.0235845	0.0600294
</S>	0.0714573	0.0579391	0.0324724	0.0323355	0.030109	0.0199298	0.0136762	0.0110374	0.00639372	0.00449704	0.00473096	0.00359742	0.00277417	0.00330779	0.00455344	0.0130124	0.0238574	0.0308413	0.0326747	0.0338292	0.0281108	0.0385852	0.0318452	0.0194645	0.0177559	0.0323833	0.0481132	0.0263655	0.0384518	0.0321553	0.0355546	0.0591509	0.0551527	0.103885
