 	m	o	r	o	w	ó	l	á	a	s	á	l	á	i	b	o	o	b	v	ú	a	</S>
cet	0.0127818	0.0112076	0.00814223	0.00781014	0.0134638	0.0126721	0.0146569	0.0279785	0.0402445	0.0617377	0.0507132	0.0632246	0.0664032	0.0800265	0.0706284	0.0499729	0.0752218	0.0618353	0.0643638	0.0693949	0.071031	0.0664892
homme	0.226526	0.106984	0.24405	0.0983831	0.0485863	0.0753538	0.0248677	0.0177744	0.018034	0.0591525	0.0120941	0.0114714	0.00582525	0.0146188	0.00819489	0.00881101	0.00552929	0.00376641	0.00525157	0.00284889	0.000814	0.00106196
soigne	0.00604671	0.012618	0.022697	0.030002	0.0521635	0.101291	0.0937862	0.0525176	0.102925	0.0656252	0.0894164	0.0597594	0.0685075	0.0535147	0.0567903	0.0295601	0.0394326	0.0218558	0.0154331	0.0114142	0.00765976	0.00698465
les	0.0762314	0.135763	0.103724	0.0793763	0.0566488	0.031759	0.0392253	0.0212453	0.0177509	0.0175732	0.0299582	0.0280027	0.0392378	0.0366251	0.0345084	0.0320928	0.0356153	0.0256619	0.0512871	0.0354783	0.0277939	0.0444406
maux	0.200118	0.118423	0.0870142	0.0417712	0.0251332	0.0195101	0.00858028	0.0109718	0.00942688	0.0119125	0.0190313	0.0145853	0.022649	0.027447	0.0269752	0.0372421	0.0462488	0.0567389	0.0594898	0.0615379	0.0423395	0.0528537
de	0.102364	0.0689463	0.0514721	0.0398787	0.0340464	0.031825	0.019724	0.0213343	0.0233681	0.0291983	0.0487372	0.0592017	0.0328723	0.047586	0.0409706	0.0820329	0.0232608	0.0198253	0.0247892	0.0508872	0.0540628	0.093617
tête	0.13512	0.0753488	0.0582093	0.0188719	0.0236924	0.0325063	0.0188827	0.0164976	0.0158664	0.0409205	0.0234049	0.0291502	0.0321758	0.0792303	0.0782816	0.116181	0.035028	0.0260827	0.0287474	0.0504538	0.0181529	0.0471958
</S>	0.0885929	0.076748	0.0569174	0.0488115	0.0538205	0.0341196	0.0245373	0.0257843	0.0156586	0.00895218	0.0124907	0.0158813	0.0200942	0.0283686	0.039932	0.0786055	0.03008	0.0341671	0.050496	0.0768167	0.087648	0.0914777
