 	m	w	á	n	a	w	ó	á	m	i	d	z	a	r	á	i	l	ω	ώ	s	á	k	ώ	</S>
cet	0.0085059	0.0130556	0.0148	0.0223744	0.00684309	0.0144955	0.0145356	0.0116721	0.0359927	0.0201719	0.0453978	0.06671	0.125671	0.0635331	0.0616714	0.0501292	0.0628376	0.0419211	0.047596	0.0466401	0.056752	0.0501938	0.0589968	0.0595038
enfant	0.0765955	0.0302062	0.0505032	0.0516304	0.0751985	0.0451619	0.0396997	0.0798173	0.075104	0.153194	0.168324	0.102038	0.0180115	0.00202752	0.00583096	0.00544431	0.00985562	0.00506939	0.00268938	0.00152883	0.00120769	0.000339039	0.000352354	0.00017023
a	0.0316403	0.036511	0.0324101	0.0223568	0.0365598	0.0564934	0.0699172	0.0574994	0.0411472	0.0255711	0.0247356	0.0470362	0.0894513	0.0557993	0.0421898	0.0583406	0.0492437	0.0755015	0.0417328	0.0366185	0.0161358	0.0171387	0.019763	0.0162067
marché	0.0166145	0.0110027	0.00873333	0.00681589	0.00591675	0.00507168	0.0062439	0.0104739	0.0126131	0.0172499	0.0195406	0.0379372	0.032369	0.044962	0.0373163	0.0932185	0.0915857	0.112098	0.119812	0.122327	0.0594758	0.0473668	0.0448974	0.036358
sur	0.0514229	0.0363826	0.0405815	0.0333976	0.0219169	0.0262463	0.0234302	0.0272317	0.0277421	0.0193278	0.0189139	0.0200404	0.0229594	0.0291039	0.0202898	0.0496565	0.05558	0.0767057	0.066688	0.0620935	0.0607382	0.0656386	0.0609124	0.0830001
l'	0.104604	0.0658028	0.0495146	0.0263962	0.0281279	0.0212198	0.00897055	0.00998991	0.0104599	0.00994845	0.00863524	0.0155092	0.0125469	0.0221797	0.0283189	0.0418705	0.0220075	0.030124	0.0534714	0.0734258	0.0600667	0.0724202	0.0835273	0.140862
épine	0.0417488	0.0290511	0.0330902	0.0280412	0.0236071	0.0228017	0.021685	0.017699	0.0173562	0.015099	0.0233214	0.0397816	0.0377402	0.0351876	0.0587803	0.124921	0.0801028	0.0979726	0.0843688	0.0626266	0.0340927	0.00801307	0.0311306	0.0317814
dans	0.0777527	0.0627445	0.0469783	0.0415421	0.036584	0.0391034	0.0242133	0.0216919	0.0201462	0.00579722	0.00671221	0.0189163	0.0130469	0.0490861	0.0241358	0.0716293	0.0427101	0.0739477	0.0621684	0.0276532	0.0483123	0.030415	0.0637279	0.0909851
la	0.110296	0.0530508	0.0432222	0.0322384	0.0361687	0.030955	0.0189782	0.0193957	0.0123392	0.00719722	0.00648685	0.00998768	0.0111021	0.0130064	0.016435	0.0256334	0.028924	0.054774	0.0715206	0.0646241	0.0866367	0.0847597	0.0791692	0.0830989
forêt	0.0588392	0.063655	0.0441158	0.0348114	0.0249491	0.0442658	0.0197394	0.0195954	0.00986532	0.00368693	0.00386939	0.00869864	0.00716456	0.0208181	0.0136912	0.0253964	0.0299281	0.0653473	0.0533139	0.0512699	0.077374	0.0807685	0.108835	0.130002
</S>	0.0959061	0.0778349	0.0678575	0.054615	0.0374892	0.0545573	0.0294257	0.0187016	0.0109874	0.0124414	0.0093408	0.0106745	0.00887766	0.016102	0.00925317	0.0298046	0.0473286	0.0727151	0.0344123	0.0258826	0.0431002	0.04644	0.0846241	0.101628
