 	o	k	u	m	a	k	ó	b	ó	m	ó	o	l	ω	n	d	ω	l	ε	n	d	w	ε	n	g	ε	</S>
le	0.0211844	0.0223963	0.021896	0.0137302	0.0121833	0.0142094	0.0216335	0.0248668	0.0307716	0.0325579	0.0519266	0.0448128	0.0488494	0.033469	0.0488429	0.0591564	0.0461669	0.0440759	0.0388011	0.0364553	0.0417771	0.0432898	0.0315856	0.0378496	0.0524415	0.0452057	0.0798651
pic	0.0425824	0.0458166	0.0323915	0.0438006	0.0797408	0.0597467	0.0725543	0.110721	0.183588	0.0746159	0.0907581	0.0308472	0.0103036	0.00865846	0.00606889	0.00727638	0.00533965	0.00578609	0.00632059	0.00929927	0.0111489	0.00837138	0.0216495	0.0175854	0.0103444	0.00284206	0.00184231
pointillé	0.0267407	0.0250431	0.0178433	0.0206006	0.0448477	0.0693519	0.0730973	0.103148	0.0517356	0.0482449	0.0644112	0.0743318	0.0536554	0.0525748	0.031897	0.0484686	0.0195387	0.0277482	0.015159	0.0117163	0.0105095	0.0183472	0.0174037	0.0178133	0.0241454	0.0167926	0.0148342
est	0.0416416	0.060794	0.0521654	0.0400696	0.041883	0.024355	0.0258742	0.0293735	0.0916841	0.0625586	0.121005	0.063052	0.052541	0.0405875	0.0382426	0.0355824	0.0276751	0.0250243	0.017221	0.014091	0.0110232	0.00925201	0.0136144	0.0100841	0.0086749	0.0105175	0.0314129
en	0.0324045	0.0349725	0.0366811	0.0370533	0.051442	0.0586755	0.0544844	0.0615462	0.025392	0.0151051	0.0161452	0.0203329	0.0187958	0.0193616	0.0168828	0.0192592	0.022545	0.0223343	0.0403046	0.0519373	0.0363209	0.0252872	0.0621338	0.0540547	0.0426784	0.0513986	0.0724708
train	0.0431268	0.0404176	0.0393196	0.0412063	0.0453437	0.0328985	0.0215146	0.0197624	0.0174305	0.0160433	0.018359	0.0177639	0.0285031	0.0283988	0.0290964	0.02668	0.0350012	0.027823	0.0497539	0.0527355	0.0408138	0.0371926	0.0697014	0.0607467	0.041162	0.0489598	0.0702454
de	0.0453207	0.0516026	0.0554202	0.0516616	0.0515244	0.0516309	0.0644564	0.0588105	0.039708	0.0231609	0.0349542	0.0407026	0.0316141	0.0396362	0.0277424	0.015642	0.0300204	0.0319504	0.0286176	0.0255667	0.026807	0.0198421	0.0371696	0.032477	0.0131288	0.029517	0.0413155
poursuivre	0.108506	0.0833627	0.0539382	0.0460049	0.0298597	0.013499	0.010906	0.0126909	0.0189755	0.0170445	0.0205772	0.0311511	0.0386271	0.0475714	0.048258	0.0337022	0.0526506	0.0361835	0.0372821	0.0405464	0.0342061	0.0199463	0.0258818	0.023315	0.0225634	0.0395019	0.0532483
le	0.117944	0.0809173	0.0629912	0.039223	0.0291177	0.0267476	0.0105254	0.00445258	0.00668069	0.00837394	0.0110128	0.00835474	0.010332	0.0134754	0.015042	0.015104	0.0310587	0.0345501	0.0509913	0.0466732	0.0404564	0.0278304	0.0499061	0.0427872	0.035729	0.0510018	0.128721
termite	0.0289017	0.0244661	0.0157707	0.0147202	0.0130508	0.013937	0.00591821	0.00502139	0.00637227	0.00696393	0.00874468	0.00699316	0.00674094	0.00729763	0.00699514	0.00761174	0.0137789	0.0166117	0.0317497	0.035923	0.0478884	0.0690728	0.0654898	0.076184	0.108299	0.123792	0.231706
</S>	0.106336	0.0912954	0.0706314	0.0649776	0.0406997	0.0470924	0.0283521	0.0206426	0.0262153	0.0105789	0.0112821	0.00895275	0.0090461	0.00686637	0.00970339	0.00784843	0.0220528	0.0178402	0.0199355	0.0171722	0.0134082	0.0127426	0.0226084	0.018302	0.022283	0.0549894	0.218145
