 	m	w	á	n	a	w	ó	á	b	o	m	i	n	y	ω	s	í	m	é	b	h	e	r	á	</S>
cet	0.00979344	0.0115083	0.0172012	0.0125898	0.0126197	0.0106652	0.00727533	0.00803057	0.0125603	0.0402022	0.0250419	0.024643	0.0548303	0.0321021	0.0598088	0.0582039	0.0530743	0.0619959	0.0596372	0.0615752	0.0624617	0.0651343	0.074646	0.0712887	0.0931106
enfant	0.0615691	0.039769	0.0197995	0.0521118	0.0294105	0.032147	0.0437924	0.0741451	0.130628	0.0592797	0.15253	0.215967	0.0486557	0.0137689	0.00174984	0.00109497	0.00590273	0.0042121	0.00690667	0.00280658	0.00138151	0.000801247	0.000850522	0.000487294	0.00023355
a	0.0415645	0.056083	0.0516743	0.0380536	0.0535326	0.0757624	0.0514099	0.0304562	0.0318815	0.0363162	0.0254151	0.0240557	0.0157092	0.0153341	0.0235147	0.0280313	0.0411409	0.0631242	0.0739534	0.0409293	0.0447966	0.0472453	0.0339616	0.0259796	0.0300747
tué	0.0114465	0.00867311	0.00681726	0.00506485	0.00378222	0.00560645	0.00410616	0.00721474	0.00774102	0.00957699	0.0146459	0.0199391	0.028628	0.022798	0.0482412	0.0941582	0.0762261	0.118159	0.147293	0.124776	0.0774933	0.0492611	0.0401458	0.0364774	0.0317295
un	0.0894699	0.0875416	0.0424189	0.0270458	0.023185	0.0299861	0.012427	0.0106529	0.0143911	0.0152526	0.0146748	0.0123535	0.0137655	0.0162798	0.0219625	0.0302277	0.0362269	0.0417609	0.0324829	0.0523758	0.0464677	0.078132	0.0600522	0.0786656	0.112201
oiseau	0.0512291	0.0344471	0.0256755	0.0273441	0.0269495	0.027156	0.0122413	0.00896977	0.0144855	0.0212276	0.0217252	0.0223434	0.0375029	0.0438027	0.0363488	0.0375377	0.0643147	0.0575026	0.0529536	0.0567206	0.0524866	0.0636879	0.0558905	0.05872	0.0887376
à	0.0354431	0.0434718	0.0249106	0.0270334	0.0251187	0.0237586	0.0143763	0.00827027	0.00836175	0.0106449	0.0101537	0.012609	0.0173228	0.0225636	0.0455942	0.057231	0.114418	0.0748753	0.0876442	0.0770276	0.0564677	0.0483814	0.0362645	0.0489999	0.0690579
l'	0.0916684	0.0399979	0.0457807	0.0381931	0.03405	0.0385822	0.0472037	0.0203388	0.00892809	0.00897105	0.00642089	0.0129938	0.0184862	0.0227123	0.0279203	0.0215407	0.0828326	0.0393581	0.0545048	0.101777	0.0463497	0.042571	0.036902	0.0427053	0.0692109
aide	0.0864644	0.0701607	0.0711859	0.0507177	0.0475039	0.0622583	0.0349819	0.0167851	0.0113068	0.0117398	0.00838056	0.0166201	0.0295103	0.0278411	0.0769165	0.0299405	0.0763035	0.0350307	0.0353473	0.0348461	0.0211587	0.0179156	0.0154179	0.0177809	0.0938856
d'	0.0927972	0.0658776	0.0566362	0.0325422	0.0342004	0.0358952	0.0292116	0.026907	0.0216323	0.0151821	0.0129555	0.0181048	0.0218853	0.02736	0.0651226	0.0373308	0.0741588	0.0607332	0.0656805	0.0597869	0.0209229	0.011599	0.0168269	0.0239201	0.0727309
un	0.10647	0.0711542	0.0827003	0.0422394	0.0382241	0.0385588	0.0264689	0.0188161	0.00744222	0.00449236	0.00405614	0.00681324	0.00969734	0.0208799	0.0392599	0.0265086	0.0463773	0.0408838	0.0443719	0.0549436	0.0487064	0.0454459	0.0468379	0.0484165	0.0802351
arc	0.0643533	0.0392462	0.0582676	0.0373164	0.0350269	0.0509045	0.0245713	0.0148917	0.00938608	0.00812122	0.0051647	0.0129723	0.0226334	0.0363521	0.048333	0.0456839	0.058201	0.0443284	0.0545522	0.0737285	0.0511699	0.0347313	0.0397745	0.0478107	0.0824791
</S>	0.0611848	0.043437	0.0432272	0.0278891	0.0308705	0.0440671	0.0271237	0.0146525	0.00954649	0.00683134	0.00478547	0.0132863	0.0218259	0.0425566	0.084107	0.0686119	0.082657	0.074916	0.0784704	0.0583292	0.0378008	0.0249737	0.0240067	0.0300253	0.0448179
