 	w	a	á	m	i	n	a	m	í	s	á	m	o	r	é	m	á	w	a	m	á	m	í	á	m	ó	i	t	u	m	b	a	l	á	n	g	o	n	d	a	</S>
il	0.109554	0.179213	0.250632	0.199263	0.127722	0.0363252	0.021866	0.00326947	0.00372781	0.00255007	0.00255599	0.00188633	0.00267018	0.00280252	0.00210184	0.00231103	0.0019354	0.00108468	0.00140945	0.00154716	0.00187557	0.0013228	0.00123066	0.00122679	0.00124608	0.00118978	0.00124331	0.00136482	0.00176017	0.00252791	0.00243192	0.00267999	0.00257187	0.00297387	0.00324096	0.00289049	0.00276513	0.00318179	0.00286981	0.00287239	0.00210769
a	0.0432537	0.010209	0.00870494	0.0303873	0.0549364	0.0492097	0.0446614	0.0359888	0.0435434	0.0285956	0.0514377	0.0609341	0.0217013	0.0308208	0.0160836	0.0317878	0.0258241	0.0258734	0.0606595	0.0278285	0.0308667	0.0184908	0.0200683	0.0236948	0.014522	0.0181109	0.0165066	0.0120176	0.0156527	0.00779405	0.0121582	0.0112519	0.00992992	0.00756414	0.0110427	0.0197624	0.00760433	0.0103129	0.0132082	0.00646514	0.0105346
allumé	0.00864841	0.0127355	0.00939652	0.0133551	0.009548	0.00933184	0.00886469	0.00556122	0.00760746	0.00576107	0.0199784	0.0240934	0.0273974	0.0250337	0.0274331	0.0327627	0.0255671	0.033018	0.0295555	0.0479217	0.0399781	0.0585221	0.0526495	0.0529878	0.0686343	0.0355564	0.0419124	0.0631821	0.0353349	0.0159432	0.0123188	0.0132527	0.0103205	0.014762	0.0160311	0.0122405	0.0137082	0.0132895	0.0141673	0.0162856	0.0153521
son	0.00832405	0.00860305	0.00676677	0.00874834	0.0094173	0.00889686	0.00894471	0.00917324	0.0181744	0.0202149	0.0249321	0.028713	0.0205326	0.0152082	0.011696	0.0217856	0.0248334	0.0307762	0.0201085	0.0347964	0.0244711	0.0402631	0.0440452	0.0427285	0.0674345	0.0886949	0.101421	0.0586106	0.0373123	0.0369938	0.0164783	0.0165559	0.0100879	0.00935424	0.00592765	0.00573347	0.00739344	0.00637393	0.00718142	0.00970105	0.0225918
briquet	0.00242741	0.00340771	0.00320854	0.00294263	0.00351768	0.00253919	0.00297692	0.00573902	0.0088157	0.0111607	0.0100828	0.0125082	0.0196942	0.0195421	0.025416	0.0313401	0.0404267	0.0392684	0.0381071	0.0422742	0.0425145	0.0401844	0.0488711	0.0443926	0.0324541	0.0368188	0.0394778	0.0517929	0.0636318	0.0381538	0.0355096	0.0264476	0.028205	0.0255173	0.0186504	0.0142892	0.0176195	0.0158935	0.0148913	0.0116101	0.0276793
pour	0.0228588	0.0166209	0.0290392	0.0174793	0.0177548	0.0112971	0.00974766	0.0134972	0.0143629	0.0129863	0.0130474	0.0133126	0.0158093	0.0154962	0.0171402	0.017518	0.0145204	0.016149	0.0211876	0.0171029	0.0179013	0.0340738	0.0488799	0.054305	0.0635456	0.0464026	0.0500455	0.0424317	0.0367949	0.0301751	0.0222919	0.0222017	0.0224698	0.0154728	0.0169402	0.0103907	0.0231052	0.0176994	0.0210946	0.0244688	0.0523818
mettre	0.00402362	0.00374046	0.00356268	0.00327474	0.00484763	0.00471962	0.00534533	0.00969374	0.0174282	0.0113799	0.0190812	0.0154223	0.0240202	0.0187805	0.0199514	0.0176518	0.0240907	0.030729	0.0497607	0.0396657	0.0385299	0.0604045	0.0841646	0.0773805	0.0587619	0.0380819	0.03454	0.025073	0.0227902	0.0131488	0.0122724	0.0122511	0.0148957	0.0136522	0.0181855	0.0114755	0.0222804	0.0254138	0.0264781	0.028263	0.0347879
feu	0.00271286	0.0036749	0.00360542	0.00455839	0.00581376	0.00572387	0.0070844	0.0111299	0.0173609	0.0166584	0.00805612	0.00997867	0.0110055	0.0137628	0.0119714	0.0232769	0.0225647	0.0346901	0.0355703	0.056388	0.0608577	0.0717727	0.0553612	0.0554255	0.0793133	0.0633305	0.0500609	0.0394893	0.0346479	0.0170488	0.015176	0.0126843	0.013812	0.00848809	0.00970754	0.00596662	0.0103036	0.0107088	0.0105311	0.014817	0.0549099
à	0.00949179	0.0100677	0.0101931	0.0120097	0.0121064	0.0115589	0.0117582	0.012125	0.0123459	0.0126595	0.0106801	0.011637	0.00938198	0.0103633	0.010671	0.0134842	0.0136906	0.0171527	0.0234732	0.0245037	0.021937	0.0390756	0.0590091	0.0582926	0.0739471	0.0739384	0.0622818	0.0452308	0.03404	0.0217398	0.0211578	0.0208781	0.0220078	0.0155071	0.0182522	0.00957365	0.0246956	0.020902	0.0238093	0.0271412	0.0472286
la	0.0114348	0.0102383	0.0116174	0.0142961	0.00942343	0.0114262	0.0107763	0.0121177	0.0101275	0.00908598	0.00825208	0.00855145	0.00685123	0.00796417	0.00805791	0.00772948	0.00729187	0.014371	0.022051	0.0196919	0.0230059	0.0393916	0.0406157	0.0570496	0.0602327	0.0472426	0.0460107	0.0376616	0.0261096	0.0121994	0.0106926	0.0180702	0.0287497	0.0187615	0.0343231	0.0142196	0.0485712	0.038319	0.0478254	0.0460881	0.0835044
