 	m	w	á	n	a	w	o	e	b	ώ	ω	y	é	é	b	v	ú	n	y	ú	m	ú	é	m	i	s	ú	n	d	z	a	</S>
le	0.0128005	0.010735	0.0171755	0.0154127	0.0105208	0.0148165	0.0108951	0.0112342	0.0150301	0.0136899	0.0170865	0.0256235	0.0360115	0.0372741	0.0486604	0.0492138	0.0426974	0.0473269	0.0490673	0.0296771	0.038655	0.0482613	0.0589312	0.0340718	0.0394727	0.0250525	0.0273585	0.0291962	0.0446047	0.0377612	0.0552005	0.0464855
bras	0.0150957	0.0764095	0.0411601	0.122592	0.0628169	0.0381553	0.108918	0.070588	0.146869	0.130384	0.0496033	0.0229755	0.0270164	0.0183262	0.00595444	0.00501927	0.00257951	0.00130175	0.00123312	0.00192671	0.000716789	0.000458118	0.00109359	0.00103213	0.00162203	0.00282225	0.00612354	0.0116748	0.0110756	0.0124742	0.00123653	0.000746284
fracturé	0.0152737	0.0168144	0.0145784	0.00778797	0.00819559	0.00710459	0.00613629	0.00750257	0.00529753	0.00691397	0.00902639	0.0077222	0.0152926	0.0281996	0.0331209	0.0554101	0.0498396	0.0721832	0.105641	0.0877722	0.0530491	0.0414986	0.0503959	0.0758291	0.0309335	0.0478231	0.0455357	0.0291689	0.0164213	0.0218029	0.0147625	0.0129669
de	0.066391	0.0298095	0.0150792	0.0223171	0.0359041	0.0232866	0.024016	0.0236396	0.0346704	0.0305358	0.0276463	0.0259768	0.04391	0.0680171	0.0423335	0.0432424	0.0308527	0.0314619	0.0243371	0.0502278	0.0453141	0.0397739	0.0374137	0.019662	0.0146168	0.00864288	0.00906864	0.0107225	0.0157128	0.0236683	0.0229909	0.0587586
cette	0.0458523	0.0400852	0.0271901	0.0163513	0.0140343	0.0130808	0.00977623	0.0102438	0.00851961	0.0101474	0.0128551	0.0160919	0.0261417	0.0373061	0.0316761	0.0400901	0.03485	0.0355865	0.0295948	0.0354632	0.0305377	0.038854	0.0409127	0.0380347	0.0494542	0.0420898	0.0282577	0.0350214	0.0273398	0.0449104	0.038384	0.091267
enfant	0.0639663	0.0546217	0.0383681	0.0321009	0.0238506	0.0229692	0.0244405	0.0251921	0.019131	0.0220208	0.0188612	0.0126919	0.0175647	0.0187243	0.0124754	0.0160379	0.0131918	0.0155268	0.0203663	0.0214238	0.0242469	0.0203649	0.0268965	0.0267455	0.0339434	0.0337126	0.0410614	0.051231	0.0527055	0.056555	0.0545823	0.0844296
s'	0.02443	0.0176967	0.0172472	0.0164874	0.0119534	0.0135913	0.00622702	0.00832343	0.00681804	0.00694364	0.00770091	0.00831362	0.012973	0.0147925	0.0241116	0.0432081	0.0375054	0.0546167	0.056626	0.0604761	0.0303785	0.0280805	0.0377482	0.0492646	0.0580032	0.0654931	0.0516884	0.0627135	0.0314065	0.0413742	0.0326724	0.0611349
est	0.10146	0.0616477	0.0646323	0.0546027	0.0386431	0.0270303	0.02042	0.0167293	0.0126651	0.0102984	0.00887078	0.0146369	0.0173623	0.0143487	0.0292155	0.0333817	0.0234542	0.0294815	0.0541954	0.0358051	0.01934	0.0100508	0.0168326	0.0104388	0.00654502	0.00904914	0.0085306	0.0195067	0.0180085	0.033595	0.0414641	0.137758
rétréci	0.0978922	0.0940738	0.0868501	0.0398195	0.0293724	0.0130192	0.0113217	0.0080639	0.0101585	0.0100504	0.00804675	0.00957776	0.0140042	0.0101892	0.0217838	0.0150256	0.0170577	0.0144866	0.0257559	0.0267207	0.0293772	0.0214688	0.0335874	0.0245378	0.0185057	0.0149413	0.0127705	0.022565	0.0262209	0.0480105	0.0724911	0.112254
</S>	0.0562289	0.0365508	0.0251205	0.0117991	0.0114435	0.011372	0.00974772	0.00922707	0.00805148	0.00971604	0.0106063	0.0138299	0.0234826	0.0319158	0.0399913	0.0458612	0.0418933	0.0534356	0.0586803	0.0467557	0.0297799	0.0310152	0.0421555	0.0298445	0.0228571	0.0211505	0.0266742	0.0311269	0.0292568	0.0422675	0.0512032	0.0869595
